   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 15 different moves in a random move schedule with 12 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |       -49.7664   |              0   |       -49.7664   |   00:00:00   |   --:--:--   |
100000      |       -17.8997   |              0   |       -17.8997   |   00:00:07   |   --:--:--   |
200000      |       -19.2195   |              0   |       -19.2195   |   00:00:14   |   00:58:06   |
300000      |       -23.1747   |              0   |       -23.1747   |   00:00:21   |   00:57:59   |
400000      |       -19.4148   |              0   |       -19.4148   |   00:00:29   |   00:59:56   |
500000      |       -13.4867   |              0   |       -13.4867   |   00:00:36   |   00:59:24   |
600000      |       -18.1136   |              0   |       -18.1136   |   00:00:43   |   00:59:00   |
700000      |       -14.8529   |              0   |       -14.8529   |   00:00:50   |   00:58:41   |
800000      |        -17.664   |              0   |        -17.664   |   00:00:57   |   00:58:25   |
900000      |       -25.5325   |              0   |       -25.5325   |   00:01:04   |   00:58:11   |
1000000     |       -21.5746   |              0   |       -21.5746   |   00:01:11   |   00:57:59   |
1100000     |        -15.584   |              0   |        -15.584   |   00:01:19   |   00:58:31   |
1200000     |       -20.5904   |              0   |       -20.5904   |   00:01:25   |   00:57:36   |
1300000     |       -15.5532   |              0   |       -15.5532   |   00:01:32   |   00:57:26   |
1400000     |       -19.7443   |              0   |       -19.7443   |   00:01:40   |   00:57:51   |
1500000     |       -17.3273   |              0   |       -17.3273   |   00:01:47   |   00:57:39   |
1600000     |       -15.3686   |              0   |       -15.3686   |   00:01:54   |   00:57:28   |
1700000     |       -18.1856   |              0   |       -18.1856   |   00:02:01   |   00:57:17   |
1800000     |       -21.5923   |              0   |       -21.5923   |   00:02:08   |   00:57:07   |
1900000     |       -18.8498   |              0   |       -18.8498   |   00:02:15   |   00:56:57   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2000000     |       -19.0909   |              0   |       -19.0909   |   00:02:22   |   00:56:48   |
2100000     |       -15.6948   |              0   |       -15.6948   |   00:02:30   |   00:57:01   |
2200000     |       -16.0226   |              0   |       -16.0226   |   00:02:37   |   00:56:51   |
2300000     |       -16.6055   |              0   |       -16.6055   |   00:02:44   |   00:56:41   |
2400000     |        -26.164   |              0   |        -26.164   |   00:02:51   |   00:56:31   |
