   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 15 different moves in a random move schedule with 13.2 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |        -54.887   |              0   |        -54.887   |   00:00:00   |   --:--:--   |
100000      |       -21.4048   |              0   |       -21.4048   |   00:00:11   |   --:--:--   |
200000      |       -23.4847   |              0   |       -23.4847   |   00:00:21   |   01:27:09   |
300000      |       -20.8141   |              0   |       -20.8141   |   00:00:32   |   01:28:21   |
400000      |       -20.6481   |              0   |       -20.6481   |   00:00:42   |   01:26:48   |
500000      |       -16.7681   |              0   |       -16.7681   |   00:00:52   |   01:25:48   |
600000      |       -16.4176   |              0   |       -16.4176   |   00:01:03   |   01:26:27   |
700000      |        -10.772   |              0   |        -10.772   |   00:01:13   |   01:25:41   |
800000      |       -14.8434   |              0   |       -14.8434   |   00:01:23   |   01:25:04   |
900000      |       -14.9914   |              0   |       -14.9914   |   00:01:33   |   01:24:33   |
1000000     |       -20.5144   |              0   |       -20.5144   |   00:01:44   |   01:24:56   |
1100000     |        -17.312   |              0   |        -17.312   |   00:01:54   |   01:24:27   |
1200000     |       -14.0153   |              0   |       -14.0153   |   00:02:04   |   01:24:02   |
1300000     |       -22.5387   |              0   |       -22.5387   |   00:02:15   |   01:24:17   |
1400000     |       -21.5412   |              0   |       -21.5412   |   00:02:25   |   01:23:53   |
1500000     |       -14.8808   |              0   |       -14.8808   |   00:02:35   |   01:23:31   |
1600000     |         -17.24   |              0   |         -17.24   |   00:02:45   |   01:23:11   |
1700000     |       -17.0626   |              0   |       -17.0626   |   00:02:56   |   01:23:20   |
1800000     |       -18.3754   |              0   |       -18.3754   |   00:03:06   |   01:23:00   |
1900000     |       -32.5758   |              0   |       -32.5758   |   00:03:16   |   01:22:41   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2000000     |        -20.163   |              0   |        -20.163   |   00:03:27   |   01:22:48   |
2100000     |       -23.2484   |              0   |       -23.2484   |   00:03:37   |   01:22:29   |
2200000     |       -15.9457   |              0   |       -15.9457   |   00:03:47   |   01:22:12   |
2300000     |       -23.6948   |              0   |       -23.6948   |   00:03:57   |   01:21:55   |
2400000     |       -17.2019   |              0   |       -17.2019   |   00:04:08   |   01:21:58   |
2500000     |        -11.965   |              0   |        -11.965   |   00:04:18   |   01:21:42   |
2600000     |       -13.9443   |              0   |       -13.9443   |   00:04:28   |   01:21:25   |
2700000     |       -14.7447   |              0   |       -14.7447   |   00:04:39   |   01:21:27   |
2800000     |       -24.6354   |              0   |       -24.6354   |   00:04:49   |   01:21:11   |
2900000     |        -10.887   |              0   |        -10.887   |   00:04:59   |   01:20:56   |
3000000     |       -21.5396   |              0   |       -21.5396   |   00:05:09   |   01:20:41   |
3100000     |       -25.2895   |              0   |       -25.2895   |   00:05:20   |   01:20:41   |
3200000     |       -16.4304   |              0   |       -16.4304   |   00:05:30   |   01:20:26   |
3300000     |       -14.6655   |              0   |       -14.6655   |   00:05:40   |   01:20:11   |
3400000     |       -19.9718   |              0   |       -19.9718   |   00:05:51   |   01:20:10   |
3500000     |        -23.158   |              0   |        -23.158   |   00:06:01   |   01:19:56   |
3600000     |       -15.7275   |              0   |       -15.7275   |   00:06:11   |   01:19:41   |
3700000     |       -12.2983   |              0   |       -12.2983   |   00:06:21   |   01:19:27   |
3800000     |       -15.8367   |              0   |       -15.8367   |   00:06:32   |   01:19:25   |
3900000     |        -22.344   |              0   |        -22.344   |   00:06:42   |   01:19:11   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
4000000     |       -18.9017   |              0   |       -18.9017   |   00:06:52   |   01:18:58   |
4100000     |       -24.8206   |              0   |       -24.8206   |   00:07:03   |   01:18:55   |
4200000     |        -14.303   |              0   |        -14.303   |   00:07:13   |   01:18:41   |
4300000     |       -16.5354   |              0   |       -16.5354   |   00:07:23   |   01:18:28   |
4400000     |       -16.8968   |              0   |       -16.8968   |   00:07:33   |   01:18:14   |
4500000     |       -18.5187   |              0   |       -18.5187   |   00:07:44   |   01:18:11   |
4600000     |       -18.4895   |              0   |       -18.4895   |   00:07:54   |   01:17:58   |
4700000     |       -27.8673   |              0   |       -27.8673   |   00:08:04   |   01:17:44   |
4800000     |       -17.5656   |              0   |       -17.5656   |   00:08:15   |   01:17:41   |
4900000     |       -27.3753   |              0   |       -27.3753   |   00:08:25   |   01:17:28   |
5000000     |       -24.8398   |              0   |       -24.8398   |   00:08:35   |   01:17:15   |
5100000     |       -18.7281   |              0   |       -18.7281   |   00:08:45   |   01:17:02   |
5200000     |       -15.8718   |              0   |       -15.8718   |   00:08:56   |   01:16:57   |
5300000     |       -26.1634   |              0   |       -26.1634   |   00:09:06   |   01:16:44   |
5400000     |       -16.8998   |              0   |       -16.8998   |   00:09:16   |   01:16:32   |
5500000     |       -19.3648   |              0   |       -19.3648   |   00:09:27   |   01:16:27   |
5600000     |       -16.8598   |              0   |       -16.8598   |   00:09:37   |   01:16:14   |
5700000     |       -20.5115   |              0   |       -20.5115   |   00:09:47   |   01:16:02   |
5800000     |       -17.1334   |              0   |       -17.1334   |   00:09:57   |   01:15:49   |
5900000     |       -21.1019   |              0   |       -21.1019   |   00:10:08   |   01:15:44   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
6000000     |        -17.459   |              0   |        -17.459   |   00:10:18   |   01:15:32   |
6100000     |       -13.5884   |              0   |       -13.5884   |   00:10:28   |   01:15:19   |
6200000     |       -14.4586   |              0   |       -14.4586   |   00:10:39   |   01:15:14   |
6300000     |        -22.602   |              0   |        -22.602   |   00:10:49   |   01:15:01   |
6400000     |        -22.142   |              0   |        -22.142   |   00:10:59   |   01:14:49   |
6500000     |        -18.215   |              0   |        -18.215   |   00:11:09   |   01:14:37   |
6600000     |        -16.854   |              0   |        -16.854   |   00:11:19   |   01:14:24   |
6700000     |       -17.3305   |              0   |       -17.3305   |   00:11:28   |   01:14:06   |
6800000     |       -15.1872   |              0   |       -15.1872   |   00:11:37   |   01:13:48   |
6900000     |       -18.5133   |              0   |       -18.5133   |   00:11:47   |   01:13:36   |
7000000     |       -20.5239   |              0   |       -20.5239   |   00:11:58   |   01:13:30   |
7100000     |       -16.8866   |              0   |       -16.8866   |   00:12:08   |   01:13:18   |
7200000     |       -19.8676   |              0   |       -19.8676   |   00:12:18   |   01:13:07   |
7300000     |       -18.9811   |              0   |       -18.9811   |   00:12:29   |   01:13:01   |
7400000     |       -23.8157   |              0   |       -23.8157   |   00:12:39   |   01:12:49   |
7500000     |       -19.0964   |              0   |       -19.0964   |   00:12:49   |   01:12:37   |
7600000     |       -19.3227   |              0   |       -19.3227   |   00:13:00   |   01:12:31   |
7700000     |       -16.7935   |              0   |       -16.7935   |   00:13:10   |   01:12:19   |
7800000     |        -15.247   |              0   |        -15.247   |   00:13:20   |   01:12:08   |
7900000     |       -20.2104   |              0   |       -20.2104   |   00:13:31   |   01:12:01   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
8000000     |        -19.357   |              0   |        -19.357   |   00:13:41   |   01:11:50   |
8100000     |        -22.101   |              0   |        -22.101   |   00:13:51   |   01:11:38   |
8200000     |       -16.4901   |              0   |       -16.4901   |   00:14:02   |   01:11:32   |
8300000     |       -22.2248   |              0   |       -22.2248   |   00:14:12   |   01:11:20   |
8400000     |       -19.2958   |              0   |       -19.2958   |   00:14:22   |   01:11:08   |
8500000     |       -19.7921   |              0   |       -19.7921   |   00:14:33   |   01:11:02   |
8600000     |       -16.5883   |              0   |       -16.5883   |   00:14:43   |   01:10:50   |
8700000     |       -16.6766   |              0   |       -16.6766   |   00:14:53   |   01:10:39   |
8800000     |       -19.3871   |              0   |       -19.3871   |   00:15:03   |   01:10:27   |
8900000     |       -21.0463   |              0   |       -21.0463   |   00:15:14   |   01:10:20   |
9000000     |       -14.0453   |              0   |       -14.0453   |   00:15:24   |   01:10:09   |
9100000     |       -19.1989   |              0   |       -19.1989   |   00:15:34   |   01:09:57   |
9200000     |       -21.1001   |              0   |       -21.1001   |   00:15:45   |   01:09:50   |
9300000     |       -12.1477   |              0   |       -12.1477   |   00:15:55   |   01:09:39   |
9400000     |       -17.0005   |              0   |       -17.0005   |   00:16:05   |   01:09:27   |
9500000     |        -18.363   |              0   |        -18.363   |   00:16:16   |   01:09:20   |
9600000     |        -17.969   |              0   |        -17.969   |   00:16:26   |   01:09:09   |
9700000     |        -15.525   |              0   |        -15.525   |   00:16:36   |   01:08:58   |
9800000     |       -17.8339   |              0   |       -17.8339   |   00:16:46   |   01:08:46   |
9900000     |       -22.4889   |              0   |       -22.4889   |   00:16:56   |   01:08:35   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
10000000    |       -26.1352   |              0   |       -26.1352   |   00:17:07   |   01:08:28   |
10100000    |       -19.0413   |              0   |       -19.0413   |   00:17:17   |   01:08:16   |
10200000    |       -17.6761   |              0   |       -17.6761   |   00:17:27   |   01:08:05   |
10300000    |       -16.6028   |              0   |       -16.6028   |   00:17:37   |   01:07:54   |
10400000    |        -20.077   |              0   |        -20.077   |   00:17:48   |   01:07:46   |
10500000    |       -20.7795   |              0   |       -20.7795   |   00:17:58   |   01:07:35   |
10600000    |       -16.9357   |              0   |       -16.9357   |   00:18:08   |   01:07:24   |
10700000    |       -20.5686   |              0   |       -20.5686   |   00:18:19   |   01:07:16   |
10800000    |       -20.8203   |              0   |       -20.8203   |   00:18:29   |   01:07:05   |
10900000    |       -14.0424   |              0   |       -14.0424   |   00:18:39   |   01:06:54   |
11000000    |       -13.6617   |              0   |       -13.6617   |   00:18:50   |   01:06:46   |
11100000    |       -20.8837   |              0   |       -20.8837   |   00:19:00   |   01:06:35   |
11200000    |       -27.1938   |              0   |       -27.1938   |   00:19:10   |   01:06:23   |
11300000    |       -21.0901   |              0   |       -21.0901   |   00:19:20   |   01:06:12   |
11400000    |       -21.7437   |              0   |       -21.7437   |   00:19:31   |   01:06:04   |
11500000    |       -19.1909   |              0   |       -19.1909   |   00:19:41   |   01:05:53   |
11600000    |       -20.2742   |              0   |       -20.2742   |   00:19:51   |   01:05:42   |
11700000    |       -19.1842   |              0   |       -19.1842   |   00:20:02   |   01:05:34   |
11800000    |       -11.7662   |              0   |       -11.7662   |   00:20:12   |   01:05:23   |
11900000    |       -15.2791   |              0   |       -15.2791   |   00:20:22   |   01:05:12   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
12000000    |        -27.209   |              0   |        -27.209   |   00:20:32   |   01:05:01   |
12100000    |       -21.2185   |              0   |       -21.2185   |   00:20:43   |   01:04:53   |
12200000    |       -18.8629   |              0   |       -18.8629   |   00:20:53   |   01:04:42   |
12300000    |       -22.0565   |              0   |       -22.0565   |   00:21:03   |   01:04:31   |
12400000    |       -25.8738   |              0   |       -25.8738   |   00:21:14   |   01:04:23   |
12500000    |       -19.4935   |              0   |       -19.4935   |   00:21:24   |   01:04:12   |
12600000    |       -16.1237   |              0   |       -16.1237   |   00:21:34   |   01:04:00   |
12700000    |       -15.2216   |              0   |       -15.2216   |   00:21:44   |   01:03:49   |
12800000    |       -16.6222   |              0   |       -16.6222   |   00:21:55   |   01:03:41   |
12900000    |        -21.673   |              0   |        -21.673   |   00:22:05   |   01:03:30   |
13000000    |       -25.0587   |              0   |       -25.0587   |   00:22:15   |   01:03:19   |
13100000    |       -13.3699   |              0   |       -13.3699   |   00:22:26   |   01:03:11   |
13200000    |       -15.1571   |              0   |       -15.1571   |   00:22:36   |   01:03:00   |
13300000    |       -25.8566   |              0   |       -25.8566   |   00:22:46   |   01:02:49   |
13400000    |        -16.313   |              0   |        -16.313   |   00:22:57   |   01:02:41   |
13500000    |       -25.9464   |              0   |       -25.9464   |   00:23:07   |   01:02:30   |
13600000    |       -20.2192   |              0   |       -20.2192   |   00:23:17   |   01:02:19   |
13700000    |       -15.3281   |              0   |       -15.3281   |   00:23:27   |   01:02:08   |
13800000    |       -17.5742   |              0   |       -17.5742   |   00:23:38   |   01:01:59   |
13900000    |       -15.5787   |              0   |       -15.5787   |   00:23:48   |   01:01:48   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
14000000    |       -20.3795   |              0   |       -20.3795   |   00:23:58   |   01:01:37   |
14100000    |       -14.9045   |              0   |       -14.9045   |   00:24:08   |   01:01:26   |
14200000    |       -25.1655   |              0   |       -25.1655   |   00:24:19   |   01:01:18   |
14300000    |       -22.2341   |              0   |       -22.2341   |   00:24:29   |   01:01:07   |
14400000    |       -19.6159   |              0   |       -19.6159   |   00:24:39   |   01:00:56   |
14500000    |       -22.2875   |              0   |       -22.2875   |   00:24:49   |   01:00:45   |
14600000    |       -14.7992   |              0   |       -14.7992   |   00:25:00   |   01:00:36   |
14700000    |       -19.5786   |              0   |       -19.5786   |   00:25:10   |   01:00:26   |
14800000    |       -21.9777   |              0   |       -21.9777   |   00:25:20   |   01:00:15   |
14900000    |        -24.295   |              0   |        -24.295   |   00:25:30   |   01:00:04   |
15000000    |       -16.9857   |              0   |       -16.9857   |   00:25:40   |   00:59:53   |
15100000    |       -25.0973   |              0   |       -25.0973   |   00:25:51   |   00:59:44   |
15200000    |       -13.2415   |              0   |       -13.2415   |   00:26:01   |   00:59:33   |
15300000    |        -20.954   |              0   |        -20.954   |   00:26:11   |   00:59:22   |
15400000    |       -26.4957   |              0   |       -26.4957   |   00:26:21   |   00:59:12   |
15500000    |          -10.3   |              0   |          -10.3   |   00:26:32   |   00:59:03   |
15600000    |        -16.446   |              0   |        -16.446   |   00:26:42   |   00:58:52   |
