Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-113.4693	0	-113.4693	0.139815	0.0718882	0.122611	0.196594	0.241825	0.210496	0.699664	1.17852	0.496664
10000	-24.74274	0	-24.74274	0.186181	0.431594	0.155455	0.138582	0.0652423	0.0768317	0.720738	0.728613	1.55252
20000	-24.93852	0	-24.93852	0.109509	0.258446	0.0796319	0.0946089	0.136663	0.250752	1.50147	0.669545	1.09863
30000	-29.77846	0	-29.77846	0.189338	0.151784	0.150941	0.160925	0.197272	0.188481	0.696825	0.325173	0.432519
40000	-24.86102	0	-24.86102	0.215405	0.160291	0.261789	0.182192	0.10176	0.146707	0.853865	1.00377	0.776897
50000	-25.28363	0	-25.28363	0.281196	0.333929	0.148864	0.193811	0.06692	0.377699	0.877653	1.86651	0.722449
60000	-36.01126	0	-36.01126	0.176884	0.167084	0.791147	0.143415	0.057524	0.090707	0.845573	0.648386	0.744112
70000	-29.06482	0	-29.06482	0.0982739	0.239965	0.0980879	0.12704	0.189349	0.328371	1.15695	0.496848	1.23223
80000	-31.63841	0	-31.63841	0.0794827	0.53977	0.172347	0.188139	0.367467	0.0946922	0.528391	0.278096	1.0991
90000	-28.85387	0	-28.85387	0.126739	0.223396	0.12619	0.0903132	0.108728	0.185105	0.841232	1.09745	0.659648
100000	-30.6914	0	-30.6914	0.320947	0.393084	0.0656195	0.14882	0.0919574	0.116713	0.910254	1.61075	0.495106
110000	-24.74872	0	-24.74872	0.214568	0.204493	0.0760846	0.110578	0.107473	0.223195	1.05888	0.557447	0.477627
120000	-30.80028	0	-30.80028	0.178659	0.410218	0.154753	0.115414	0.0842732	0.0827249	0.458746	0.430247	0.865514
130000	-21.33223	0	-21.33223	0.137936	0.327678	0.114199	0.144577	0.157233	0.129611	1.14935	1.28232	0.457775
140000	-32.14539	0	-32.14539	0.0986304	0.447103	0.13144	0.092792	0.146796	0.110216	1.16477	0.237435	0.248478
150000	-27.64268	0	-27.64268	0.185892	0.158439	0.1137	0.143147	0.112	0.115394	1.85692	0.692164	0.916312
160000	-27.38452	0	-27.38452	0.100617	0.338306	0.0510769	0.0564165	0.195994	0.278505	1.17546	1.53119	0.39141
170000	-34.91801	0	-34.91801	0.10712	0.276326	0.33885	0.10354	0.097731	0.156945	1.17213	0.397222	0.35761
180000	-27.58884	0	-27.58884	0.198213	0.098985	0.0671503	0.062816	0.0943915	0.107329	1.37966	1.23725	1.64033
190000	-26.14132	0	-26.14132	0.167482	0.185566	0.0991801	0.105313	0.111801	0.245369	2.71723	0.629888	0.893147
200000	-28.79732	0	-28.79732	0.193797	0.32854	0.150029	0.0934616	0.164578	0.155052	0.856836	0.897516	0.592491
210000	-29.46597	0	-29.46597	0.183063	0.323569	0.100409	0.0939611	0.0906789	0.0841457	0.645599	0.466717	1.05015
220000	-25.272	0	-25.272	0.2976	0.200794	0.0767269	0.22046	0.0765518	0.0640523	1.20902	1.42836	0.953907
230000	-21.05893	0	-21.05893	0.204858	0.309744	0.154395	0.145728	0.221522	0.153113	1.44384	0.555696	1.77461
240000	-29.01649	0	-29.01649	0.24081	0.150363	0.29149	0.13305	0.140274	0.0933689	0.481634	0.368973	0.716019
250000	-25.05509	0	-25.05509	0.279318	0.0997862	0.137091	0.228384	0.0890114	0.280247	0.71238	0.563761	1.61142
260000	-23.69943	0	-23.69943	0.249856	0.188726	0.199997	0.170385	0.0938623	0.115078	3.69814	1.1744	0.510041
270000	-23.08572	0	-23.08572	0.177884	0.246239	0.0593327	0.109604	0.113497	0.105534	1.86406	1.59701	2.9263
280000	-32.98004	0	-32.98004	0.141231	0.226979	0.0964267	0.0936744	0.230616	0.0729497	0.482988	0.60514	0.402731
290000	-28.60396	0	-28.60396	0.239403	0.0889661	0.0705061	0.271266	0.0611262	0.18938	0.828216	1.14772	2.47559
300000	-34.08274	0	-34.08274	0.128905	0.364139	0.222955	0.0507111	0.0489162	0.147101	0.514525	1.24318	2.61847
310000	-29.47212	0	-29.47212	0.197132	0.467151	0.204053	0.135156	0.202872	0.198809	0.958214	1.02225	0.880973
320000	-25.35868	0	-25.35868	0.152189	0.506429	0.109557	0.267875	0.198562	0.267362	1.04416	1.38396	1.64881
330000	-27.25337	0	-27.25337	0.0824872	0.197763	0.188034	0.0842265	0.109341	0.154582	0.888504	0.438254	1.23744
340000	-32.33131	0	-32.33131	0.199756	0.258886	0.128547	0.210325	0.170163	0.0716361	0.559708	1.34758	0.711806
350000	-35.52375	0	-35.52375	0.194083	0.283299	0.435319	0.23601	0.153739	0.080357	0.543825	0.572913	1.4084
360000	-30.13401	0	-30.13401	0.197634	0.396069	0.174823	0.12777	0.112874	0.0916614	1.18511	0.642413	0.791155
370000	-26.13493	0	-26.13493	0.376316	0.41044	0.311324	0.130923	0.105676	0.175087	2.42467	1.0907	0.491241
380000	-28.04224	0	-28.04224	0.216795	0.314157	0.13116	0.157784	0.127368	0.132917	1.59982	0.790644	1.8545
390000	-31.9519	0	-31.9519	0.165933	0.152999	0.154206	0.131829	0.2012	0.12764	0.742565	0.587008	0.656591
400000	-24.14966	0	-24.14966	0.241317	0.758371	0.111384	0.215206	0.171271	0.137578	0.4962	0.817952	0.525427
410000	-37.29831	0	-37.29831	0.341092	0.329555	0.209797	0.119169	0.186946	0.177759	0.703492	0.892483	0.401944
420000	-23.81544	0	-23.81544	0.11433	0.294134	0.122874	0.126142	0.140413	0.10321	1.62456	0.531692	0.763074
430000	-25.29976	0	-25.29976	0.152476	0.270884	0.0971353	0.124531	0.113524	0.162747	0.632437	0.971109	0.777414
440000	-26.76598	0	-26.76598	0.216028	0.14038	0.0989045	0.0833811	0.283163	0.0774821	1.67297	0.395849	1.88501
450000	-27.53749	0	-27.53749	0.0440999	0.419678	0.128751	0.108955	0.0775074	0.399617	1.56451	1.05293	1.94816
460000	-29.94182	0	-29.94182	0.163243	0.39976	0.201672	0.172232	0.213913	0.0706601	2.55553	1.3672	1.83918
470000	-30.26252	0	-30.26252	0.227174	0.162443	0.0753252	0.141191	0.116764	0.10445	0.894228	0.558127	0.815713
480000	-30.46592	0	-30.46592	0.216688	0.150225	0.207771	0.103432	0.151425	0.355472	3.23537	0.843912	0.789239
490000	-29.21747	0	-29.21747	0.240465	0.139544	0.134314	0.0542419	0.0490198	0.137271	1.12819	0.444252	0.768526
500000	-29.70783	0	-29.70783	0.441861	0.213404	0.243663	0.253365	0.0933172	0.0851774	1.54848	0.789023	1.818
510000	-31.11608	0	-31.11608	0.17875	0.291241	0.146869	0.164505	0.149847	0.0407492	0.710493	0.39812	1.25658
520000	-24.56373	0	-24.56373	0.107547	0.584981	0.0958855	0.138208	0.142167	0.0652237	2.14906	0.769406	0.958345
530000	-27.95741	0	-27.95741	0.228703	0.485107	0.0990495	0.251385	0.153048	0.194803	1.57534	0.991358	0.413821
540000	-29.38347	0	-29.38347	0.106198	0.138262	0.0654926	0.145797	0.141725	0.301453	1.33776	1.09133	1.06403
550000	-25.761	0	-25.761	0.116044	0.236136	0.132967	0.0688031	0.222595	0.150089	0.692083	1.28277	1.11371
560000	-25.11087	0	-25.11087	0.290102	0.565816	0.080082	0.0849568	0.0777731	0.248736	1.25773	0.727921	0.984715
570000	-29.29775	0	-29.29775	0.0851162	0.201324	0.11721	0.0897778	0.164114	0.116439	2.21162	0.753424	1.76092
580000	-24.9498	0	-24.9498	0.0989596	0.493976	0.164698	0.0973004	0.138421	0.115817	1.04167	0.716648	1.70349
590000	-30.78444	0	-30.78444	0.179024	0.182173	0.168682	0.250042	0.0662373	0.0941585	1.12565	1.54746	0.413395
600000	-35.84398	0	-35.84398	0.0479715	0.693836	0.112773	0.111713	0.070854	0.387506	1.30348	0.833567	0.700021
610000	-33.83175	0	-33.83175	0.194788	0.260309	0.276014	0.158961	0.105397	0.0845945	0.718026	0.547702	0.757823
620000	-22.09544	0	-22.09544	0.354251	0.417746	0.113872	0.214759	0.124311	0.146768	0.466366	1.27281	1.12581
630000	-21.94845	0	-21.94845	0.261748	0.132216	0.148695	0.129896	0.136189	0.0718081	0.594075	0.868911	0.443354
640000	-28.00415	0	-28.00415	0.212726	0.181257	0.0938874	0.0938201	0.0658577	0.0656084	1.19635	0.836176	1.31037
650000	-33.24823	0	-33.24823	0.105604	0.376808	0.0750429	0.102165	0.155806	0.16848	0.73682	0.757927	0.284002
660000	-39.85286	0	-39.85286	0.133662	0.565786	0.110614	0.204754	0.0920314	0.158077	0.994184	0.20789	0.218905
670000	-28.03032	0	-28.03032	0.292303	0.333736	0.212769	0.0872899	0.389246	0.136834	0.930939	0.681199	0.811191
680000	-28.83222	0	-28.83222	0.0716142	0.129592	0.24923	0.11998	0.266004	0.221725	0.682451	0.799086	0.686942
690000	-23.15729	0	-23.15729	0.102801	0.332483	0.101209	0.141351	0.169492	0.141638	1.09126	0.530286	1.09479
700000	-30.63356	0	-30.63356	0.125057	0.175336	0.164565	0.186565	0.155591	0.237901	1.33996	0.719114	0.688864
710000	-38.57737	0	-38.57737	0.156639	0.271535	0.203731	0.0476599	0.128597	0.10761	1.26706	0.928034	0.932835
720000	-33.76422	0	-33.76422	0.15182	0.15748	0.072822	0.0943151	0.364831	0.237603	1.16814	0.499616	0.708702
730000	-26.92716	0	-26.92716	0.660589	0.25618	0.145566	0.272644	0.102708	0.0656515	0.507919	1.095	0.436625
740000	-29.16187	0	-29.16187	0.130105	0.736753	0.124615	0.12275	0.142919	0.330111	0.938834	0.68687	0.472815
750000	-23.55157	0	-23.55157	0.158221	0.217997	0.0927613	0.0903113	0.137131	0.31569	2.35592	1.28843	0.366576
760000	-28.61485	0	-28.61485	0.182344	0.191234	0.15694	0.13425	0.186514	0.281795	0.804661	0.3876	0.604421
770000	-25.7848	0	-25.7848	0.157292	0.182411	0.200623	0.231628	0.0729145	0.139974	1.21873	0.63394	0.536926
780000	-32.4159	0	-32.4159	0.238479	0.143491	0.180183	0.0772277	0.13547	0.0571119	1.64583	0.827582	0.463185
790000	-23.80909	0	-23.80909	0.12852	0.411942	0.115386	0.130396	0.17741	0.10087	1.48813	1.22919	0.771858
800000	-30.12456	0	-30.12456	0.153424	0.149079	0.0831357	0.13074	0.188813	0.349567	1.10427	1.46422	1.24495
810000	-28.55797	0	-28.55797	0.152894	0.182964	0.116436	0.128727	0.0907962	0.190086	0.585769	0.651676	0.540182
820000	-32.11838	0	-32.11838	0.14651	0.160643	0.188634	0.0830783	0.275123	0.110105	2.48435	1.46056	1.61425
830000	-23.10438	0	-23.10438	0.120177	0.248119	0.0951133	0.193232	0.0869487	0.114977	1.11957	0.3976	0.742236
840000	-20.89404	0	-20.89404	0.168738	0.195428	0.117657	0.116787	0.075033	0.17942	1.38414	0.788304	0.680005
850000	-29.45063	0	-29.45063	0.134236	0.088255	0.259117	0.103395	0.0661451	0.189871	0.763453	0.734505	1.0951
860000	-29.77501	0	-29.77501	0.325727	0.404637	0.10338	0.117138	0.113823	0.0982948	0.55544	1.09967	0.748022
