Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-73.36591	0	-73.36591	0.105307	0.129774	0.0878319	0.145993	0.141712	0.207326
10000	-51.00794	0	-51.00794	0.182838	0.514573	0.310463	0.244996	0.0690672	0.154963
20000	-46.25377	0	-46.25377	0.153821	0.305916	0.205965	0.348217	0.102239	0.102358
30000	-47.41448	0	-47.41448	0.158836	0.534663	0.181334	0.438863	0.124299	0.207879
40000	-55.46815	0	-55.46815	0.689742	0.170705	0.538637	0.283833	0.0921976	0.0680951
50000	-49.30635	0	-49.30635	0.349717	0.20364	0.270716	0.291478	0.0532726	0.0886628
60000	-46.68797	0	-46.68797	0.114911	0.245336	0.259635	0.286573	0.0981829	0.0811389
70000	-47.60766	0	-47.60766	0.217994	0.234295	0.0688369	0.34171	0.180245	0.096219
80000	-44.63727	0	-44.63727	0.171742	0.371539	0.148883	0.262995	0.0888653	0.115924
90000	-47.09112	0	-47.09112	0.0827729	0.223633	0.161969	0.406501	0.0706885	0.101331
100000	-47.78799	0	-47.78799	0.117144	0.684259	0.254946	0.29452	0.0703407	0.133782
110000	-47.88147	0	-47.88147	0.302495	0.364653	0.14271	0.237752	0.0997411	0.119236
120000	-45.72835	0	-45.72835	0.126179	0.265979	0.169713	0.357779	0.140006	0.0919624
130000	-51.2051	0	-51.2051	0.438374	0.285124	0.296126	0.477919	0.0595535	0.162199
140000	-52.03186	0	-52.03186	0.267316	0.223645	0.070507	0.288896	0.0860054	0.0806671
150000	-46.46898	0	-46.46898	0.115135	0.485204	0.122466	0.356285	0.0981573	0.0983328
160000	-46.7746	0	-46.7746	0.157739	0.250725	0.156565	0.362296	0.0832711	0.131965
170000	-47.96986	0	-47.96986	0.0754406	0.14249	0.199751	0.224114	0.131156	0.0814884
180000	-46.60721	0	-46.60721	0.116051	0.199956	0.116807	0.191888	0.0571877	0.16036
190000	-44.83199	0	-44.83199	0.123263	0.554881	0.118494	0.353264	0.0541534	0.0904444
200000	-46.55437	0	-46.55437	0.122254	0.361509	0.118476	0.28767	0.156723	0.121295
210000	-54.96265	0	-54.96265	0.456988	0.613835	0.228854	0.816428	0.115689	0.250613
220000	-48.92302	0	-48.92302	0.205936	0.127404	0.211625	0.253934	0.094172	0.123358
230000	-46.57307	0	-46.57307	0.171801	0.218929	0.204873	0.294177	0.0713411	0.195529
240000	-49.52576	0	-49.52576	0.0469394	0.344754	0.222687	0.154829	0.098629	0.0997777
250000	-44.23376	0	-44.23376	0.0901367	0.637207	0.11999	0.311237	0.111847	0.0750825
260000	-44.2026	0	-44.2026	0.106445	0.36677	0.124971	0.172385	0.103775	0.096579
270000	-48.54979	0	-48.54979	0.109383	0.464999	0.365463	0.346313	0.063081	0.147266
280000	-49.62738	0	-49.62738	0.223021	0.270746	0.263018	0.430576	0.0986842	0.161767
290000	-47.01582	0	-47.01582	0.21674	0.248419	0.214608	0.1933	0.0865674	0.1535
300000	-50.62293	0	-50.62293	0.134035	0.228272	0.0956144	0.338885	0.0870432	0.158264
310000	-52.56338	0	-52.56338	0.109651	0.553317	0.236349	0.45525	0.293705	0.136169
320000	-50.28003	0	-50.28003	0.19072	0.128227	0.184916	0.407779	0.0871249	0.177459
330000	-53.89305	0	-53.89305	0.0948187	0.22777	0.113613	0.491468	0.12966	0.283076
340000	-44.62424	0	-44.62424	0.101842	0.318688	0.151547	0.26845	0.092293	0.0793984
350000	-49.30062	0	-49.30062	0.149701	0.355384	0.22275	0.245922	0.156828	0.0705703
360000	-49.14815	0	-49.14815	0.329068	0.372944	0.207157	0.282776	0.0739479	0.0876058
370000	-51.92844	0	-51.92844	0.495173	0.312338	0.42898	0.239715	0.0812764	0.0451767
380000	-48.76759	0	-48.76759	0.111201	0.338056	0.456279	0.345423	0.104084	0.0944251
390000	-47.66023	0	-47.66023	0.134069	0.23358	0.16229	0.147039	0.158897	0.0985588
400000	-46.1849	0	-46.1849	0.0571708	0.330497	0.223904	0.19293	0.0552097	0.108655
410000	-50.62039	0	-50.62039	0.107121	0.346	0.081275	0.175214	0.171136	0.0704596
420000	-46.50471	0	-46.50471	0.0651968	0.325292	0.0954374	0.21752	0.0469194	0.0940822
430000	-48.88539	0	-48.88539	0.115183	0.59523	0.211417	0.488347	0.15095	0.200999
440000	-48.54707	0	-48.54707	0.177334	0.645943	0.210025	0.254202	0.153366	0.0662694
450000	-50.64379	0	-50.64379	0.23582	0.448156	0.086388	0.327268	0.26584	0.10185
460000	-48.74167	0	-48.74167	0.0693251	0.305719	0.122103	0.344498	0.0918472	0.156661
470000	-49.09192	0	-49.09192	0.346836	0.326724	0.246651	0.299743	0.0506459	0.1632
480000	-48.00282	0	-48.00282	0.145152	0.400159	0.269416	0.445582	0.0648793	0.146895
490000	-47.03878	0	-47.03878	0.0961468	0.297755	0.215644	0.452454	0.0481409	0.0785127
500000	-48.55627	0	-48.55627	0.211776	0.341752	0.165013	0.205329	0.0989028	0.183411
510000	-46.33628	0	-46.33628	0.160319	0.196953	0.166382	0.319168	0.0723679	0.136579
520000	-49.65268	0	-49.65268	0.225606	0.280678	0.103017	0.330724	0.0508205	0.168337
530000	-46.95964	0	-46.95964	0.0751772	0.353902	0.10254	0.394856	0.0747314	0.0618352
540000	-48.0593	0	-48.0593	0.394025	0.305953	0.137309	0.378661	0.0988547	0.126736
550000	-48.63112	0	-48.63112	0.165238	0.347079	0.0822506	0.314647	0.148807	0.0967526
560000	-46.5881	0	-46.5881	0.18376	0.544545	0.130711	0.318538	0.179329	0.144794
570000	-48.89334	0	-48.89334	0.067838	0.237933	0.15544	0.268605	0.136577	0.0841105
580000	-48.95955	0	-48.95955	0.0869089	0.552231	0.141424	0.24862	0.170264	0.0359531
590000	-46.4035	0	-46.4035	0.174219	0.425279	0.105146	0.477397	0.132303	0.100319
600000	-50.28835	0	-50.28835	0.231823	0.393993	0.24171	0.415321	0.112309	0.251822
610000	-49.45295	0	-49.45295	0.545218	0.372042	0.165775	0.362695	0.144871	0.0646522
620000	-46.17141	0	-46.17141	0.189089	0.351475	0.0904043	0.253584	0.0867751	0.0657492
630000	-44.94498	0	-44.94498	0.123574	0.722962	0.137228	0.360592	0.0816181	0.101455
640000	-49.30734	0	-49.30734	0.163794	0.61128	0.259281	0.163489	0.139196	0.0958347
650000	-46.24732	0	-46.24732	0.227332	0.379123	0.117853	0.212347	0.0744099	0.183388
660000	-46.48792	0	-46.48792	0.158809	0.185168	0.189418	0.232308	0.162791	0.101059
670000	-44.22751	0	-44.22751	0.077809	0.577811	0.106674	0.281116	0.074599	0.107082
680000	-45.26586	0	-45.26586	0.0652416	0.56418	0.09265	0.330566	0.111408	0.108032
690000	-46.59666	0	-46.59666	0.138196	0.193584	0.184983	0.375596	0.0932879	0.100087
700000	-48.93235	0	-48.93235	0.145247	0.380384	0.179649	0.336729	0.208628	0.299586
710000	-49.46127	0	-49.46127	0.102582	0.356733	0.178541	0.18949	0.150737	0.134731
720000	-46.22427	0	-46.22427	0.237467	0.219377	0.134453	0.265026	0.125924	0.192985
730000	-48.43593	0	-48.43593	0.133402	0.381322	0.251313	0.302812	0.0709447	0.116903
740000	-46.8378	0	-46.8378	0.2812	0.400484	0.161284	0.448535	0.123817	0.0832777
750000	-48.4244	0	-48.4244	0.314296	0.249563	0.184487	0.326608	0.111642	0.136227
760000	-49.5998	0	-49.5998	0.104431	0.427227	0.186346	0.272157	0.165387	0.162739
770000	-48.96413	0	-48.96413	0.337425	0.501748	0.196109	0.238947	0.208896	0.0937811
780000	-44.62814	0	-44.62814	0.128772	0.249181	0.112107	0.414677	0.0663033	0.0759997
790000	-48.13881	0	-48.13881	0.491945	0.189631	0.136555	0.344798	0.119632	0.175281
800000	-49.29065	0	-49.29065	0.148456	0.208937	0.228771	0.182463	0.0548723	0.211367
810000	-45.90638	0	-45.90638	0.0434799	0.646056	0.159556	0.331387	0.128383	0.103539
820000	-49.30646	0	-49.30646	0.252906	0.129887	0.162679	0.298165	0.145265	0.100227
830000	-46.34142	0	-46.34142	0.119538	0.350132	0.208164	0.243517	0.0668469	0.191161
840000	-46.81774	0	-46.81774	0.171517	0.180458	0.132081	0.398369	0.136088	0.146717
850000	-48.8316	0	-48.8316	0.163914	0.39518	0.264457	0.334995	0.0420221	0.124638
860000	-48.09102	0	-48.09102	0.0919422	0.220893	0.229392	0.304864	0.109644	0.138019
870000	-46.73265	0	-46.73265	0.239457	0.344031	0.221244	0.271877	0.170555	0.0971227
880000	-47.74489	0	-47.74489	0.276436	0.186643	0.121506	0.23313	0.133256	0.0480857
890000	-46.44516	0	-46.44516	0.146664	0.130358	0.107392	0.341068	0.0886401	0.114272
900000	-51.09463	0	-51.09463	0.217513	0.272385	0.13473	0.334684	0.153473	0.120053
910000	-46.75149	0	-46.75149	0.132252	0.286015	0.172638	0.300695	0.12979	0.275188
920000	-48.62924	0	-48.62924	0.161975	0.448357	0.169896	0.218169	0.114222	0.126285
930000	-49.18993	0	-49.18993	0.331726	0.262077	0.17304	0.378059	0.0516571	0.043151
940000	-47.93613	0	-47.93613	0.37829	0.296231	0.182607	0.276584	0.185094	0.157834
950000	-50.77896	0	-50.77896	0.177126	0.226981	0.186781	0.517537	0.122477	0.0818621
960000	-48.5702	0	-48.5702	0.441083	0.232233	0.0811002	0.247256	0.130035	0.0506472
970000	-48.29	0	-48.29	0.318842	0.325009	0.0987625	0.267694	0.0908445	0.0789591
980000	-51.81576	0	-51.81576	0.260366	0.372326	0.181598	0.251691	0.209615	0.0574974
990000	-50.15606	0	-50.15606	0.12573	0.433299	0.242705	0.469303	0.0576895	0.0450048
1000000	-51.22184	0	-51.22184	0.233218	0.473758	0.200855	0.40502	0.0458818	0.0523375
1010000	-49.28897	0	-49.28897	0.362018	0.32291	0.216479	0.372603	0.0496662	0.0836921
1020000	-45.40792	0	-45.40792	0.168502	0.39881	0.137425	0.314801	0.18509	0.0697108
1030000	-50.28693	0	-50.28693	0.23276	0.56925	0.107414	0.166181	0.0715282	0.273484
1040000	-44.36805	0	-44.36805	0.147234	0.245424	0.105991	0.237454	0.0756497	0.144626
1050000	-50.27036	0	-50.27036	0.184995	0.21147	0.292769	0.393358	0.0515861	0.164479
1060000	-50.3938	0	-50.3938	0.258937	0.0943133	0.113724	0.14372	0.0984664	0.0753006
1070000	-48.45465	0	-48.45465	0.112851	0.306385	0.264331	0.370561	0.20951	0.0816022
1080000	-46.17458	0	-46.17458	0.123304	0.239508	0.0835358	0.380632	0.14688	0.124505
1090000	-49.30887	0	-49.30887	0.224327	0.48715	0.146817	0.306441	0.20063	0.0666975
1100000	-48.21436	0	-48.21436	0.146234	0.237619	0.264855	0.20404	0.189277	0.11315
1110000	-47.72673	0	-47.72673	0.144788	0.326414	0.149882	0.150413	0.0854815	0.141477
1120000	-49.80739	0	-49.80739	0.164979	0.187912	0.11937	0.182267	0.149871	0.102305
1130000	-49.2924	0	-49.2924	0.0993121	0.405604	0.306519	0.373753	0.151627	0.0975435
