Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-35.88374	0	-35.88374	0.0944604	0.164618	0.0818093	0.112137	0.0865817	0.0938076	0.406876	0.151582	0.290247
10000	-40.44983	0	-40.44983	0.0955311	0.198781	0.22043	0.217802	0.0779258	0.207885	0.655341	0.464694	2.28015
20000	-28.98712	0	-28.98712	0.0760521	0.173924	0.0966553	0.231238	0.148101	0.0793486	0.391554	0.962125	0.281008
30000	-34.38073	0	-34.38073	0.0872916	0.16088	0.340822	0.133663	0.252537	0.0676258	0.200339	0.689477	1.37853
40000	-27.56242	0	-27.56242	0.131328	0.320335	0.249899	0.193056	0.141443	0.118767	0.567477	1.44937	4.50206
50000	-26.54831	0	-26.54831	0.100298	0.168494	0.226205	0.161323	0.162712	0.130624	0.305407	1.04624	1.24228
60000	-30.39497	0	-30.39497	0.0486052	0.0981929	0.184335	0.393354	0.0964954	0.110661	0.351991	0.647069	1.19961
70000	-30.45354	0	-30.45354	0.259735	0.165727	0.301056	0.261216	0.0948093	0.200299	0.230587	0.649654	2.55607
80000	-28.31685	0	-28.31685	0.170797	0.222121	0.13167	0.35047	0.0657785	0.17162	0.70766	1.93684	0.360546
90000	-32.26514	0	-32.26514	0.176222	0.104259	0.124053	0.236943	0.10906	0.17411	0.766652	0.361507	2.46972
100000	-25.63531	0	-25.63531	0.129909	0.0930345	0.2315	0.260385	0.293385	0.0712395	0.426594	1.81306	1.45786
110000	-27.7998	0	-27.7998	0.210945	0.198126	0.19111	0.414573	0.236688	0.0997882	0.842157	4.09976	1.30405
120000	-31.3244	0	-31.3244	0.04801	0.146592	0.191106	0.286909	0.104541	0.135262	0.612106	0.351415	1.78114
130000	-31.91599	0	-31.91599	0.0669914	0.236176	0.154793	0.411123	0.130519	0.0717519	0.127109	0.544305	1.22361
140000	-22.35573	0	-22.35573	0.198096	0.0912716	0.130729	0.57035	0.142861	0.173533	1.94326	1.43289	1.97798
150000	-28.17534	0	-28.17534	0.0696114	0.22565	0.0870629	0.338842	0.111821	0.137801	0.693049	0.657787	0.889868
160000	-30.43578	0	-30.43578	0.37278	0.144594	0.141559	0.259924	0.0992402	0.096092	0.113037	0.68907	2.39994
170000	-35.47029	0	-35.47029	0.0744822	0.23014	0.252728	0.245272	0.154251	0.14914	0.0695279	0.212599	3.40281
180000	-28.57865	0	-28.57865	0.13906	0.148149	0.082892	0.169167	0.125517	0.190708	0.405103	0.797978	0.312882
190000	-31.38261	0	-31.38261	0.202939	0.556637	0.19795	0.308746	0.240219	0.0971137	0.559911	1.31823	2.66715
200000	-30.78122	0	-30.78122	0.182421	0.177172	0.143471	0.257575	0.201972	0.1201	0.922346	0.528697	1.32426
210000	-33.60766	0	-33.60766	0.0763643	0.280679	0.0850536	0.530249	0.167298	0.317464	1.19576	0.624794	1.83623
220000	-30.80081	0	-30.80081	0.229054	0.225018	0.172752	0.233929	0.0824078	0.0660855	0.240168	0.714637	2.93287
230000	-29.69666	0	-29.69666	0.106948	0.179472	0.21961	0.300784	0.0893131	0.0990903	0.479911	1.57098	1.85013
240000	-34.34324	0	-34.34324	0.200487	0.167836	0.103133	0.229684	0.271744	0.153591	0.743596	0.278561	0.505614
