Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-82.17364	0	-82.17364	0.188312	0.173334	0.146263	0.0928504	0.100658	0.125668
10000	-37.81053	0	-37.81053	0.298371	0.0840382	0.122246	0.520781	0.114836	0.101915
20000	-38.38846	0	-38.38846	0.257835	0.19742	0.130179	0.350937	0.0876105	0.0925478
30000	-40.59498	0	-40.59498	0.112958	0.104364	0.190582	0.244847	0.169295	0.129309
40000	-40.4053	0	-40.4053	0.140415	0.212797	0.102786	0.243457	0.159506	0.143528
50000	-43.19364	0	-43.19364	0.376736	0.125277	0.372203	0.346263	0.128316	0.0522154
60000	-47.07537	0	-47.07537	0.30236	0.222708	0.173309	0.296581	0.0422839	0.255926
70000	-38.86978	0	-38.86978	0.354589	0.144812	0.325635	0.339656	0.14126	0.0578718
80000	-40.49974	0	-40.49974	0.255817	0.212004	0.138531	0.210829	0.127807	0.0738862
90000	-41.34987	0	-41.34987	0.357774	0.200809	0.120834	0.365342	0.0525196	0.0573003
100000	-41.253	0	-41.253	0.167551	0.21701	0.0824782	0.440812	0.184097	0.0836592
110000	-48.54742	0	-48.54742	0.399446	0.106581	0.227799	0.181144	0.0717774	0.073851
120000	-43.3475	0	-43.3475	0.137985	0.230361	0.1354	0.35753	0.149873	0.158592
130000	-40.04255	0	-40.04255	0.24315	0.119224	0.168219	0.322977	0.0463062	0.0871904
140000	-43.29139	0	-43.29139	0.170389	0.054508	0.148375	0.384231	0.202799	0.157997
150000	-39.29998	0	-39.29998	0.172695	0.259138	0.0905567	0.342411	0.105805	0.104235
160000	-41.81818	0	-41.81818	0.427825	0.158009	0.116442	0.354368	0.0813161	0.198188
170000	-45.48266	0	-45.48266	0.437795	0.127912	0.204984	0.181507	0.12148	0.149095
180000	-43.04844	0	-43.04844	0.474912	0.125118	0.160473	0.583351	0.106912	0.129555
190000	-46.58073	0	-46.58073	0.22028	0.283216	0.16579	0.348118	0.0437935	0.217896
200000	-41.09675	0	-41.09675	0.166192	0.244308	0.145625	0.356022	0.123545	0.0857074
210000	-40.07758	0	-40.07758	0.180806	0.104654	0.202941	0.353529	0.122125	0.0581441
