Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
0	-63.39413	0	-63.39413	0.313115	0.0863009	0.147217	0.0699796	0.281164	0.120027	3.58734	3.00908	1.5203
10000	-17.31223	0	-17.31223	0.0876464	0.132395	0.167645	0.266566	0.117462	0.0885371	1.29417	0.988081	2.09716
20000	-27.84606	0	-27.84606	0.195694	0.325532	0.129183	0.684431	0.071062	0.0705568	0.376747	3.39927	0.57818
30000	-21.29909	0	-21.29909	0.139455	0.187841	0.17483	0.129419	0.0966768	0.0769784	0.783635	0.181646	1.44656
40000	-23.59816	0	-23.59816	0.22479	0.170121	0.321925	0.220067	0.22584	0.173824	1.2237	0.841687	1.76095
50000	-17.8072	0	-17.8072	0.103775	0.0926568	0.276343	0.20958	0.157355	0.136822	1.71792	0.641107	0.971668
60000	-22.29932	0	-22.29932	0.0862973	0.165205	0.0645589	0.125397	0.203539	0.131926	0.93297	1.13421	0.853824
70000	-21.23749	0	-21.23749	0.167289	0.144915	0.309442	0.466372	0.17096	0.0730865	2.01138	2.12235	0.656741
80000	-20.86647	0	-20.86647	0.198147	0.210003	0.210432	0.292107	0.108479	0.168793	2.56454	0.741896	0.452007
90000	-14.96686	0	-14.96686	0.0702546	0.137906	0.169186	0.288474	0.109298	0.107398	3.5311	1.87807	0.565522
100000	-18.25168	0	-18.25168	0.119828	0.170081	0.299987	0.239113	0.0987301	0.111372	2.90851	0.591639	1.67285
110000	-16.0903	0	-16.0903	0.152006	0.148007	0.158754	0.277316	0.144399	0.110927	2.08555	1.99231	2.90081
120000	-14.70816	0	-14.70816	0.0667319	0.209408	0.275382	0.197797	0.165881	0.0924403	3.96099	3.00054	3.43865
130000	-19.02152	0	-19.02152	0.171189	0.193401	0.171861	0.203469	0.150871	0.151885	3.53259	1.15201	1.07493
140000	-18.32019	0	-18.32019	0.108605	0.0916572	0.122284	0.216448	0.160739	0.252659	2.51382	1.36873	1.45854
150000	-17.2052	0	-17.2052	0.13689	0.179392	0.201709	0.319565	0.111643	0.147602	1.46332	1.64054	3.06431
160000	-23.13863	0	-23.13863	0.118617	0.263522	0.140479	0.336709	0.161297	0.0947593	2.26938	0.543821	0.0429709
170000	-16.30881	0	-16.30881	0.135862	0.150367	0.0852104	0.365541	0.130209	0.151369	1.9303	1.04962	1.04477
180000	-17.81603	0	-17.81603	0.181528	0.234422	0.143698	0.130264	0.226193	0.167955	1.79028	0.436101	1.96835
190000	-21.79078	0	-21.79078	0.134903	0.204369	0.0974161	0.107218	0.0725919	0.11868	1.38799	2.36307	0.119876
200000	-20.22836	0	-20.22836	0.177091	0.120944	0.0869351	0.299771	0.135072	0.0925368	3.13957	1.71331	0.936981
210000	-17.07863	0	-17.07863	0.0633579	0.118422	0.100543	0.256506	0.161377	0.128757	1.46716	1.20489	1.57603
220000	-15.43374	0	-15.43374	0.145092	0.113872	0.129735	0.326965	0.166406	0.136828	1.72711	1.71678	2.10624
230000	-25.1018	0	-25.1018	0.0934425	0.14061	0.163887	0.233025	0.127448	0.0931933	2.03702	0.423023	0.0299055
240000	-21.52207	0	-21.52207	0.187623	0.065349	0.130943	0.264371	0.196871	0.0933486	4.47007	1.18032	0.157322
250000	-22.7854	0	-22.7854	0.0444748	0.285167	0.0399001	0.150009	0.0582441	0.189288	1.90911	0.866097	1.66118
260000	-12.96817	0	-12.96817	0.0975593	0.167574	0.192946	0.2398	0.0904117	0.126519	3.1382	1.10776	1.73392
270000	-19.99595	0	-19.99595	0.103729	0.0425962	0.212305	0.107621	0.125252	0.100805	1.27379	1.57053	2.63264
280000	-14.30871	0	-14.30871	0.133888	0.203364	0.196213	0.211235	0.0991695	0.068416	3.32317	2.23406	1.90107
290000	-30.4951	0	-30.4951	0.0488218	0.388428	0.153225	0.082331	0.0801778	0.127805	0.305096	2.09334	1.11272
300000	-20.72246	0	-20.72246	0.20363	0.380813	0.151737	0.309998	0.11037	0.0808626	1.57404	3.10721	0.444253
310000	-22.18777	0	-22.18777	0.123288	0.109164	0.266215	0.204415	0.0801586	0.207589	0.857174	0.385326	1.43776
320000	-22.47038	0	-22.47038	0.103736	0.107851	0.13053	0.0707879	0.0963765	0.227341	1.23363	4.36065	0.710871
330000	-15.73062	0	-15.73062	0.126639	0.107562	0.162437	0.382055	0.0866058	0.0752462	2.24166	1.26666	0.852953
340000	-23.68268	0	-23.68268	0.120679	0.0977176	0.186514	0.315144	0.111762	0.109808	1.77647	0.560386	0.260302
350000	-16.0268	0	-16.0268	0.141153	0.112746	0.24162	0.191577	0.145524	0.137425	1.44144	4.47585	1.84253
360000	-25.75187	0	-25.75187	0.0678808	0.108488	0.198492	0.0618796	0.0476555	0.0665074	1.69863	0.974256	0.912561
370000	-19.92645	0	-19.92645	0.0910468	0.183972	0.393511	0.304837	0.178445	0.150968	2.90703	0.363199	0.626047
380000	-16.15777	0	-16.15777	0.138373	0.176988	0.280171	0.165252	0.174984	0.0902143	2.07373	0.775262	1.62933
390000	-23.74184	0	-23.74184	0.120334	0.23768	0.198497	0.238875	0.151987	0.0506443	0.893335	0.571763	0.429338
400000	-21.35133	0	-21.35133	0.165027	0.114988	0.236769	0.224245	0.227722	0.056633	0.588994	1.32441	5.11689
410000	-16.34976	0	-16.34976	0.110866	0.169199	0.123708	0.331886	0.0680101	0.143592	1.11771	2.233	0.414838
420000	-17.34352	0	-17.34352	0.197993	0.159395	0.205943	0.25016	0.068791	0.0931851	0.92123	1.08666	2.37932
430000	-27.08289	0	-27.08289	0.177478	0.163089	0.162279	0.302907	0.18382	0.217895	0.413849	1.13268	2.76294
440000	-21.28373	0	-21.28373	0.0738998	0.155942	0.287426	0.266974	0.190207	0.199139	0.288776	0.957504	1.17263
450000	-18.40956	0	-18.40956	0.22051	0.160342	0.128412	0.323691	0.180214	0.136035	4.05806	2.59761	0.590544
460000	-20.75854	0	-20.75854	0.0604647	0.177205	0.146421	0.364618	0.173709	0.099313	4.44534	1.72068	0.093023
470000	-25.24637	0	-25.24637	0.124396	0.188688	0.138402	0.139968	0.168856	0.105945	2.0619	0.54612	0.0987494
