taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	1	1	0
t4	0	1	0
t5	0	1	0
t6	0	1	1
t8	0	1	0
t9	0	1	0
t10	1	0	0
t12	1	0	0
t13	0	1	0
t14	1	0	0
t16	0	1	0
t17	1	0	0
t18	1	0	0
t19	1	0	0
t20	1	0	0
t22	1	0	0
t23	1	0	0
t25	1	1	0
t27	1	0	0
t28	1	0	0
t29	1	0	0
t30	1	1	0
t31	1	1	0
t32	1	0	0
t33	1	0	0
t35	1	0	0
t36	1	0	0
t38	1	0	0
t40	1	0	0
t42	1	0	0
t43	1	0	0
t44	1	0	0
t46	1	0	0
t47	1	0	0
t49	1	0	0
t50	1	0	0
t52	1	0	0
t54	0	1	0
t55	0	1	0
t56	1	1	0
t58	1	0	0
t59	0	1	0
t60	1	0	0
t61	1	0	0
t64	1	0	0
t68	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t75	1	0	0
t76	1	0	0
t77	1	0	0
t78	1	0	0
t79	1	0	0
t83	1	0	0
t84	1	0	0
t86	1	0	0
t89	0	1	0
t90	1	1	0
t91	1	1	0
t92	1	0	0
t93	1	1	0
t94	1	0	0
t95	1	0	0
t96	1	1	0
t97	1	0	0
t99	1	0	0
t100	1	0	0
t101	1	0	0
t103	1	0	0
t105	1	0	0
t107	1	0	0
t108	1	0	0
t110	1	1	0
t111	1	0	0
t113	1	0	0
t114	1	0	0
t116	1	0	0
t119	1	0	0
t120	1	0	0
t121	1	0	0
t129	1	0	0
t130	1	0	0
t131	1	0	0
t133	1	0	0
t137	1	0	0
t138	1	0	0
t140	1	0	0
t144	1	0	0
t146	0	1	0
t147	0	1	0
t148	1	0	0
t149	1	0	0
t154	1	0	0
t156	1	0	0
t157	1	0	0
t158	1	0	0
t159	1	0	0
t161	1	0	0
t162	1	0	0
t163	1	0	0
t164	1	0	0
t165	1	0	0
t166	1	0	0
t168	1	0	0
t169	1	0	0
t170	1	0	0
t172	1	0	0
t175	1	0	0
t179	1	0	0
t180	1	0	0
t182	1	0	0
t184	1	0	0
t185	1	0	0
t186	1	0	0
t187	1	0	0
t189	1	0	0
t191	1	0	0
t192	1	0	0
t194	1	0	0
t195	1	0	0
t198	1	0	0
t199	1	0	0
t202	1	0	0
t203	1	0	0
t204	1	0	0
t205	1	0	0
t209	1	0	0
t213	1	0	0
t214	1	0	0
t215	1	0	0
t216	1	0	0
t217	1	0	0
t218	1	0	0
t219	0	1	0
t221	1	0	0
t223	1	0	0
t224	1	0	0
t225	1	0	0
t226	1	0	0
t228	1	0	0
t230	1	0	0
t232	1	0	0
t235	1	0	0
t237	1	0	0
t238	1	0	0
t241	1	1	0
t242	1	0	0
t243	1	0	0
t244	1	0	0
t247	1	0	0
t248	1	0	0
t249	1	0	0
t250	1	0	0
t251	1	0	0
t252	1	0	0
t253	1	0	0
t254	1	0	0
t256	1	0	0
t262	1	0	0
t263	1	0	0
t264	1	0	0
t265	1	0	0
t267	1	0	0
t268	1	0	0
t271	1	0	0
t272	1	0	0
t276	1	0	0
t277	1	0	0
t278	1	0	0
t279	1	0	0
t280	1	0	0
t284	1	0	0
t285	1	0	0
t286	1	0	0
t287	1	0	0
t288	1	0	0
t289	1	0	0
t290	1	0	0
t291	1	0	0
t294	1	0	0
t299	1	0	0
t302	1	0	0
t306	1	0	0
t310	1	1	0
t311	1	0	0
t318	1	0	0
t322	1	0	0
t323	1	0	0
t324	1	0	0
t326	1	0	0
t329	1	0	0
t330	1	0	0
t331	1	0	0
t338	1	0	0
t339	1	0	0
t340	1	0	0
t341	1	0	0
t343	1	0	0
t345	1	0	0
t346	1	0	0
t347	1	0	0
t350	1	0	0
t351	1	0	0
t352	1	0	0
t355	1	0	0
t358	1	0	0
t361	1	0	0
t364	1	0	0
t365	1	0	0
t369	1	0	0
t371	1	0	0
t373	1	0	0
t375	1	0	0
t379	1	0	0
t380	1	0	0
t381	1	0	0
t383	1	0	0
t384	1	0	0
t386	1	0	0
t389	1	0	0
t390	1	0	0
t391	1	0	0
t395	1	0	0
t396	1	0	0
t397	1	0	0
t400	1	0	0
t401	1	0	0
t402	1	0	0
t404	1	0	0
t407	1	0	0
t408	1	0	0
t409	1	0	0
t411	1	0	0
t413	1	0	0
t414	1	0	0
t415	1	0	0
t417	1	0	0
t418	1	0	0
t419	1	0	0
t420	1	0	0
t421	1	0	0
t422	1	0	0
t424	1	0	0
t425	1	0	0
t428	1	0	0
t430	1	0	0
t431	1	0	0
t434	1	0	0
t437	1	0	0
t438	1	0	0
t441	1	0	0
t442	1	0	0
t446	1	0	0
t447	1	0	0
t453	1	0	0
t456	1	0	0
t457	1	0	0
t458	1	0	0
t459	1	0	0
t466	1	0	0
t472	1	0	0
t473	1	0	0
t474	1	0	0
t475	1	0	0
t476	1	0	0
t478	1	0	0
t479	1	0	0
t480	1	0	0
t483	1	0	0
t484	1	0	0
t485	1	0	0
t487	1	0	0
t488	1	0	0
t491	1	0	0
t493	1	0	0
t494	1	0	0
t506	1	0	0
t510	1	0	0
t515	1	0	0
t517	1	0	0
t518	1	0	0
t519	1	0	0
t520	1	0	0
t521	1	0	0
t525	1	0	0
t532	1	0	0
t537	1	0	0
t538	1	0	0
t540	1	0	0
t548	1	0	0
t552	1	0	0
t556	1	0	0
t560	1	0	0
t562	1	0	0
t563	1	0	0
t564	1	0	0
t569	1	0	0
t570	1	0	0
t571	1	0	0
t573	1	0	0
t578	1	0	0
t579	1	0	0
t580	1	0	0
t581	1	0	0
