taxon	fad	lad
t1	24.5798164919336	21.4912894542777
t2	21.6489225721925	21.3385274884918
t3	16.4394076608355	13.6677910625547
t5	4.88146322423123	0.886538858507357
t10	11.7032743964719	11.7032743964719
t12	7.66504993195656	7.39570818840537
t15	14.4837515449526	5.52022291474408
t17	3.97965958747821	3.07760331875143
t18	3.71594595400111	3.71594595400111
t19	7.1413900811754	1.13348273457484
t21	4.6854793240076	4.41757932212905
t22	3.50976552023101	3.50976552023101
t23	2.16982081905709	1.70418422246577
t26	4.02393186809665	1.64168671739147
t29	2.14036824156913	2.14036824156913
t30	6.09890219482182	6.09890219482182
t31	2.78149835143559	2.78149835143559
t33	5.37740413246293	2.03446565329245
t35	1.8990932069789	0.280588189146982
t36	2.34071303950634	2.34071303950634
t41	4.95096697714281	1.05805931092996
t44	4.34827267780855	1.74291913068842
t46	2.25402043049399	1.3842952112095
t47	2.51957763264146	2.51957763264146
t48	0.991745623311189	0.991745623311189
