taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	0	1	1
t4	0	1	1
t5	0	1	1
t6	1	1	1
t8	0	1	0
t9	0	1	0
t10	1	0	0
t13	1	1	1
t14	0	1	0
t15	0	0	1
t16	0	1	0
t18	1	0	0
t19	1	0	0
t21	1	0	0
t23	1	0	0
t25	1	0	0
t26	0	1	0
t30	0	1	0
t37	1	0	0
t38	1	0	0
t41	0	1	0
t42	1	0	0
t43	1	1	0
t47	0	1	0
t48	1	0	0
t50	1	0	0
t51	1	1	0
t52	1	1	0
t53	1	0	0
t54	1	0	0
t57	1	0	0
t62	1	0	0
t64	1	0	0
t67	1	0	0
t70	1	0	0
t72	1	0	0
t73	1	0	0
t76	1	0	0
t80	1	0	0
t81	1	0	0
t82	1	0	0
t83	1	0	0
t84	1	0	0
t87	1	0	0
t88	1	0	0
t89	1	0	0
t95	1	0	0
t96	1	0	0
t98	1	0	0
t99	1	0	0
t100	1	0	0
t104	1	0	0
t105	1	0	0
t107	1	0	0
t115	1	0	0
t116	1	0	0
t117	1	0	0
t120	1	0	0
t121	1	0	0
t122	1	0	0
t125	1	0	0
t127	1	0	0
t129	1	0	0
t130	1	0	0
t134	1	0	0
t136	1	0	0
t138	1	0	0
t140	1	0	0
t144	1	0	0
t147	1	0	0
t148	1	0	0
t150	1	0	0
t152	1	0	0
t154	1	0	0
t155	1	0	0
t156	1	0	0
t159	1	0	0
t160	1	0	0
t164	1	0	0
t166	1	0	0
t169	1	0	0
t170	1	0	0
t176	1	0	0
t180	1	0	0
t187	1	0	0
t192	1	0	0
t200	1	0	0
t209	1	0	0
t212	1	0	0
t226	1	0	0
t230	1	0	0
t238	1	0	0
