taxon	min_age	max_age	status
t1	7.17048904571372	9.05871153436601	extant
t1	1.71756675381524	3.53612188513701	extant
t2	5.50031253478179	7.17048904571372	extant
t2	1.71756675381524	3.53612188513701	extant
t3	7.17048904571372	9.05871153436601	extant
t3	1.71756675381524	3.53612188513701	extant
t4	0	1.71756675381524	extant
t6	7.17048904571372	9.05871153436601	extant
t6	1.71756675381524	3.53612188513701	extant
t7	3.53612188513701	5.50031253478179	extant
t10	3.53612188513701	5.50031253478179	extant
t10	1.71756675381524	3.53612188513701	extant
t12	5.50031253478179	7.17048904571372	extant
t12	0	1.71756675381524	extant
t13	7.17048904571372	9.05871153436601	extant
t14	0	1.71756675381524	extant
t15	5.50031253478179	7.17048904571372	extant
t16	0	1.71756675381524	extant
t20	5.50031253478179	7.17048904571372	extinct
t24	0	1.71756675381524	extant
t26	0	1.71756675381524	extant
t31	0	1.71756675381524	extant
