taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	0	1
t3	0	0	1
t5	0	1	0
t6	0	1	1
t7	0	0	1
t8	0	1	1
t9	1	0	0
t10	1	0	0
t11	1	0	0
t13	1	1	0
t14	1	0	0
t15	1	0	0
t16	0	1	1
t17	1	1	0
t20	0	0	1
t21	1	0	0
t23	1	0	0
t25	1	0	0
t28	1	0	0
t34	1	0	0
t35	1	0	0
t38	1	0	0
t40	1	1	0
t41	0	1	0
t42	1	0	0
t43	1	0	0
t44	1	0	0
t45	1	0	0
t46	1	0	0
t47	1	1	0
t50	1	0	0
t53	1	0	0
t55	1	0	0
t56	1	0	0
t57	1	0	0
t59	1	0	0
t61	1	0	0
t62	1	0	0
t63	0	1	0
t64	0	1	0
t67	1	0	0
t69	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t73	1	0	0
t75	1	0	0
t76	1	0	0
t77	1	0	0
t82	1	0	0
t88	1	0	0
t91	1	1	0
t92	1	1	0
t94	1	0	0
t95	1	0	0
t99	1	0	0
t106	1	1	0
t107	1	0	0
t108	1	0	0
t109	1	0	0
t110	1	0	0
t114	1	0	0
t117	1	0	0
t119	1	0	0
t120	1	0	0
t123	1	0	0
t126	1	0	0
t127	1	0	0
