taxon	int_1	int_2
t5	1	0
t9	0	1
t10	1	1
t12	0	1
t13	1	0
t14	1	0
t15	0	1
t17	1	1
t18	1	1
t20	0	1
t24	1	0
t25	1	0
t26	1	0
t27	0	1
t28	1	1
t29	1	0
t30	1	1
t31	1	1
t32	1	0
t34	1	1
t35	1	1
t37	1	0
t38	1	1
t39	1	1
t40	1	0
t41	0	1
t42	0	1
t43	1	1
t44	1	0
t45	1	1
t46	1	0
t48	1	0
t49	1	0
t50	1	0
t52	1	0
t54	1	1
t55	1	0
t56	1	0
t57	1	0
t58	1	1
t59	1	0
t60	1	0
t61	1	0
t64	1	0
t65	1	0
t66	1	0
t71	1	0
t74	1	0
t75	1	0
t76	1	0
t77	1	0
t78	1	1
t79	1	1
t81	1	0
t82	1	0
t83	1	0
t87	1	0
t90	1	0
t93	1	1
t94	1	0
t95	1	1
t97	1	0
t98	1	0
t99	1	0
t100	1	0
t101	1	0
t103	1	0
t104	1	1
t105	1	0
t106	1	0
t108	1	0
t110	1	0
t111	1	0
t112	1	0
t114	1	0
t116	1	0
t117	1	0
