taxon	min_age	max_age	status
t1	7.33555954205804	9.20646017052544	extant
t1	1.82464933752393	3.78914864943363	extant
t3	7.33555954205804	9.20646017052544	extant
t3	1.82464933752393	3.78914864943363	extant
t4	5.63949456710058	7.33555954205804	extinct
t5	5.63949456710058	7.33555954205804	extant
t5	0	1.82464933752393	extant
t6	1.82464933752393	3.78914864943363	extant
t7	7.33555954205804	9.20646017052544	extinct
t7	1.82464933752393	3.78914864943363	extinct
t8	7.33555954205804	9.20646017052544	extinct
t8	5.63949456710058	7.33555954205804	extinct
t9	3.78914864943363	5.63949456710058	extinct
t10	1.82464933752393	3.78914864943363	extant
t10	0	1.82464933752393	extant
t13	5.63949456710058	7.33555954205804	extant
t13	0	1.82464933752393	extant
t15	1.82464933752393	3.78914864943363	extant
t18	5.63949456710058	7.33555954205804	extinct
t18	3.78914864943363	5.63949456710058	extinct
t19	1.82464933752393	3.78914864943363	extant
t19	0	1.82464933752393	extant
