taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	1	1
t3	1	1	1
t5	0	1	0
t6	1	1	0
t7	0	1	0
t9	0	1	1
t10	0	0	1
t11	1	1	1
t12	1	1	1
t13	1	1	0
t15	1	1	0
t18	0	1	0
t19	1	0	0
t21	0	0	1
t22	0	1	1
t23	0	0	1
t25	1	1	0
t26	1	1	0
t27	0	1	0
t28	0	1	0
t29	1	1	0
t30	0	1	0
t31	1	1	0
t32	1	1	0
t33	1	0	0
t34	0	1	1
t35	0	1	0
t36	0	1	0
t37	1	1	0
t38	0	1	1
t40	0	0	1
t42	0	1	0
t43	1	1	0
t45	1	0	0
t46	1	0	0
t47	0	1	0
t48	1	0	0
t49	1	0	0
t53	0	1	0
t54	0	1	0
t55	0	1	0
t56	0	1	1
t57	1	1	0
t58	1	0	0
t61	1	0	0
t63	0	1	1
t64	0	1	0
t66	0	1	0
t67	1	1	0
t68	1	1	0
t69	1	0	0
t70	1	0	0
t73	1	0	0
t74	0	1	0
t75	0	1	0
t76	1	0	0
t77	1	0	0
t78	1	0	0
t79	1	0	0
t80	0	1	0
t81	1	1	0
t82	1	1	0
t84	1	0	0
t85	1	0	0
t86	1	0	0
t87	1	0	0
t88	1	1	0
t90	1	0	0
t91	1	0	0
t92	1	0	0
t93	0	0	1
t94	0	1	0
t95	1	1	0
t97	1	0	0
t98	1	1	0
t99	0	1	0
t100	0	1	0
t101	1	1	0
t102	1	1	0
t104	0	0	1
t105	1	1	0
t106	1	0	0
t108	0	1	0
t109	1	0	0
t110	1	0	0
t111	1	0	0
t112	0	1	0
t113	1	1	0
t114	1	1	0
t115	0	1	0
t116	1	0	0
t118	1	0	0
t119	1	0	0
t120	1	0	0
t122	1	0	0
t123	1	1	0
t124	0	1	0
t126	1	1	0
t127	0	1	0
t128	1	1	0
t129	1	1	0
t137	1	0	0
t139	1	0	0
t140	0	1	0
t141	1	1	0
t142	0	1	0
t145	1	0	0
t146	1	0	0
t147	1	1	0
t148	1	0	0
t150	1	0	0
t151	1	0	0
t152	1	0	0
t154	1	0	0
t155	0	1	0
t157	0	1	0
t158	1	0	0
t159	1	0	0
t161	1	1	0
t162	1	0	0
t163	1	1	0
t164	1	1	0
t166	0	1	0
t167	1	0	0
t168	0	1	0
t169	0	1	0
t172	0	1	0
t174	1	1	0
t175	1	0	0
t176	1	1	0
t178	1	1	0
t181	1	0	0
t183	1	0	0
t184	1	0	0
t186	1	0	0
t187	0	1	0
t188	1	1	0
t190	0	1	0
t191	1	0	0
t192	1	1	0
t193	1	0	0
t194	1	1	0
t197	1	0	0
t200	1	0	0
t201	1	0	0
t203	1	0	0
t204	1	0	0
t206	1	1	0
t207	1	1	0
t209	1	1	0
t211	1	0	0
t213	1	0	0
t214	1	0	0
t215	0	1	0
t216	0	1	0
t218	1	1	0
t219	0	1	0
t221	1	1	0
t223	0	1	0
t224	1	0	0
t226	1	1	0
t227	1	0	0
t228	1	0	0
t229	1	0	0
t230	1	0	0
t231	1	0	0
t234	1	0	0
t235	1	0	0
t237	1	0	0
t240	1	0	0
t242	1	0	0
t245	1	0	0
t247	1	0	0
t249	0	1	0
t250	0	1	0
t252	1	1	0
t253	1	0	0
t255	1	0	0
t256	1	0	0
t258	1	0	0
t259	1	0	0
t261	1	0	0
t262	1	0	0
t263	1	0	0
t264	1	0	0
t267	1	0	0
t268	1	0	0
t269	1	0	0
t274	1	0	0
t275	1	1	0
t276	1	0	0
t277	1	0	0
t278	0	1	0
t279	1	0	0
t280	1	0	0
t282	1	0	0
t284	1	0	0
t285	1	0	0
t287	1	1	0
t288	1	0	0
t289	1	0	0
t290	1	0	0
t291	1	0	0
t292	1	0	0
t293	1	0	0
t294	1	0	0
t295	1	0	0
t297	1	0	0
t298	1	0	0
t299	1	0	0
t300	1	0	0
t302	1	0	0
t303	1	0	0
t306	1	0	0
t307	1	0	0
