taxon	fad	lad
t2	15.9531153253176	5.75373806229204
t3	18.0212961458219	9.91809916623572
t5	5.20493248575819	5.20493248575819
t6	3.25647116616825	3.25647116616825
t7	3.42471717365607	3.42471717365607
t9	7.50459330295494	7.50459330295494
t10	3.33367846301728	1.12158643098209
t11	9.17096421068293	9.10987043543788
t12	7.42477748903665	6.88238288791759
t13	2.89150397283571	2.89150397283571
t14	3.91038616590387	3.91038616590387
t15	4.45331296330996	4.45331296330996
t17	2.26732477132394	2.26732477132394
t19	4.97444853206774	4.97444853206774
t20	0.974722783822152	0.974722783822152
t21	1.9190370827654	1.9190370827654
t22	14.239088221227	14.239088221227
t24	2.3149667686205	2.3149667686205
t25	2.24386422328358	0.900199471274565
t26	1.15740550080179	1.15740550080179
t27	1.24945679121293	0.890768864818689
t28	6.57949551475673	6.45024780585873
t30	3.82633688560846	2.68967132716598
t31	1.76235653147156	1.54655396324723
t32	4.257102130536	0.81890565971505
t36	1.4837681320758	0.708080951305863
t38	1.7710911074482	1.7710911074482
t39	2.427385724269	2.427385724269
t41	1.01360977108639	1.01360977108639
t43	2.03545079392065	1.4278659976844
t44	0.326287205798796	0.326287205798796
t46	1.92270281737106	1.39389337193268
t47	2.58756140178978	2.02121364350408
t48	3.95404049802873	0.736586938929058
t53	2.6163646138222	2.6163646138222
t64	1.14986006806109	1.14986006806109
t66	1.06148919906545	0.868585676249637
t67	2.51133516321383	2.51133516321383
