taxon	min_age	max_age	status
t2	14.7706477548927	18.5219618018406	extinct
t2	0	3.57542856394624	extinct
t3	14.7706477548927	18.5219618018406	extinct
t4	11.0971738567265	14.7706477548927	extinct
t5	7.49604916588093	11.0971738567265	extinct
t5	3.57542856394624	7.49604916588093	extinct
t6	0	3.57542856394624	extant
t7	3.57542856394624	7.49604916588093	extinct
t7	0	3.57542856394624	extinct
t8	7.49604916588093	11.0971738567265	extinct
t9	3.57542856394624	7.49604916588093	extinct
t10	3.57542856394624	7.49604916588093	extant
t10	0	3.57542856394624	extant
t11	3.57542856394624	7.49604916588093	extinct
t13	3.57542856394624	7.49604916588093	extant
t14	0	3.57542856394624	extant
t16	0	3.57542856394624	extinct
t19	0	3.57542856394624	extant
t21	0	3.57542856394624	extinct
t22	0	3.57542856394624	extant
t23	0	3.57542856394624	extant
t27	3.57542856394624	7.49604916588093	extinct
t28	3.57542856394624	7.49604916588093	extinct
t28	0	3.57542856394624	extinct
t31	0	3.57542856394624	extinct
t33	3.57542856394624	7.49604916588093	extinct
t35	0	3.57542856394624	extant
t37	3.57542856394624	7.49604916588093	extant
t37	0	3.57542856394624	extant
t41	0	3.57542856394624	extant
t45	0	3.57542856394624	extant
t46	0	3.57542856394624	extant
t50	0	3.57542856394624	extant
t51	0	3.57542856394624	extant
t52	0	3.57542856394624	extant
t54	0	3.57542856394624	extant
t55	0	3.57542856394624	extant
t56	0	3.57542856394624	extinct
t57	0	3.57542856394624	extant
t59	3.57542856394624	7.49604916588093	extant
t59	0	3.57542856394624	extant
t60	0	3.57542856394624	extinct
t61	0	3.57542856394624	extant
t62	0	3.57542856394624	extant
t63	0	3.57542856394624	extant
t64	3.57542856394624	7.49604916588093	extinct
t64	0	3.57542856394624	extinct
t71	3.57542856394624	7.49604916588093	extinct
t71	0	3.57542856394624	extinct
t73	0	3.57542856394624	extant
t75	0	3.57542856394624	extant
t78	0	3.57542856394624	extant
t79	0	3.57542856394624	extant
t80	0	3.57542856394624	extant
t81	0	3.57542856394624	extant
t85	0	3.57542856394624	extant
t86	0	3.57542856394624	extant
t87	0	3.57542856394624	extant
t94	3.57542856394624	7.49604916588093	extant
t95	0	3.57542856394624	extant
t96	0	3.57542856394624	extant
t98	0	3.57542856394624	extant
t102	0	3.57542856394624	extant
t105	0	3.57542856394624	extant
t106	0	3.57542856394624	extinct
t109	0	3.57542856394624	extant
t110	0	3.57542856394624	extant
t112	0	3.57542856394624	extant
t113	0	3.57542856394624	extant
t118	0	3.57542856394624	extant
t129	0	3.57542856394624	extant
