taxon	int_1	int_2
t1	0	1
t2	1	1
t3	0	1
t4	1	1
t6	1	0
t8	1	0
t10	1	0
t11	1	0
t14	1	0
t15	1	0
t17	1	0
t18	1	0
t19	1	0
t20	1	0
t21	1	0
t25	1	0
t28	1	0
t32	1	0
t33	1	0
t34	1	0
t37	1	0
t38	1	0
t41	1	0
t42	1	0
t44	1	0
t45	1	0
t47	1	0
t52	1	0
t54	1	0
t57	1	0
t63	1	0
t66	1	0
t67	1	0
t70	1	0
t72	1	0
t76	1	0
t78	1	0
t80	1	0
t82	1	0
t89	1	0
t93	1	0
t94	1	0
t102	1	0
t104	1	0
t105	1	0
t107	1	0
t109	1	0
t112	1	0
t115	1	0
t116	1	0
t118	1	0
t119	1	0
t120	1	0
t121	1	0
t123	1	0
t129	1	0
t134	1	0
t140	1	0
t141	1	0
t144	1	0
t146	1	0
t149	1	0
t151	1	0
t156	1	0
t157	1	0
t165	1	0
t170	1	0
t171	1	0
t173	1	0
t174	1	0
t177	1	0
t194	1	0
t200	1	0
