taxon	max_age	min_age
t1	26.1501896631131	19.6278694914611
t2	14.797815949115	14.797815949115
t4	14.4372128427203	0
t5	11.3174617624262	0
t6	13.6640587706996	11.9930227607124
t7	8.39001584008616	0
t8	8.05351880607826	0
t10	12.3307518422392	0
t12	8.6329958436733	2.58078581503818
t13	4.7831148876078	0
t17	10.0863406581158	1.44366015306394
t18	7.96739492096681	7.04087788496483
t19	8.97581673002095	8.97581673002095
t20	2.23389131645762	0
t21	0.480328366785567	0
t22	6.61314376482877	6.61314376482877
t24	12.4119851779909	0
t25	1.6580925032329	0
t27	9.27859216851382	9.27859216851382
t29	5.21581748667475	0
t31	1.69318898129356	0
t35	0.264188898554366	0
t36	8.29611239818333	0
t41	8.73815162237351	0
t42	1.90089465814978	1.90089465814978
t43	4.10633737316576	0
t46	11.586539474292	0
t47	8.48755617586672	8.48755617586672
t48	10.9738784378879	7.27550253038245
t51	3.87469288649646	0
t52	2.18416264557568	0
t54	6.67795352116176	0
t55	8.22713943867609	0
t57	2.77789430528905	1.57555529528634
t61	2.78904685859629	0
t63	7.28335626291906	7.28335626291906
t64	6.85230418388413	0
t65	6.24238025378914	6.24238025378914
t66	0.777158797488468	0
t70	10.697174104163	2.93942017039537
t71	5.83467065721198	3.73115401958447
t72	3.09350721183906	0
t76	0.580945691022805	0
t79	7.424788235521	0
t80	4.47637288951687	0
t81	3.37527335032111	0
t83	2.0901536325701	0
t84	7.78036816524087	4.15594291434402
t85	7.68605151330041	0
t87	9.92136883572975	9.92136883572975
t88	8.09524686592313	0
t89	7.4050134256004	7.4050134256004
t90	9.69324493033866	9.69324493033866
t91	6.49065710020623	0
t92	1.28025512570064	1.28025512570064
t93	0.233453913032601	0
t95	4.46168980432364	0
t96	1.82969722405954	0
t99	1.83860248856738	0
t100	2.55498813593725	0
t105	5.79158343308099	0
t106	1.05549294736826	0
t107	4.74340178499952	0
t111	1.28823235548703	0
t112	0.348049979937155	0
t114	1.73999738709018	0
t116	3.10617074650319	0
t117	3.21998725556346	0
t119	0.976156659362065	0
t122	3.73431992405115	3.73431992405115
t124	3.5482689314882	3.5482689314882
t125	2.37126599119016	0
t126	1.90989939398566	0
t129	0.67497064413746	0
t130	7.57803358169465	0
t131	3.31046203491693	0
t132	5.68239258147531	0
t137	1.3612687869734	0
t139	8.70385509039257	0
t140	8.54179073445299	5.02712149182755
t142	7.53979229955432	7.53979229955432
t143	5.48852985527505	4.25512491228656
t146	4.09691068718082	4.09691068718082
t149	3.638958478727	2.09038977300927
t150	3.07890140327041	2.41074975644142
t151	1.75114802076597	1.75114802076597
t154	1.36920018158865	1.32308024747014
t155	0.725831879056638	0
t156	0.0570547427524168	0
t160	2.31962650338685	0
t161	2.06934980334995	0
t162	2.16390181234731	0
t167	2.45398686727097	0
t170	1.6636360147383	0
t171	3.06413053613371	0
t172	2.03332092590861	0
t175	2.02157896396096	0
t179	3.83641287773091	0
t181	1.06669560090512	0
t184	0.324728334709462	0
t190	7.06389342615673	0
t192	5.38492243473605	0
t194	2.59346743036469	0
t199	0.759811547115628	0
t201	3.6405137025209	0
t205	7.07835793553703	4.14833050900611
t206	5.7264704844134	2.25516589963799
t207	5.44627875193001	0
t209	5.3478539874112	2.24137329187965
t210	2.7290430326104	2.7290430326104
t213	1.61464772700053	0
t221	6.09038026157224	0
t222	3.83727359650246	1.34739829616554
t223	7.22357816316931	0
t224	5.2847645173791	0
t225	6.59762154660278	5.81337118946978
t229	7.72152651149357	2.49996113976426
t230	6.4371793381226	0
t231	1.73664211684212	0
t233	2.81870417360403	0
t234	4.55738198776123	4.55738198776123
t235	3.58284935998917	0
t238	0.864010831585691	0
t242	0.92128162264078	0
t245	5.25334490523267	0
t246	2.74534150182424	0
t249	2.06092935244363	0
t257	3.65997482711313	0
t259	2.29432180175291	2.29432180175291
t261	2.85259563357598	0
t264	1.23077297714247	0
t266	1.28630506671504	0
t268	0.335476871458013	0
t270	0.447870898522492	0
t274	4.6517077514246	0
t277	1.89302967294177	0
