taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	1	1
t3	0	1	1
t4	0	1	0
t5	0	1	0
t6	1	0	0
t9	1	1	0
t12	1	0	0
t13	1	0	0
t16	1	1	0
t18	1	0	0
t21	1	0	0
t22	0	1	0
t23	1	1	0
t24	0	1	0
t25	1	0	0
t28	1	0	0
t29	1	0	0
t32	1	0	0
t34	1	0	0
t37	1	0	0
t39	1	0	0
t41	1	0	0
t42	1	1	0
t43	1	1	0
t44	1	0	0
t46	1	0	0
t47	1	0	0
t54	1	0	0
t56	1	0	0
t62	1	0	0
t65	1	0	0
t69	1	1	0
t70	1	1	0
t71	1	1	0
t72	1	0	0
t73	1	0	0
t74	1	0	0
t75	0	1	0
t77	1	0	0
t78	1	0	0
t80	1	0	0
t82	1	0	0
t83	1	0	0
t85	1	0	0
t86	1	0	0
t87	1	0	0
t89	1	0	0
t90	1	0	0
t93	1	0	0
t94	0	1	0
t95	1	1	0
t96	1	0	0
t99	1	0	0
t100	1	0	0
t101	1	0	0
t104	1	0	0
t105	1	0	0
t107	1	0	0
t112	1	0	0
t114	1	0	0
t117	1	0	0
t118	1	0	0
t119	1	0	0
t120	1	0	0
t121	1	0	0
t125	1	0	0
t126	1	0	0
t129	1	0	0
t130	1	0	0
t131	1	0	0
t132	1	0	0
t135	1	0	0
t136	1	0	0
t141	1	0	0
t142	1	0	0
t143	1	0	0
t144	1	0	0
t146	1	0	0
t147	1	0	0
t148	1	0	0
t149	1	0	0
t150	1	0	0
t151	1	0	0
t153	1	0	0
t158	1	0	0
t160	1	0	0
t161	1	0	0
t162	1	0	0
t163	1	0	0
t164	1	0	0
t165	1	0	0
t166	1	0	0
t167	1	0	0
t168	1	0	0
t171	1	0	0
t172	1	0	0
t174	1	0	0
t182	1	0	0
t185	1	0	0
t189	1	0	0
t190	1	0	0
t191	1	0	0
t194	1	0	0
t195	1	0	0
t200	1	0	0
t202	1	0	0
t209	1	0	0
t213	1	0	0
t215	1	0	0
t216	1	0	0
t219	1	0	0
t222	1	0	0
t223	1	0	0
t228	1	0	0
t229	1	0	0
t231	1	0	0
t232	1	0	0
t234	1	0	0
t235	1	0	0
t237	1	0	0
t242	1	0	0
t243	1	0	0
t245	1	0	0
t246	1	0	0
t248	1	0	0
t253	1	0	0
t257	1	0	0
t261	1	0	0
t263	1	0	0
t264	1	0	0
t265	1	0	0
t266	1	0	0
t269	1	0	0
t271	1	0	0
t275	1	0	0
t277	1	0	0
t280	1	0	0
t281	1	0	0
t282	1	0	0
t286	1	0	0
t292	1	0	0
t293	1	0	0
t294	1	0	0
t297	1	0	0
t301	1	0	0
t305	1	0	0
t306	1	0	0
t307	1	0	0
t310	1	0	0
t311	1	0	0
t312	1	0	0
t313	1	0	0
t314	1	0	0
t317	1	0	0
t318	1	0	0
t323	1	0	0
t325	1	0	0
t327	1	0	0
t329	1	0	0
t330	1	0	0
t331	1	0	0
t332	1	0	0
t334	1	0	0
t341	1	0	0
t344	1	0	0
t350	1	0	0
t365	1	0	0
t367	1	0	0
t368	1	0	0
t372	1	0	0
t375	1	0	0
t379	1	0	0
t381	1	0	0
t384	1	0	0
t394	1	0	0
t396	1	0	0
t397	1	0	0
t400	1	0	0
t401	1	0	0
t402	1	0	0
t403	1	0	0
t404	1	0	0
t405	1	0	0
t408	1	0	0
t410	1	0	0
t411	1	0	0
t414	1	0	0
t416	1	0	0
t418	1	0	0
t422	1	0	0
t428	1	0	0
t432	1	0	0
t435	1	0	0
t436	1	0	0
t439	1	0	0
t446	1	0	0
t452	1	0	0
t454	1	0	0
t455	1	0	0
t457	1	0	0
t458	1	0	0
t460	1	0	0
t461	1	0	0
t462	1	0	0
t465	1	0	0
t470	1	0	0
t474	1	0	0
t475	1	0	0
t476	1	0	0
t482	1	0	0
t485	1	0	0
t486	1	0	0
t487	1	0	0
t494	1	0	0
t498	1	0	0
t499	1	0	0
t501	1	0	0
t506	1	0	0
t507	1	0	0
t508	1	0	0
t511	1	0	0
t518	1	0	0
t532	1	0	0
t536	1	0	0
t544	1	0	0
t545	1	0	0
t546	1	0	0
t547	1	0	0
t550	1	0	0
t558	1	0	0
