taxon	min_age	max_age	status
t1	7.42885513355335	9.20569736106942	extant
t2	5.7440452366136	7.42885513355335	extant
t2	0	1.89183811175947	extant
t4	3.78268059079225	5.7440452366136	extant
t4	1.89183811175947	3.78268059079225	extant
t5	1.89183811175947	3.78268059079225	extinct
t5	0	1.89183811175947	extinct
t6	3.78268059079225	5.7440452366136	extant
t6	0	1.89183811175947	extant
t7	3.78268059079225	5.7440452366136	extant
t9	1.89183811175947	3.78268059079225	extant
t9	0	1.89183811175947	extant
t10	1.89183811175947	3.78268059079225	extant
t12	0	1.89183811175947	extant
t13	0	1.89183811175947	extant
t14	1.89183811175947	3.78268059079225	extant
t14	0	1.89183811175947	extant
