taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	0	1
t3	0	1	0
t4	1	1	0
t5	0	1	0
t6	1	1	0
t7	1	1	1
t9	1	1	0
t10	0	1	0
t11	0	1	0
t13	1	0	0
t14	0	1	0
t15	1	0	0
t16	1	0	0
t17	1	0	0
t18	0	1	0
t19	1	1	0
t20	1	1	0
t21	0	1	0
t22	1	0	0
t23	1	0	0
t25	0	1	0
t26	1	0	0
t28	1	1	0
t31	0	1	0
t32	1	0	0
t33	1	1	0
t34	1	1	0
t35	1	0	0
t36	1	0	0
t38	1	1	0
t39	1	0	0
t40	1	0	0
t41	1	0	0
t43	1	0	0
t44	1	0	0
t47	1	0	0
t48	1	0	0
t50	1	0	0
t51	0	1	0
t52	1	0	0
t53	1	1	0
t54	1	0	0
t55	1	0	0
t56	1	0	0
t57	1	0	0
t61	1	0	0
t62	1	0	0
t66	1	0	0
t68	1	0	0
t69	1	0	0
t71	1	1	0
t73	1	0	0
t75	0	1	0
t76	1	0	0
t78	1	0	0
t79	1	1	0
t80	1	0	0
t83	1	0	0
t84	1	0	0
t85	1	0	0
t86	1	1	0
t87	1	0	0
t91	1	0	0
t92	1	0	0
t93	1	0	0
t94	1	0	0
t98	1	0	0
t99	1	1	0
t100	1	0	0
t101	1	0	0
t102	0	1	0
t103	1	0	0
t105	1	0	0
t106	1	0	0
t107	1	0	0
t108	1	0	0
t109	1	0	0
t111	1	1	0
t112	1	0	0
t114	1	0	0
t115	1	0	0
t116	1	0	0
t117	1	0	0
t118	1	0	0
t119	1	0	0
t120	0	1	0
t121	1	0	0
t123	1	0	0
t126	1	0	0
t127	0	1	0
t128	1	0	0
t129	1	0	0
t130	1	0	0
t131	0	1	0
t134	1	0	0
t136	1	0	0
t137	1	0	0
t140	1	0	0
