taxon int_1 int_2 int_3
t1 201 11 39
t2 0 0 0
t3 0 0 0
t4 0 0 0
t5 0 0 0
t7 0 0 0
t8 0 0 0
t9 0 0 0
t10 0 0 0
t12 0 0 0
t13 0 0 0
t14 0 0 0
t15 0 0 0
t17 0 0 0
t18 0 0 0
t19 0 0 0
t20 0 0 0
t21 0 0 0
t24 0 0 0
t25 0 0 0
t26 0 0 0
t29 0 0 0
t30 0 0 0
t31 0 0 0
t33 0 0 0
t34 0 0 0
t35 0 0 0
t36 0 0 0
t37 0 0 0
t41 0 0 0
t42 0 0 0
t44 0 0 0
t47 0 0 0
t48 0 0 0
t51 0 0 0
t52 0 0 0
t53 0 0 0
t55 0 0 0
t56 0 0 0
t57 0 0 0
t58 0 0 0
t60 0 0 0
t61 0 0 0
t62 0 0 0
t64 0 0 0
t67 0 0 0
t68 0 0 0
t69 0 0 0
t72 0 0 0
t73 0 0 0
t74 0 0 0
t75 0 0 0
t77 0 0 0
t79 0 0 0
t80 0 0 0
t82 0 0 0
t83 0 0 0
t87 0 0 0
t88 0 0 0
t92 0 0 0
t95 0 0 0
t97 0 0 0
t99 0 0 0
t104 0 0 0
t106 0 0 0
t107 0 0 0
t108 0 0 0
t111 0 0 0
t112 0 0 0
t113 0 0 0
t116 0 0 0
t117 0 0 0
t119 0 0 0
t126 0 0 0
t127 0 0 0
t130 0 0 0
t132 0 0 0
t134 0 0 0
t135 0 0 0
t136 0 0 0
t139 0 0 0
t146 0 0 0
t149 0 0 0
t150 0 0 0
t153 0 0 0
t154 0 0 0
t158 0 0 0
t159 0 0 0
t160 0 0 0
t161 0 0 0
t164 0 0 0
t165 0 0 0
t167 0 0 0
t168 0 0 0
t172 0 0 0
t173 0 0 0
t176 0 0 0
t180 0 0 0
t181 0 0 0
t183 0 0 0
t187 0 0 0
t191 0 0 0
t192 0 0 0
t197 0 0 0
t198 0 0 0
t199 0 0 0
t201 0 0 0
t202 0 0 0
t203 0 0 0
t204 0 0 0
t205 0 0 0
t207 0 0 0
t208 0 0 0
