taxon int_1 int_2 int_3
t2 229 6 16
t3 0 0 0
t4 0 0 0
t5 0 0 0
t6 0 0 0
t7 0 0 0
t8 0 0 0
t10 0 0 0
t11 0 0 0
t12 0 0 0
t13 0 0 0
t15 0 0 0
t16 0 0 0
t17 0 0 0
t18 0 0 0
t19 0 0 0
t21 0 0 0
t22 0 0 0
t24 0 0 0
t27 0 0 0
t31 0 0 0
t32 0 0 0
t33 0 0 0
t34 0 0 0
t35 0 0 0
t36 0 0 0
t37 0 0 0
t41 0 0 0
t42 0 0 0
t43 0 0 0
t45 0 0 0
t46 0 0 0
t47 0 0 0
t48 0 0 0
t49 0 0 0
t50 0 0 0
t54 0 0 0
t56 0 0 0
t58 0 0 0
t59 0 0 0
t60 0 0 0
t61 0 0 0
t62 0 0 0
t63 0 0 0
t64 0 0 0
t66 0 0 0
t67 0 0 0
t68 0 0 0
t73 0 0 0
t74 0 0 0
t75 0 0 0
t76 0 0 0
t77 0 0 0
t79 0 0 0
t80 0 0 0
t83 0 0 0
t84 0 0 0
t88 0 0 0
t93 0 0 0
t94 0 0 0
t95 0 0 0
t96 0 0 0
t97 0 0 0
t99 0 0 0
t100 0 0 0
t101 0 0 0
t102 0 0 0
t103 0 0 0
t104 0 0 0
t105 0 0 0
t107 0 0 0
t110 0 0 0
t114 0 0 0
t117 0 0 0
t118 0 0 0
t120 0 0 0
t121 0 0 0
t122 0 0 0
t123 0 0 0
t129 0 0 0
t130 0 0 0
t131 0 0 0
t132 0 0 0
t137 0 0 0
t138 0 0 0
t143 0 0 0
t144 0 0 0
t146 0 0 0
t147 0 0 0
t148 0 0 0
t149 0 0 0
t150 0 0 0
t151 0 0 0
t154 0 0 0
t155 0 0 0
t156 0 0 0
t159 0 0 0
t164 0 0 0
t165 0 0 0
t166 0 0 0
t167 0 0 0
t171 0 0 0
t172 0 0 0
t173 0 0 0
t178 0 0 0
t179 0 0 0
t183 0 0 0
t186 0 0 0
t187 0 0 0
t189 0 0 0
t191 0 0 0
t193 0 0 0
t195 0 0 0
t196 0 0 0
t197 0 0 0
t200 0 0 0
t201 0 0 0
t202 0 0 0
t204 0 0 0
t206 0 0 0
t211 0 0 0
t213 0 0 0
t214 0 0 0
t215 0 0 0
t217 0 0 0
t222 0 0 0
t226 0 0 0
t230 0 0 0
t232 0 0 0
t237 0 0 0
