taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	10	0
t2	30	20	30	20
t4	30	20	30	20
t5	30	20	20	10
t6	20	10	20	10
t8	30	20	20	10
t9	20	10	20	10
t10	30	20	30	20
t11	20	10	20	10
t13	30	20	30	20
t16	20	10	20	10
t19	30	20	30	20
t20	30	20	0	-Inf
t21	30	20	30	20
t22	20	10	10	0
t24	30	20	30	20
t25	30	20	30	20
t29	20	10	20	10
t30	30	20	30	20
t33	20	10	20	10
t36	30	20	30	20
t37	20	10	20	10
t39	10	0	0	-Inf
t40	10	0	0	-Inf
t41	10	0	0	-Inf
t42	10	0	0	-Inf
t43	10	0	0	-Inf
t44	20	10	10	0
t48	20	10	0	-Inf
t53	10	0	10	0
t54	30	20	30	20
t56	10	0	0	-Inf
t57	10	0	0	-Inf
t58	10	0	10	0
t59	10	0	0	-Inf
t61	10	0	0	-Inf
t62	10	0	0	-Inf
t63	10	0	0	-Inf
t64	10	0	0	-Inf
t65	10	0	0	-Inf
t68	10	0	0	-Inf
t71	10	0	10	0
t73	10	0	10	0
t74	10	0	10	0
t76	10	0	10	0
t77	10	0	10	0
t79	10	0	0	-Inf
t81	10	0	0	-Inf
t82	10	0	0	-Inf
t83	10	0	0	-Inf
t85	10	0	0	-Inf
t87	10	0	0	-Inf
t88	10	0	0	-Inf
t89	10	0	10	0
t90	10	0	0	-Inf
t91	10	0	0	-Inf
t92	10	0	0	-Inf
t93	10	0	0	-Inf
t94	10	0	0	-Inf
t98	10	0	0	-Inf
t100	10	0	0	-Inf
t101	10	0	0	-Inf
t103	10	0	0	-Inf
t107	10	0	0	-Inf
t109	10	0	0	-Inf
t110	10	0	0	-Inf
t113	10	0	0	-Inf
t115	10	0	0	-Inf
t116	10	0	0	-Inf
t119	10	0	0	-Inf
t120	10	0	0	-Inf
t125	10	0	0	-Inf
t126	10	0	0	-Inf
t129	10	0	0	-Inf
t130	10	0	10	0
t131	10	0	0	-Inf
t132	10	0	0	-Inf
t134	10	0	0	-Inf
t135	10	0	0	-Inf
t139	10	0	0	-Inf
t142	10	0	0	-Inf
t144	10	0	10	0
t146	10	0	0	-Inf
t147	10	0	0	-Inf
t149	10	0	0	-Inf
t150	10	0	0	-Inf
t153	10	0	0	-Inf
t154	10	0	0	-Inf
t156	10	0	0	-Inf
t159	10	0	0	-Inf
t160	10	0	0	-Inf
t161	10	0	0	-Inf
t163	10	0	0	-Inf
t167	10	0	0	-Inf
t168	10	0	0	-Inf
t171	10	0	0	-Inf
t172	10	0	0	-Inf
t173	10	0	0	-Inf
t174	10	0	0	-Inf
t175	10	0	0	-Inf
t176	10	0	0	-Inf
t177	10	0	0	-Inf
t178	10	0	0	-Inf
t180	10	0	0	-Inf
t183	10	0	0	-Inf
t184	10	0	0	-Inf
t187	10	0	0	-Inf
t188	10	0	0	-Inf
t189	10	0	0	-Inf
t191	10	0	0	-Inf
t192	10	0	0	-Inf
t195	10	0	0	-Inf
t197	10	0	0	-Inf
t204	10	0	0	-Inf
t207	10	0	10	0
t208	10	0	0	-Inf
t211	10	0	0	-Inf
t214	10	0	0	-Inf
t218	10	0	0	-Inf
t225	10	0	10	0
t229	10	0	0	-Inf
t232	10	0	0	-Inf
t233	10	0	0	-Inf
t241	10	0	0	-Inf
t242	10	0	0	-Inf
t243	10	0	0	-Inf
t244	10	0	0	-Inf
t246	10	0	10	0
t247	10	0	0	-Inf
t248	10	0	0	-Inf
t249	10	0	0	-Inf
t253	10	0	0	-Inf
t258	10	0	0	-Inf
t261	10	0	0	-Inf
