taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	0	1	1
t4	0	1	0
t5	0	1	0
t7	0	1	0
t8	1	1	0
t9	0	0	1
t10	1	1	0
t11	1	1	1
t12	0	1	0
t13	0	1	0
t14	1	1	0
t15	1	0	0
t16	1	0	0
t17	1	0	0
t20	1	1	0
t21	1	0	0
t24	0	1	0
t25	0	1	0
t26	1	1	0
t27	0	1	0
t28	1	1	0
t29	1	0	0
t30	1	1	0
t31	1	1	0
t32	1	0	0
t33	1	0	0
t34	1	0	0
t35	1	0	0
t36	0	1	0
t37	1	0	0
t38	1	0	0
t40	1	0	0
t42	1	1	0
t43	0	1	0
t45	0	1	0
t48	1	0	0
t49	1	0	0
t50	1	1	0
t52	1	0	0
t53	1	0	0
t54	1	0	0
t55	1	0	0
t58	1	1	0
t59	0	1	0
t63	1	0	0
t65	0	1	0
t66	1	1	0
t68	1	0	0
t69	0	1	0
t70	1	1	0
t71	1	0	0
t72	0	1	0
t73	1	1	0
t74	1	1	0
t76	1	0	0
t78	1	0	0
t85	1	1	0
t86	1	1	0
t89	1	1	0
t91	1	0	0
t92	1	0	0
t94	1	1	0
t97	1	0	0
t103	1	0	0
t104	1	0	0
t105	1	0	0
t106	1	1	0
t107	0	1	0
t108	1	0	0
t110	1	0	0
t115	1	0	0
t116	0	1	0
t117	1	0	0
t118	1	0	0
t119	0	1	0
t120	1	1	0
t123	1	0	0
t124	1	0	0
t125	1	0	0
t128	0	1	0
t129	1	0	0
t130	1	0	0
t132	1	0	0
t133	1	1	0
t134	0	1	0
t135	1	0	0
t137	1	0	0
t139	1	0	0
t140	1	0	0
t141	1	0	0
t143	0	1	0
t145	1	0	0
t146	1	0	0
t148	1	0	0
t150	1	0	0
t151	1	0	0
t152	1	0	0
t153	1	0	0
t154	1	0	0
t157	1	0	0
t161	1	0	0
t165	1	0	0
t167	1	0	0
t168	1	0	0
t170	1	1	0
t171	1	1	0
t174	1	0	0
t176	0	1	0
t178	1	0	0
t182	1	1	0
t183	0	1	0
t184	1	1	0
t185	1	0	0
t186	1	0	0
t187	1	0	0
t191	1	1	0
t192	1	1	0
t195	1	0	0
t199	1	0	0
t200	1	0	0
t202	1	0	0
t206	1	0	0
t207	1	0	0
t208	1	0	0
t211	1	0	0
t213	1	0	0
t214	1	0	0
t216	1	0	0
t218	1	0	0
t219	1	0	0
t220	1	0	0
t221	1	0	0
t222	1	0	0
t225	1	0	0
t226	1	0	0
t227	1	0	0
t234	1	0	0
t236	1	0	0
t237	1	0	0
t243	1	0	0
t245	0	1	0
t246	0	1	0
t247	0	1	0
t250	1	1	0
t253	1	0	0
t255	1	0	0
t256	1	0	0
t257	1	0	0
t259	1	0	0
t260	1	0	0
t262	1	0	0
t266	0	1	0
t268	1	0	0
t272	0	1	0
t273	1	0	0
t274	0	1	0
t275	1	1	0
t278	1	0	0
t283	1	0	0
t285	1	0	0
t286	1	0	0
t288	1	0	0
t292	1	0	0
t293	1	0	0
t297	1	0	0
t298	1	0	0
t300	1	0	0
t309	1	0	0
t314	1	0	0
t317	0	1	0
t318	1	0	0
t319	1	0	0
t322	1	0	0
t323	1	0	0
t332	1	0	0
t333	1	0	0
t337	1	0	0
t338	1	0	0
t339	1	0	0
t340	1	0	0
t342	1	1	0
t343	1	0	0
t344	1	0	0
t345	1	0	0
t346	1	1	0
t350	1	0	0
t351	1	0	0
t353	1	0	0
t356	1	0	0
t358	1	0	0
t360	1	0	0
t361	1	0	0
t362	1	0	0
t365	1	0	0
t369	1	0	0
t375	1	0	0
t377	1	0	0
t378	0	1	0
t379	1	1	0
t381	1	0	0
t385	1	0	0
t387	1	0	0
t393	1	0	0
t394	1	0	0
t395	1	0	0
t397	1	0	0
t400	1	0	0
t407	1	0	0
t408	1	0	0
t412	1	0	0
t413	1	0	0
t420	1	0	0
t421	1	0	0
t422	1	0	0
t423	1	0	0
t424	1	0	0
