taxon	int_1	int_2
t1	0	1
t2	1	1
t3	1	1
t4	0	1
t5	0	1
t6	0	1
t7	1	0
t10	1	1
t11	1	1
t12	1	0
t13	1	0
t15	1	0
t19	1	1
t20	1	0
t21	0	1
t23	1	0
t24	1	0
t27	1	0
t31	1	0
t32	1	0
t33	1	0
t34	1	0
t35	1	0
t36	1	0
t37	1	0
t38	1	0
t41	0	1
t42	1	1
t43	1	0
t44	1	0
t45	1	0
t47	1	0
t52	1	0
t54	1	0
t55	1	0
t57	1	0
t58	1	0
t59	1	0
t61	1	0
t63	1	0
t64	1	0
t66	1	0
t67	1	0
t69	1	0
t71	1	0
t73	1	0
t74	1	0
t76	1	0
t77	1	0
t80	1	0
t81	1	0
t82	1	0
t86	1	0
t88	1	0
t90	0	1
t91	1	0
t93	1	0
t95	1	0
t96	1	0
t97	1	0
t99	1	0
t104	1	0
t106	1	0
t108	0	1
t109	1	0
t110	1	0
t111	1	0
t112	1	0
t115	1	0
t119	1	0
t121	1	0
t122	1	0
t125	1	0
t126	1	0
t127	1	0
t136	1	0
t141	1	0
t151	1	0
t153	1	0
t155	1	0
