taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	0	0	1
t4	1	1	0
t5	1	1	0
t6	0	1	0
t7	0	1	0
t8	0	0	1
t9	0	0	1
t10	0	0	1
t11	0	1	1
t12	1	1	0
t13	0	1	0
t14	1	1	0
t15	1	0	0
t16	1	0	0
t17	1	0	0
t18	1	0	0
t19	1	0	0
t22	1	0	0
t23	1	0	0
t25	1	1	0
t29	1	0	0
t30	1	0	0
t31	1	0	0
t34	0	1	0
t36	1	0	0
t37	1	0	0
t38	1	0	0
t39	1	1	0
t40	1	1	0
t41	1	0	0
t42	1	1	0
t43	1	0	0
t45	1	0	0
t46	1	0	0
t47	1	0	0
t50	1	0	0
t51	1	0	0
t53	1	0	0
t54	1	1	0
t55	1	0	0
t56	1	0	0
t57	1	0	0
t58	1	0	0
t59	0	1	0
t60	0	1	0
t61	1	0	0
t62	1	0	0
t63	1	0	0
t64	1	0	0
t66	1	1	0
t67	1	1	1
t68	1	0	0
t69	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t74	1	0	0
t75	1	0	0
t76	1	0	0
t78	1	0	0
t79	1	0	0
t81	0	1	0
t82	0	1	0
t83	0	1	0
t85	1	0	0
t89	1	0	0
t90	1	0	0
t91	1	0	0
t92	1	0	0
t95	1	0	0
t98	1	0	0
t99	1	0	0
t101	1	1	0
t102	1	0	0
t103	1	0	0
t105	1	1	0
t108	1	0	0
t109	1	0	0
t110	1	0	0
t111	1	0	0
t113	1	0	0
t115	1	0	0
t116	1	0	0
t118	1	0	0
t120	1	0	0
t121	1	0	0
t122	1	0	0
t123	1	0	0
t125	1	0	0
t127	1	0	0
t128	1	0	0
t131	1	0	0
t132	1	0	0
t133	0	1	0
t134	1	1	0
t135	1	1	0
t136	0	1	0
t137	1	1	0
t138	1	0	0
t139	1	0	0
t140	1	0	0
t141	1	0	0
t142	1	0	0
t143	1	0	0
t144	1	0	0
t145	1	0	0
t146	1	0	0
t148	1	0	0
t151	1	0	0
t153	1	0	0
t154	1	0	0
t156	1	0	0
t157	1	0	0
t160	0	1	0
t161	1	0	0
t162	1	0	0
t163	1	0	0
t164	1	0	0
t165	1	0	0
t167	1	0	0
t168	1	0	0
t169	1	0	0
t170	1	0	0
t173	1	0	0
t175	1	0	0
t180	1	0	0
t185	1	0	0
t187	1	0	0
t188	1	0	0
t189	1	0	0
t190	1	0	0
t191	1	0	0
t194	1	0	0
t195	1	0	0
t196	1	0	0
t199	1	0	0
t200	1	0	0
t202	1	0	0
t203	1	0	0
t204	1	0	0
t207	1	0	0
t209	1	0	0
t214	1	0	0
t215	1	0	0
t216	1	0	0
t218	1	0	0
t220	1	0	0
t221	1	0	0
t224	1	0	0
t225	1	0	0
t226	1	0	0
t228	1	0	0
t229	0	1	0
t230	1	1	0
t231	1	1	0
t232	1	0	0
t237	1	0	0
t238	1	0	0
t240	1	1	0
t241	1	0	0
t242	1	0	0
t245	1	0	0
t246	1	0	0
t249	1	0	0
t250	1	0	0
t251	1	0	0
t252	1	0	0
t253	1	0	0
t254	1	0	0
t262	1	0	0
t263	1	0	0
t265	1	0	0
t266	1	0	0
t267	1	0	0
t269	1	0	0
t270	1	0	0
t272	1	0	0
t274	1	0	0
t275	1	0	0
