taxon	int_1	int_2
t1	0	1
t2	1	1
t3	0	1
t4	0	1
t5	1	1
t6	0	1
t7	0	1
t8	1	1
t11	1	1
t12	1	0
t14	1	0
t16	1	1
t17	0	1
t18	1	1
t19	0	1
t21	0	1
t24	1	0
t25	1	0
t27	1	0
t28	1	0
t31	1	0
t32	1	1
t34	1	1
t35	1	0
t36	1	0
t37	0	1
t38	1	1
t40	1	1
t41	1	0
t48	1	0
t53	1	0
t54	1	1
t55	1	0
t56	1	0
t58	1	0
t61	1	0
t64	1	0
t68	1	0
t69	0	1
t70	1	0
t73	1	0
t74	1	0
t75	1	0
t78	1	0
t83	1	0
t84	1	0
t85	1	0
t86	1	0
t88	1	0
t90	1	0
t91	1	0
t92	1	0
t98	1	0
t100	1	0
t102	1	0
t103	1	0
t104	1	0
t108	1	0
t109	1	0
t110	1	0
t111	1	0
t113	1	1
t126	1	0
t130	1	0
t137	1	0
t138	1	0
t141	1	0
t144	1	0
t145	1	0
t146	1	0
t147	1	0
t150	1	0
t157	1	0
t160	1	0
t165	1	0
t169	1	0
t176	1	0
t178	1	0
t184	1	0
t185	1	0
t186	1	0
t187	1	0
t191	1	0
t193	1	0
t195	1	0
t197	1	0
t199	1	0
t200	1	0
t201	1	0
t202	1	0
t203	1	0
t206	1	0
t212	1	0
t213	1	0
t214	1	0
t215	1	0
t216	1	0
t217	1	0
t223	1	0
t225	1	0
t228	1	0
