taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	1	1
t3	0	0	1
t4	0	1	0
t5	0	1	0
t6	0	1	0
t8	0	1	0
t9	1	0	0
t10	0	1	0
t12	0	1	0
t13	0	1	0
t14	1	1	0
t16	1	1	0
t18	1	1	0
t19	0	1	0
t20	0	1	0
t21	0	1	0
t23	1	0	1
t24	0	1	0
t25	0	1	0
t26	1	1	0
t27	1	1	0
t28	1	1	0
t29	0	1	0
t30	1	1	0
t31	1	0	0
t32	1	0	0
t36	0	1	0
t37	1	1	0
t39	1	1	0
t40	1	0	0
t41	0	1	0
t44	1	0	0
t45	1	1	0
t46	1	1	0
t50	1	0	0
t53	1	1	0
t54	0	1	0
t55	1	1	0
t56	0	1	0
t57	0	1	0
t59	1	1	0
t60	0	1	0
t61	1	0	0
t64	1	1	0
t66	1	0	0
t67	1	1	0
t69	1	1	0
t70	1	0	0
t71	1	0	0
t73	1	0	0
t74	1	0	0
t75	1	1	0
t76	1	0	0
t78	0	1	0
t80	1	0	0
t81	1	1	0
t84	1	0	0
t85	0	1	0
t86	0	1	0
t87	1	1	0
t88	1	0	0
t89	1	0	0
t90	1	1	0
t94	1	0	0
t98	1	0	0
t101	1	0	0
t103	1	0	0
t104	1	0	0
t109	0	1	0
t113	1	0	0
t114	1	0	0
t115	1	0	0
t116	0	1	0
t117	1	0	0
t119	1	0	0
t120	1	0	0
t122	1	0	0
t125	1	0	0
t127	1	1	0
t132	1	0	0
t136	1	0	0
t137	1	0	0
t138	1	0	0
t141	1	0	0
t145	1	0	0
t146	1	0	0
t150	1	1	0
t151	1	0	0
t152	0	1	0
t154	1	0	0
t155	1	0	0
t156	1	0	0
t158	1	0	0
t161	1	1	0
t163	1	0	0
t164	1	0	0
t165	1	0	0
t167	1	0	0
t168	1	0	0
t170	1	0	0
t172	1	0	0
t174	1	0	0
t176	1	0	0
t177	1	0	0
t179	1	0	0
t180	1	0	0
t182	1	0	0
t185	1	0	0
t187	1	0	0
t188	1	0	0
t189	0	1	0
t190	0	1	0
t191	0	1	0
t192	1	0	0
t193	1	0	0
t194	0	1	0
t195	1	1	0
t196	1	0	0
t197	0	1	0
t198	0	1	0
t200	1	0	0
t201	1	1	0
t202	1	0	0
t203	0	1	0
t204	1	0	0
t205	1	0	0
t209	1	0	0
t211	1	0	0
t213	1	0	0
t214	1	0	0
t217	1	0	0
t219	1	0	0
t223	1	0	0
t224	1	0	0
t227	1	0	0
t229	1	0	0
t230	1	0	0
t232	1	0	0
t233	1	0	0
