taxon	int_1	int_2	int_3
t1	1	1	1
t2	1	1	0
t3	0	1	0
t6	1	0	0
t7	1	0	0
t9	0	1	0
t11	1	0	0
t12	1	0	0
t13	1	0	0
t14	0	1	0
t16	1	0	0
t17	1	1	0
t18	1	0	0
t22	1	0	0
t23	1	0	0
t24	1	0	0
t25	0	1	0
t27	1	0	0
t28	1	0	0
t30	1	1	0
t34	1	0	0
t40	1	0	0
t41	1	0	0
t42	1	0	0
t44	1	0	0
t45	1	0	0
t46	1	0	0
t47	0	1	0
t49	1	0	0
t51	1	0	0
t52	1	1	0
t54	1	0	0
t55	1	0	0
t56	1	0	0
t57	1	0	0
t59	1	0	0
t60	0	1	0
t61	1	1	0
t62	1	0	0
t63	1	0	0
t65	1	0	0
t66	1	0	0
t67	1	0	0
t68	1	0	0
t70	1	0	0
t75	1	0	0
t76	1	0	0
t78	1	0	0
t79	1	0	0
t81	1	0	0
t83	1	0	0
t84	1	0	0
t87	1	0	0
t88	1	0	0
t93	1	0	0
t96	1	0	0
