taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	1	1
t3	0	0	1
t4	0	1	1
t5	0	1	1
t7	0	0	1
t8	0	1	0
t11	1	0	0
t14	0	1	0
t15	0	1	1
t21	0	1	0
t22	1	0	0
t23	0	1	1
t24	0	1	0
t25	0	0	1
t27	0	1	1
t28	0	0	1
t32	0	1	0
t33	0	1	0
t34	1	1	0
t36	0	1	0
t37	0	1	0
t38	1	1	0
t39	1	1	0
t40	1	0	0
t41	0	1	0
t42	0	0	1
t43	0	1	0
t46	1	0	0
t47	1	0	0
t49	0	1	0
t52	1	0	0
t53	1	0	0
t55	1	0	0
t56	1	0	0
t58	1	0	0
t60	1	0	0
t62	1	0	0
t63	1	0	0
t65	1	0	0
t66	1	0	0
t69	1	1	0
t70	1	1	0
t71	1	0	0
t72	1	0	0
t73	1	0	0
t74	1	0	0
t76	1	0	0
t77	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t83	1	0	0
t84	1	0	0
t85	1	0	0
t87	1	0	0
t88	1	0	0
t89	1	0	0
t91	1	0	0
t92	1	0	0
t93	1	0	0
t100	1	0	0
t101	1	0	0
t102	1	0	0
t103	1	0	0
t104	1	0	0
t105	1	0	0
t108	1	0	0
t109	1	0	0
t110	1	0	0
t111	1	0	0
t112	1	0	0
t113	1	0	0
t114	1	0	0
t115	1	0	0
t117	1	0	0
t118	1	0	0
t119	1	0	0
t120	1	0	0
t121	1	0	0
t122	1	0	0
t125	1	0	0
t128	1	0	0
t133	1	0	0
t134	1	0	0
t135	1	0	0
t137	1	0	0
t138	1	0	0
t140	1	0	0
t144	1	0	0
t149	1	0	0
t151	1	0	0
t152	1	0	0
t153	1	0	0
t154	1	0	0
t156	1	0	0
t157	1	0	0
t158	1	0	0
t159	1	0	0
t161	1	0	0
t163	1	0	0
t164	1	0	0
t165	1	0	0
t167	1	0	0
t168	1	0	0
t169	1	0	0
t171	1	0	0
t172	1	0	0
t178	1	0	0
t181	1	0	0
t182	1	0	0
t183	1	0	0
t184	1	0	0
t185	1	0	0
t188	1	0	0
t189	1	0	0
t191	1	0	0
t194	1	0	0
t195	1	0	0
t197	1	0	0
t199	1	0	0
t202	1	0	0
t203	1	0	0
t204	1	0	0
t206	1	0	0
t208	1	0	0
t211	1	0	0
t212	1	0	0
t213	1	0	0
t218	1	0	0
t219	1	0	0
t221	1	0	0
t225	1	0	0
t226	1	0	0
t230	1	0	0
t233	1	0	0
t234	1	0	0
t237	1	0	0
t238	1	0	0
t240	1	0	0
t241	1	0	0
t242	1	0	0
t243	1	0	0
t244	1	0	0
t247	1	0	0
t248	1	0	0
t249	1	0	0
t252	1	0	0
t253	1	0	0
t254	1	0	0
t258	1	0	0
t263	1	0	0
t264	1	0	0
t265	1	0	0
t266	1	0	0
t267	1	0	0
t268	1	0	0
t269	1	0	0
t270	1	0	0
t272	1	0	0
t274	1	0	0
t275	1	0	0
t277	1	0	0
t284	1	0	0
t285	1	0	0
t287	1	0	0
t289	1	0	0
t296	1	0	0
t299	1	0	0
t300	1	0	0
t301	1	0	0
t303	1	0	0
t306	1	0	0
t307	1	0	0
t310	1	0	0
t313	1	0	0
t316	1	0	0
t319	1	0	0
t320	1	0	0
t325	1	0	0
t328	1	0	0
t329	1	0	0
t331	1	0	0
t334	1	0	0
t335	1	0	0
t336	1	0	0
t337	1	0	0
t338	1	0	0
t342	1	0	0
t343	1	0	0
t344	1	0	0
t345	1	0	0
t347	1	0	0
t353	1	0	0
t355	1	0	0
t358	1	0	0
t359	1	0	0
t364	1	0	0
t368	1	0	0
t369	1	0	0
t374	1	0	0
t378	1	0	0
t383	1	0	0
t384	1	0	0
t385	1	0	0
t388	1	0	0
t389	1	0	0
t391	1	0	0
t394	1	0	0
t399	1	0	0
t401	1	0	0
t404	1	0	0
t405	1	0	0
t414	1	0	0
t415	1	0	0
t419	1	0	0
t421	1	0	0
t424	1	0	0
t425	1	0	0
