taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	1	0
t3	0	0	1
t4	1	1	0
t5	1	1	0
t6	1	0	0
t7	1	0	0
t8	1	0	0
t9	0	0	1
t10	0	0	1
t12	1	0	0
t15	1	0	0
t16	1	0	0
t17	1	0	0
t18	1	0	0
t19	1	0	0
t22	1	1	1
t23	0	0	1
t24	0	1	1
t25	0	0	1
t26	0	1	0
t28	1	0	0
t32	1	0	0
t36	1	0	0
t37	1	0	0
t38	1	0	0
t39	1	0	0
t42	1	0	0
t44	1	0	0
t47	1	1	0
t48	1	0	0
t49	1	0	0
t50	1	0	0
t51	0	1	1
t52	0	1	1
t53	0	1	0
t54	0	0	1
t55	0	1	0
t56	0	1	0
t57	0	1	0
t58	1	1	0
t59	0	1	0
t63	1	0	0
t64	1	0	0
t65	1	0	0
t69	1	0	0
t71	1	0	0
t72	1	0	0
t73	1	0	0
t74	1	0	0
t80	1	0	0
t81	1	0	0
t83	1	0	0
t84	1	0	0
t85	1	0	0
t87	1	0	0
t88	1	0	0
t90	1	0	0
t91	1	0	0
t93	1	0	0
t94	0	0	1
t96	1	1	0
t97	1	1	0
t98	1	0	0
t99	0	1	0
t100	0	1	0
t101	1	0	0
t102	1	0	0
t104	1	0	0
t112	1	0	0
t114	1	0	0
t115	1	0	0
t118	1	0	0
t121	1	0	0
t127	1	0	0
t129	1	0	0
t130	1	0	0
t131	1	0	0
t132	1	0	0
t134	1	0	0
t138	1	0	0
t140	1	0	0
t142	1	0	0
t144	1	0	0
t145	1	0	0
t146	1	0	0
t147	1	0	0
t148	1	0	0
t150	1	0	0
t151	1	0	0
t154	1	0	0
t158	1	0	0
t159	1	0	0
t163	1	0	0
t164	1	0	0
t168	1	0	0
t175	1	0	0
t182	1	0	0
t183	1	0	0
t184	1	0	0
t185	1	0	0
t186	1	0	0
t187	1	0	0
t188	1	0	0
t189	1	0	0
t192	1	0	0
t197	1	0	0
t199	1	0	0
t200	1	0	0
t201	1	0	0
t205	1	0	0
t206	1	0	0
t207	1	0	0
t208	1	0	0
t209	1	0	0
t212	1	0	0
t213	1	0	0
t214	1	0	0
t217	1	0	0
t219	1	0	0
t221	1	0	0
t223	1	0	0
t224	1	0	0
t228	1	0	0
t229	1	0	0
t231	1	0	0
t232	1	0	0
t233	1	0	0
t234	1	0	0
t240	1	0	0
t241	1	0	0
t244	1	0	0
t245	1	0	0
t247	1	0	0
t251	1	0	0
t252	1	0	0
t253	1	0	0
t254	1	0	0
t258	1	0	0
t259	1	0	0
t260	1	0	0
t261	1	0	0
t262	1	0	0
t263	1	0	0
t264	1	0	0
t266	1	0	0
t267	1	0	0
t271	1	0	0
t273	1	0	0
t275	1	0	0
t276	1	0	0
t277	1	0	0
t280	1	0	0
t281	1	0	0
t282	1	0	0
t284	1	0	0
t285	1	0	0
t289	1	0	0
t291	1	0	0
t293	1	0	0
t299	1	0	0
t300	1	0	0
t302	1	0	0
t307	1	0	0
t309	1	0	0
t310	1	0	0
t312	1	0	0
t313	1	0	0
t314	1	0	0
t323	1	0	0
t324	1	0	0
t325	1	0	0
t326	1	0	0
t329	1	0	0
t330	1	0	0
t335	1	0	0
t338	1	0	0
t342	1	0	0
t350	1	0	0
t355	1	0	0
t356	1	0	0
t357	1	0	0
t359	1	0	0
t362	1	0	0
t364	1	0	0
t368	1	0	0
t369	1	0	0
t370	1	0	0
t376	1	0	0
t386	1	0	0
t387	1	0	0
t388	1	0	0
t390	1	0	0
t391	1	0	0
t400	1	0	0
t412	1	0	0
t416	1	0	0
t417	1	0	0
t420	1	0	0
t422	1	0	0
t426	1	0	0
t430	1	0	0
t434	1	0	0
t438	1	0	0
t439	1	0	0
t440	1	0	0
t441	1	0	0
t444	1	0	0
t446	1	0	0
t448	1	0	0
t450	1	0	0
t451	1	0	0
t456	1	0	0
t457	1	0	0
t469	1	0	0
t470	1	0	0
t472	1	0	0
t473	1	0	0
t474	1	0	0
t475	1	0	0
t478	1	0	0
t479	1	0	0
t480	1	0	0
t488	1	0	0
t493	1	0	0
t497	1	0	0
t501	1	0	0
t503	1	0	0
