taxon	int_1	int_2
t1	0	1
t3	0	1
t5	0	1
t6	0	1
t7	0	1
t8	0	1
t9	0	1
t10	1	0
t12	1	1
t13	1	1
t14	1	1
t15	0	1
t16	1	0
t17	1	0
t20	0	1
t21	1	1
t26	1	1
t27	0	1
t28	0	1
t31	0	1
t33	1	0
t34	1	0
t38	1	1
t41	1	0
t43	1	0
t46	1	0
t50	1	0
t52	1	0
t53	1	0
t54	1	0
t55	1	0
t61	0	1
t62	1	0
t67	1	0
t68	1	0
t71	1	0
t72	0	1
t75	1	0
t76	1	0
t80	1	0
t82	1	0
t84	1	0
t86	1	0
t92	1	0
t95	1	0
t108	1	0
t109	1	0
t110	1	0
t113	1	0
t120	1	0
t124	0	1
t129	1	1
t137	1	0
t141	1	0
t143	1	0
t153	1	0
t157	1	0
t175	1	0
t183	1	0
t189	1	0
t192	1	0
t194	1	0
t196	1	0
t202	1	0
t229	1	0
t231	1	0
t244	1	0
t245	1	0
t246	1	0
t257	1	0
t260	1	0
t261	1	0
t277	1	0
t278	1	0
t286	1	0
t287	1	0
t290	1	0
t301	1	0
t303	1	0
t306	1	0
t321	1	0
