taxon	int_1	int_2	int_3
t2	0	0	1
t5	0	0	1
t8	0	1	0
t9	1	1	0
t10	1	1	0
t11	0	1	0
t13	1	1	0
t16	1	0	0
t17	0	1	0
t19	0	1	0
t20	1	0	0
t23	0	1	0
t24	1	0	0
t27	1	1	0
t28	0	1	0
t29	0	1	0
t30	1	0	0
t38	1	0	0
t41	0	1	0
t43	0	1	0
t44	1	0	0
t45	0	1	0
t51	1	0	0
t53	0	1	0
t55	0	1	0
t56	1	1	0
t58	1	1	0
t59	0	1	0
t62	1	0	0
t66	1	0	0
t70	1	0	0
t72	1	0	0
t77	1	0	0
t78	1	0	0
t82	1	0	0
t83	1	0	0
t84	1	0	0
t86	1	0	0
t89	1	0	0
t90	1	0	0
t96	1	0	0
t97	1	0	0
t104	0	1	0
t105	1	0	0
t108	1	1	0
t110	1	0	0
t111	1	0	0
t112	1	0	0
t113	1	0	0
t123	1	0	0
t131	1	0	0
t134	1	0	0
t140	1	0	0
t148	1	1	0
t149	1	0	0
t151	1	0	0
t154	1	0	0
t159	1	0	0
t161	1	0	0
t163	1	0	0
t165	1	0	0
t167	1	0	0
t168	1	0	0
t174	1	0	0
t176	1	0	0
t177	1	0	0
t180	1	0	0
t181	1	0	0
t183	0	1	0
t185	1	0	0
t186	1	0	0
t193	1	0	0
t194	1	0	0
t197	1	0	0
t198	1	0	0
t199	1	0	0
t202	1	0	0
t212	1	0	0
t213	1	0	0
t219	1	0	0
t220	1	0	0
t221	1	0	0
t222	1	0	0
t224	1	0	0
t226	1	0	0
t232	1	0	0
t238	1	0	0
t245	0	1	0
t248	1	0	0
t253	1	0	0
t254	1	0	0
t255	1	0	0
t257	1	0	0
t258	1	0	0
t261	1	0	0
t266	1	0	0
t267	1	0	0
t268	1	0	0
t286	1	0	0
t292	1	0	0
t296	1	0	0
t297	1	0	0
t299	1	0	0
t300	1	0	0
t315	1	0	0
t317	1	0	0
t325	1	0	0
t326	1	0	0
t335	1	0	0
t349	1	0	0
t351	1	0	0
t354	1	0	0
t356	1	0	0
t360	1	0	0
t365	1	0	0
t371	1	0	0
t392	1	0	0
t397	1	0	0
t400	1	0	0
t401	1	0	0
t402	1	0	0
t404	1	0	0
t410	1	0	0
t411	1	0	0
t423	1	0	0
t424	1	0	0
t425	1	0	0
t426	1	0	0
t428	1	0	0
t439	1	0	0
t442	1	0	0
t446	1	0	0
t450	1	0	0
t455	1	0	0
t458	1	0	0
t466	1	0	0
t468	1	0	0
t469	1	0	0
t476	1	0	0
t478	1	0	0
t485	1	0	0
t494	1	0	0
t499	1	0	0
t500	1	0	0
t513	1	0	0
t516	1	0	0
t521	1	0	0
t527	1	0	0
t531	1	0	0
t537	1	0	0
t543	1	0	0
t546	1	0	0
t549	1	0	0
t550	1	0	0
t551	1	0	0
t552	1	0	0
t559	1	0	0
t563	1	0	0
t592	1	0	0
