taxon	int_1	int_2
t1	1	1
t2	1	0
t4	1	0
t5	1	1
t7	0	1
t8	1	0
t10	1	0
t12	1	0
t14	1	1
t15	0	1
t16	1	0
t17	1	0
t18	1	0
t19	1	0
t21	1	0
t22	1	0
t24	0	1
t25	1	0
t26	1	0
t27	1	0
t28	1	0
t30	1	0
t31	1	0
t35	1	0
t36	1	0
t37	1	0
t40	1	0
t42	1	0
t43	1	0
t44	1	0
t46	1	0
t47	1	0
t48	1	0
t49	1	0
t50	1	0
t51	1	0
t53	1	0
t55	1	0
t57	1	0
t58	1	0
t61	1	1
t63	1	0
t64	1	0
t65	1	0
t70	1	0
t71	1	0
t73	1	0
t75	1	0
t77	1	0
t78	1	0
t79	1	0
t80	1	0
t81	1	0
t82	1	0
t83	1	0
t84	1	0
t88	1	0
t89	1	0
t91	1	0
t92	1	0
t94	1	0
t96	1	0
t97	1	0
t98	1	0
t101	1	0
t104	1	0
t105	1	0
t106	1	0
t107	1	0
t111	1	0
t112	1	0
t113	1	0
t117	1	0
t119	1	0
t120	1	0
t121	1	0
t122	1	0
t124	1	0
t125	1	0
t126	1	0
t127	1	0
t128	1	0
t130	1	0
t131	1	0
t132	1	0
t133	1	0
t135	1	0
t138	1	0
t141	1	0
t142	1	0
t144	1	0
t148	1	0
t149	1	0
t150	1	0
t151	1	0
t152	1	0
t153	1	0
t157	1	0
t161	1	0
t164	1	0
t165	1	0
t166	1	0
t167	1	0
t168	1	0
t169	1	0
t170	1	0
t171	1	0
t173	1	0
t174	1	0
t175	1	0
t177	1	0
t179	1	0
t180	1	0
t181	1	0
t182	1	0
t185	1	0
t192	1	0
t193	1	0
t194	1	0
t197	1	0
t200	1	0
t201	1	0
t203	1	0
t204	1	0
t205	1	0
t206	1	0
t208	1	0
t209	1	0
t210	1	0
t211	1	0
t212	1	0
t214	1	0
t215	1	0
t216	1	0
t219	1	0
t222	1	0
t223	1	0
t225	1	0
t228	1	0
t232	1	0
t233	1	0
t234	1	0
t237	1	0
t238	1	0
t239	1	0
t240	1	0
t241	1	0
t242	1	0
t243	1	0
t244	1	0
t245	1	0
t247	1	0
t248	1	0
t249	1	0
t250	1	0
t251	1	0
t254	1	0
t256	1	0
t258	1	0
t263	1	0
t264	1	0
t266	1	0
t270	1	0
t273	1	0
t274	1	0
t275	1	0
t278	1	0
t279	1	0
t281	1	0
t286	1	0
t289	1	0
t292	1	0
t294	1	0
t302	1	0
t303	1	0
t305	1	0
t308	1	0
t312	1	0
t316	1	0
t319	1	0
t320	1	0
t329	1	0
t331	1	0
t332	1	0
