taxon	int_1	int_2	int_3
t2	1	1	0
t3	0	0	1
t4	0	1	0
t5	1	1	0
t7	1	0	0
t9	0	1	0
t12	1	0	0
t14	1	0	0
t17	1	0	0
t19	0	1	1
t20	1	0	0
t22	1	0	0
t23	1	0	0
t31	1	0	0
t44	0	1	0
t46	1	0	0
t47	1	0	0
t49	1	0	0
t55	0	1	0
t56	1	1	0
t58	1	0	0
t60	0	1	0
t61	0	1	0
t62	1	0	0
t68	1	0	0
t76	1	0	0
t78	1	0	0
t85	1	0	0
t86	1	0	0
t94	1	1	0
t101	1	0	0
t102	1	0	0
t103	1	0	0
t106	1	0	0
t113	1	0	0
t123	1	0	0
t125	1	0	0
t126	1	0	0
t127	1	0	0
t132	1	0	0
t135	1	0	0
t137	1	0	0
t138	1	0	0
t139	1	0	0
t141	1	0	0
t146	1	0	0
t154	1	0	0
t163	1	0	0
t164	1	0	0
t170	1	0	0
t178	1	0	0
t181	1	0	0
t187	1	0	0
t188	1	0	0
