taxon	int_1	int_2	int_3
t1	0	0	1
t3	0	1	0
t4	0	1	0
t7	0	1	0
t9	1	1	0
t10	0	1	0
t11	0	1	0
t13	0	0	1
t14	0	1	0
t15	1	1	0
t16	1	1	0
t17	0	1	0
t18	0	1	0
t21	0	0	1
t22	0	1	0
t24	0	0	1
t25	0	1	1
t26	0	1	0
t28	0	1	0
t29	1	0	0
t31	1	1	0
t33	1	1	0
t34	1	0	0
t37	1	1	0
t40	0	1	0
t42	0	1	0
t43	1	1	0
t44	1	0	0
t48	0	1	0
t49	1	0	0
t50	0	1	0
t51	0	1	0
t53	1	0	0
t56	0	1	0
t57	1	0	0
t58	1	1	0
t60	0	1	0
t64	1	0	0
t65	1	1	0
t67	1	1	0
t69	0	1	0
t70	0	1	0
t71	0	1	0
t72	0	1	0
t73	1	0	0
t75	0	1	0
t76	0	1	0
t79	1	1	0
t82	1	0	0
t90	1	0	0
t92	1	0	0
t97	1	0	0
t99	1	0	0
t103	1	0	0
t104	1	0	0
t112	1	0	0
t114	1	1	0
t115	1	0	0
t118	1	0	0
t124	0	1	0
t128	1	1	0
t129	1	1	0
t130	1	0	0
t133	0	1	0
t134	0	1	0
t135	0	1	0
t136	0	1	0
t137	1	1	0
t138	0	1	0
t139	1	1	0
t140	0	1	1
t141	1	1	1
t142	0	1	0
t143	0	1	0
t144	0	1	0
t146	1	0	0
t151	1	1	0
t153	0	1	0
t158	1	0	0
t161	1	0	0
t162	1	0	0
t171	1	0	0
t180	1	0	0
t183	1	0	0
t186	1	0	0
t190	1	0	0
t194	1	0	0
t199	1	0	0
t205	1	0	0
t209	1	0	0
t210	1	0	0
t211	1	0	0
t218	1	1	0
t219	0	1	0
t220	0	1	0
t228	1	0	0
t234	0	1	0
t235	0	1	0
t236	0	1	0
t238	1	0	0
t240	1	1	0
t241	1	0	0
t243	1	0	0
t246	1	0	0
t248	1	0	0
t249	1	0	0
t250	1	0	0
t251	1	0	0
t252	0	1	0
t253	0	1	0
t255	0	1	0
t257	1	0	0
t260	1	1	0
t261	0	1	0
t262	1	0	0
t263	1	0	0
t265	1	0	0
t266	1	1	0
t270	1	0	0
t274	1	0	0
t278	1	0	0
t279	0	1	0
t290	1	0	0
t299	1	0	0
t302	1	0	0
t307	1	0	0
t313	1	0	0
t316	1	0	0
t318	1	0	0
t327	1	0	0
t332	1	0	0
t333	1	0	0
t334	1	0	0
t337	1	0	0
t341	1	0	0
t345	1	0	0
t347	1	0	0
t348	1	0	0
t350	1	0	0
t354	1	0	0
t355	1	0	0
t357	1	0	0
t358	1	0	0
t361	0	1	0
t364	0	1	0
t366	1	0	0
t374	1	0	0
t375	1	0	0
