taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	0	0	1
t4	0	0	1
t6	0	1	1
t7	0	1	0
t8	0	0	1
t9	0	1	0
t11	1	0	0
t12	1	1	0
t13	1	0	0
t14	1	0	0
t15	0	1	0
t16	1	1	1
t17	1	0	0
t18	1	1	0
t19	1	0	0
t21	1	0	0
t23	1	0	0
t24	1	0	0
t26	1	0	0
t27	1	0	0
t28	1	0	0
t31	1	1	0
t33	0	1	0
t34	0	1	1
t35	0	0	1
t36	1	1	0
t37	1	0	0
t38	1	0	0
t39	1	0	0
t43	1	0	0
t44	1	0	0
t46	1	1	0
t48	1	0	0
t51	1	0	0
t53	1	0	0
t54	1	0	0
t59	0	1	0
t60	1	1	1
t61	1	0	1
t64	1	0	0
t65	1	0	0
t66	1	0	0
t69	1	0	0
t70	1	0	0
t75	1	0	0
t81	1	0	0
t82	1	0	0
t89	0	1	0
t91	0	1	0
t92	1	0	0
t93	1	0	0
t95	1	1	0
t100	1	0	0
t102	1	0	0
t105	0	1	0
t112	1	0	0
t114	1	0	0
t115	1	0	0
t117	1	0	0
t122	1	0	0
t124	1	0	0
t125	1	0	0
t127	1	0	0
t128	1	0	0
t134	1	0	0
t135	1	0	0
t137	1	0	0
t139	1	0	0
