taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	0	1
t3	1	1	1
t4	0	0	1
t5	0	1	1
t6	1	0	0
t7	1	0	0
t8	1	0	0
t9	1	0	0
t10	1	0	0
t11	1	0	0
t12	1	0	0
t15	1	0	0
t18	1	0	0
t20	1	0	0
t21	1	0	0
t24	1	0	0
t25	1	0	0
t26	1	0	0
t27	1	0	0
t31	1	0	0
t32	1	0	0
t35	1	0	0
t36	1	0	0
t37	1	0	0
t38	1	0	0
t39	1	0	0
t41	1	0	0
t43	1	0	0
t45	1	0	0
t48	1	0	0
t50	1	0	0
t51	1	0	0
t52	1	0	0
t53	1	0	0
t58	1	0	0
t59	1	0	0
t60	1	0	0
t63	1	0	0
t64	1	0	0
t66	1	0	0
t67	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t74	1	0	0
t75	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t83	1	0	0
t86	1	0	0
t90	1	0	0
t91	1	0	0
t93	1	0	0
t94	1	0	0
t98	1	0	0
t102	1	0	0
t104	1	0	0
t107	1	0	0
t117	1	0	0
