taxon	int_1	int_2	int_3
t1	0	1	1
t2	1	0	0
t3	0	1	1
t4	1	0	0
t5	0	1	1
t8	1	0	0
t9	0	1	1
t10	0	1	1
t11	1	1	1
t12	1	1	0
t16	1	0	0
t17	1	1	0
t18	1	0	0
t19	1	0	0
t20	1	0	0
t21	1	0	0
t27	1	0	0
t28	1	0	0
t31	0	0	1
t33	0	1	0
t34	0	1	0
t35	1	1	0
t38	1	0	0
t39	1	0	0
t40	1	0	0
t41	1	0	0
t42	0	0	1
t45	1	0	0
t47	0	1	0
t48	1	0	0
t49	1	0	0
t54	1	0	0
t58	1	0	0
t61	1	0	0
t62	1	0	0
t64	0	0	1
t65	1	1	1
t66	0	1	0
t67	1	0	0
t68	1	0	0
t69	1	0	0
t70	1	0	0
t71	1	0	0
t73	1	0	0
t75	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t81	1	0	0
t86	1	0	0
t89	1	0	0
t90	1	0	0
t96	1	0	0
t98	1	0	0
t101	1	0	0
t102	1	0	0
t104	1	1	1
t105	1	1	1
t106	0	1	1
t108	1	0	0
t109	1	0	0
t111	1	0	0
t115	1	0	0
t119	1	0	0
t123	1	0	0
t125	1	0	0
t126	1	0	0
t127	1	0	0
t128	1	0	0
t129	1	0	0
t136	1	0	0
t139	1	1	0
t140	1	0	0
t141	1	0	0
t142	1	0	0
t144	1	0	0
t145	1	0	0
t147	0	1	0
t148	0	0	1
t151	1	0	0
t152	1	0	0
t154	1	1	0
t157	0	1	0
t158	0	1	0
t159	1	0	0
t163	1	0	0
t165	1	0	0
t167	1	0	0
t170	1	0	0
t171	1	0	0
t174	1	0	0
t177	1	0	0
t181	1	0	0
t182	1	0	0
t183	1	0	0
t187	1	0	0
t188	1	0	0
t189	1	0	0
t190	1	0	0
t191	1	0	0
t192	0	1	1
t196	1	0	0
t197	0	1	0
t198	1	1	0
t200	1	0	0
t203	1	0	0
t208	1	0	0
t210	1	0	0
t213	1	0	0
t214	1	0	0
t216	1	0	0
t220	1	0	0
t225	1	0	0
t226	1	0	0
t227	1	0	0
t228	1	0	0
t230	1	0	0
t237	1	0	0
t239	1	0	0
t241	1	0	0
t242	1	0	0
t247	1	0	0
t248	1	0	0
t249	1	0	0
t251	1	0	0
t253	1	0	0
t254	1	0	0
t264	1	0	0
t266	1	0	0
t271	1	0	0
t275	1	0	0
t277	1	0	0
t280	1	0	0
t284	1	0	0
t289	1	0	0
t290	1	0	0
t292	1	0	0
t296	1	0	0
t297	1	0	0
t298	1	0	0
t299	1	0	0
t302	1	0	0
t304	1	0	0
t305	1	0	0
t308	1	0	0
