taxon	int_1	int_2
t1	1	1
t2	0	1
t3	0	1
t4	0	1
t5	0	1
t7	1	1
t8	1	0
t9	0	1
t10	0	1
t11	1	1
t12	0	1
t13	1	1
t14	1	1
t15	0	1
t17	0	1
t19	0	1
t20	1	1
t22	1	1
t23	0	1
t26	1	0
t28	0	1
t29	1	1
t30	0	1
t31	1	0
t32	0	1
t33	1	0
t34	1	0
t35	0	1
t36	0	1
t37	1	0
t39	0	1
t40	1	1
t41	1	0
t42	1	0
t45	1	1
t46	1	1
t47	1	0
t51	0	1
t52	1	0
t53	0	1
t54	1	0
t55	1	1
t56	1	0
t57	1	1
t58	0	1
t59	0	1
t60	1	0
t61	0	1
t62	0	1
t64	1	0
t65	1	0
t67	1	0
t68	1	0
t70	0	1
t72	1	0
t74	1	1
t76	1	0
t77	1	0
t78	1	0
t79	1	0
t80	1	0
t81	1	1
t82	1	0
t83	1	1
t84	1	0
t85	1	0
t87	1	1
t88	1	0
t89	1	0
t90	1	1
t91	1	1
t92	1	0
t93	1	0
t94	1	0
t95	1	1
t96	1	0
t97	1	0
t98	1	1
t99	1	0
t101	1	0
t107	1	0
t109	1	0
t110	1	0
t111	1	0
t113	1	0
t115	1	0
t116	0	1
t117	0	1
t119	1	1
t120	1	1
t121	1	0
t122	1	0
t123	1	0
t124	1	0
t125	1	0
t126	1	0
t127	1	0
t130	1	1
t131	1	0
t132	1	0
t134	1	0
t136	1	0
t137	1	0
t139	1	0
t140	1	0
t141	1	0
t142	1	0
t143	1	0
t145	0	1
t146	1	1
t147	1	0
t148	0	1
t149	1	0
t150	1	0
t152	1	0
t153	1	0
t155	1	0
t156	1	0
t157	1	0
t158	1	0
t159	1	0
t160	1	1
t161	0	1
t163	1	0
t164	1	0
t165	1	0
t168	1	0
t169	1	0
t170	1	0
t171	1	0
t173	1	0
t174	1	0
t176	1	0
t178	1	0
t179	1	0
t180	1	0
t181	1	0
t182	1	0
t184	1	0
t185	1	1
t186	1	0
t189	0	1
t190	1	1
t192	1	0
t193	1	0
t194	1	0
t195	1	0
t197	1	0
t198	1	0
t199	0	1
t200	0	1
t201	1	1
t202	1	0
t203	1	0
t205	1	0
t206	1	0
t207	1	0
t208	1	0
t210	1	0
t211	1	1
t213	1	0
t216	1	0
t217	1	0
t218	1	0
t220	1	0
t221	1	0
t223	1	0
t224	1	1
t226	1	0
t227	1	0
t228	1	0
t229	1	0
t231	1	1
t232	0	1
t233	0	1
t236	1	0
t237	1	0
t238	1	0
t240	0	1
t241	1	0
t242	1	0
t243	1	0
t244	1	0
t245	1	0
t246	1	0
t247	1	0
t248	1	0
t249	1	0
t250	1	0
t251	1	0
t256	1	0
t257	1	1
t258	1	1
t259	0	1
t260	1	0
t262	1	0
t263	1	0
t267	1	0
t268	1	0
t269	1	0
t270	1	0
t271	1	0
t272	1	0
t275	1	0
t277	1	0
t280	1	0
t281	1	0
t283	1	0
t284	1	0
t285	1	0
t287	1	0
t288	1	1
t291	1	0
t292	1	0
t294	1	0
t295	1	0
t296	1	0
t297	1	0
t299	1	0
t300	1	0
t302	1	0
t304	1	0
t306	1	0
t307	1	0
t308	1	0
t309	1	0
t310	1	0
t313	1	0
t315	1	0
t316	1	0
t317	1	0
t318	1	0
t320	1	0
t324	1	0
t325	1	0
t326	1	0
