taxon	int_1	int_2	int_3
t3	0	0	1
t4	0	1	0
t5	1	1	1
t6	1	1	1
t7	1	1	0
t8	1	1	0
t9	0	1	0
t10	1	0	0
t11	1	0	0
t12	1	0	0
t13	0	1	0
t14	0	1	0
t15	0	1	0
t16	1	1	0
t19	1	0	0
t21	1	1	0
t22	0	1	0
t23	1	0	0
t24	1	0	0
t27	1	1	0
t32	1	0	0
t33	1	1	0
t34	0	1	0
t35	0	1	0
t36	1	0	0
t37	1	0	0
t39	1	1	0
t40	1	0	0
t42	1	0	0
t43	0	1	1
t45	0	1	0
t46	1	0	0
t50	1	0	0
t51	1	0	0
t55	1	0	0
t57	1	1	0
t58	1	0	0
t59	1	0	0
t60	1	0	0
t61	1	1	0
t63	1	1	0
t64	1	1	0
t65	1	0	0
t66	1	0	0
t67	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t73	1	0	0
t74	1	0	0
t75	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t81	1	1	0
t82	1	0	0
t85	1	0	0
t88	1	0	0
