taxon	int_1	int_2
t1	1	1
t2	0	1
t3	1	0
t4	1	0
t5	1	0
t6	1	0
t7	1	0
t8	1	0
t9	1	0
t10	1	0
t12	1	0
t13	1	0
t14	1	0
t16	1	0
t17	1	0
t18	1	0
t20	1	0
t21	1	0
t22	1	0
t26	1	0
t27	1	0
t28	1	0
t29	1	0
t30	1	0
t31	1	0
t32	1	0
t33	1	0
t34	1	0
t35	1	0
t36	1	0
t41	1	0
t42	1	0
t44	1	0
t46	1	0
t51	1	0
t52	1	0
t53	1	0
t54	1	0
t55	1	0
t56	1	0
t59	1	0
t60	1	0
t62	1	0
t63	1	0
t64	1	0
t65	1	0
t71	1	0
t74	1	0
t79	1	0
t82	1	0
t84	1	0
t88	1	0
t90	1	0
t91	1	0
t93	1	0
t96	1	0
t99	1	0
t100	1	0
t101	1	0
t102	1	0
t104	1	0
t105	1	0
t106	1	0
t107	1	0
t108	1	0
t115	1	0
t116	1	0
t119	1	0
t121	1	0
t123	1	0
t124	1	0
t125	1	0
t128	1	0
t129	1	0
t130	1	0
t131	1	0
t138	1	0
t139	1	0
t142	1	0
t150	1	0
t161	1	0
t163	1	0
t165	1	0
t168	1	0
t169	1	0
t170	1	0
t171	1	0
t172	1	0
t174	1	0
t175	1	0
t182	1	0
t185	1	0
t192	1	0
t193	1	0
t196	1	0
t202	1	0
t204	1	0
t207	1	0
t209	1	0
t220	1	0
t221	1	0
t225	1	0
t227	1	0
