taxon	int_1	int_2	int_3
t1	0	1	1
t2	1	1	1
t3	0	0	1
t4	0	0	1
t5	0	1	0
t6	0	1	0
t7	1	1	1
t8	1	1	1
t11	0	1	1
t12	1	0	0
t14	1	0	0
t16	0	1	0
t18	1	0	0
t20	1	0	0
t24	1	1	0
t27	1	1	0
t29	1	0	0
t30	1	0	0
t32	1	1	0
t33	0	1	0
t34	1	0	0
t35	0	1	0
t36	1	1	0
t37	1	1	0
t41	1	0	0
t42	1	1	0
t43	1	0	0
t44	1	0	0
t45	1	0	0
t46	1	0	0
t47	1	0	0
t48	1	1	0
t49	1	1	0
t50	1	1	0
t52	1	0	0
t53	1	0	0
t56	1	0	0
t60	1	0	0
t61	1	0	0
t62	1	0	0
t63	1	0	0
t64	1	0	0
t65	1	0	0
t68	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t73	0	1	0
t74	1	0	0
t76	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t83	0	1	0
t84	1	0	0
t85	0	1	0
t86	0	1	0
t87	1	0	0
t88	1	0	0
t89	1	0	0
t91	1	0	0
t93	1	0	0
t95	1	1	0
t97	1	0	0
t98	1	0	0
t100	1	0	0
t101	1	0	0
t102	1	0	0
t103	1	0	0
t105	1	0	0
t106	1	0	0
t107	1	0	0
t109	1	0	0
t112	1	0	0
t113	1	0	0
t114	1	0	0
t116	1	0	0
t123	1	0	0
t124	1	0	0
t125	1	0	0
t126	1	0	0
t131	1	0	0
t138	1	0	0
t139	1	0	0
t141	1	0	0
t142	1	0	0
t144	1	0	0
t145	1	0	0
t146	1	0	0
t148	1	0	0
t150	1	0	0
t151	0	1	0
t154	1	0	0
t156	1	0	0
t157	1	0	0
t158	1	0	0
t160	1	0	0
t163	1	0	0
t164	1	0	0
t167	1	0	0
t168	1	0	0
t169	1	0	0
t170	1	0	0
t171	1	0	0
t172	1	0	0
t177	1	0	0
t180	1	0	0
t181	1	0	0
t182	1	0	0
t184	1	0	0
t186	1	0	0
t189	1	0	0
t190	1	0	0
t191	1	0	0
t193	1	0	0
t200	1	0	0
t201	1	0	0
t203	1	0	0
t207	1	0	0
t211	1	0	0
t215	1	0	0
t216	1	0	0
t218	1	0	0
t219	1	0	0
t223	1	0	0
t226	1	0	0
t228	1	0	0
t230	1	0	0
t231	1	0	0
t232	1	0	0
t233	1	1	0
t234	1	1	0
t236	1	0	0
t238	1	0	0
t239	1	0	0
t240	1	0	0
t241	1	0	0
t242	1	0	0
t244	1	0	0
t245	1	0	0
t246	1	0	0
t247	1	0	0
t250	1	0	0
t252	1	0	0
t256	1	0	0
t258	1	0	0
t260	1	0	0
t261	1	0	0
t262	1	0	0
t264	1	0	0
t265	1	0	0
t266	1	0	0
t268	1	0	0
t269	1	0	0
t271	1	0	0
t285	1	0	0
t288	1	0	0
t291	1	0	0
t292	1	0	0
t294	1	0	0
t295	1	0	0
t299	1	0	0
t303	1	0	0
t308	1	0	0
t310	1	0	0
t313	1	0	0
t314	1	0	0
t318	1	0	0
t319	1	0	0
t321	1	0	0
t322	1	0	0
t324	1	0	0
t325	1	0	0
t326	1	0	0
t328	1	0	0
t330	1	0	0
t332	1	0	0
t333	1	0	0
t334	1	0	0
t335	1	0	0
t336	1	0	0
t337	1	0	0
t345	1	0	0
t348	1	0	0
t349	1	0	0
t350	1	0	0
t351	1	0	0
t353	1	0	0
t354	1	0	0
t355	1	0	0
t357	1	0	0
t359	1	0	0
t360	1	0	0
t366	1	0	0
t368	1	0	0
t370	1	0	0
t373	1	0	0
t375	1	0	0
t380	1	0	0
t381	1	0	0
t383	1	0	0
t391	1	0	0
t395	1	0	0
t398	1	0	0
t401	1	0	0
t403	1	0	0
t405	1	0	0
t408	1	0	0
t410	1	0	0
t411	1	0	0
t415	1	0	0
t416	1	0	0
t419	1	0	0
t422	1	0	0
t424	1	0	0
t425	1	0	0
t428	1	0	0
t430	1	0	0
t431	1	0	0
t433	1	0	0
t435	1	0	0
t437	1	0	0
t438	1	0	0
t442	1	0	0
t455	1	0	0
t456	1	0	0
t463	1	0	0
t464	1	0	0
t466	1	0	0
t468	1	0	0
t471	1	0	0
t473	1	0	0
t474	1	0	0
t478	1	0	0
t479	1	0	0
t481	1	0	0
t482	1	0	0
t485	1	0	0
t486	1	0	0
t489	1	0	0
t491	1	0	0
t493	1	0	0
t501	1	0	0
t502	1	0	0
t506	1	0	0
t507	1	0	0
t510	1	0	0
t518	1	0	0
t520	1	0	0
