taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	0	1
t3	0	0	1
t4	0	1	0
t5	0	1	0
t7	1	0	0
t9	0	1	1
t10	0	0	1
t13	1	1	0
t14	0	1	0
t15	1	0	0
t16	1	0	0
t17	0	1	0
t18	1	1	0
t19	0	1	0
t21	1	1	0
t23	1	1	0
t24	1	1	0
t25	0	1	0
t29	0	1	0
t31	1	1	0
t32	1	0	0
t33	1	0	0
t34	0	1	0
t35	1	1	0
t36	1	1	0
t37	0	1	0
t39	1	1	0
t41	0	1	0
t42	1	1	0
t45	1	0	0
t46	1	0	0
t47	1	0	0
t51	1	0	0
t53	1	0	0
t55	0	1	0
t56	1	1	0
t59	1	0	0
t60	1	1	0
t62	1	0	0
t63	1	0	0
t64	1	0	0
t66	0	1	0
t67	0	1	0
t68	1	0	0
t69	1	1	0
t70	1	0	0
t71	0	1	0
t72	1	0	0
t73	1	1	0
t74	0	1	0
t76	1	0	0
t78	1	0	0
t79	1	0	0
t81	0	1	0
t82	1	0	0
t83	0	1	0
t84	1	0	0
t85	1	0	0
t88	1	0	0
t89	1	1	0
t90	1	0	0
t91	1	1	0
t93	1	0	0
t94	1	0	0
t95	1	0	0
t98	0	1	0
t99	1	0	0
t100	1	0	0
t101	1	0	0
t102	1	0	0
t103	0	1	0
t105	1	0	0
t106	1	0	0
t107	1	0	0
t108	1	0	0
t110	1	0	0
t111	1	0	0
