taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	30	20
t2	30	20	30	20
t3	30	20	30	20
t4	30	20	30	20
t5	30	20	30	20
t6	30	20	20	10
t7	30	20	20	10
t8	30	20	30	20
t11	30	20	20	10
t12	20	10	20	10
t14	30	20	20	10
t16	20	10	20	10
t17	30	20	10	0
t18	30	20	30	20
t19	30	20	10	0
t21	20	10	20	10
t22	30	20	20	10
t23	30	20	20	10
t25	20	10	20	10
t26	30	20	20	10
t27	30	20	30	20
t29	30	20	20	10
t30	20	10	20	10
t31	20	10	20	10
t33	20	10	10	0
t34	10	0	10	0
t35	10	0	10	0
t36	10	0	10	0
t37	10	0	10	0
t39	30	20	30	20
t41	30	20	20	10
t42	20	10	20	10
t43	20	10	10	0
t44	10	0	10	0
t45	10	0	10	0
t46	10	0	10	0
t47	10	0	10	0
t48	10	0	10	0
t49	10	0	10	0
t50	10	0	10	0
t51	30	20	20	10
t52	20	10	20	10
t53	20	10	20	10
t54	20	10	10	0
t55	30	20	30	20
t56	30	20	20	10
t57	20	10	20	10
t58	20	10	20	10
t59	20	10	20	10
t60	20	10	20	10
t61	30	20	20	10
t63	20	10	20	10
t64	20	10	10	0
t65	30	20	30	20
t66	20	10	20	10
t68	30	20	20	10
t70	30	20	30	20
t71	20	10	20	10
t72	20	10	10	0
t73	20	10	10	0
t74	10	0	10	0
t77	10	0	10	0
t78	10	0	10	0
t81	10	0	10	0
t82	10	0	10	0
t83	10	0	10	0
t84	10	0	10	0
t85	10	0	10	0
t86	10	0	10	0
t87	10	0	10	0
t88	10	0	10	0
t90	10	0	10	0
t95	30	20	10	0
t96	30	20	30	20
t97	20	10	20	10
t99	10	0	10	0
t101	10	0	10	0
t102	10	0	10	0
t103	10	0	10	0
t104	10	0	10	0
t105	10	0	10	0
t106	10	0	10	0
t108	10	0	10	0
t109	10	0	10	0
t110	10	0	10	0
t111	10	0	10	0
t112	10	0	10	0
t118	10	0	10	0
t121	30	20	20	10
t122	30	20	30	20
t123	20	10	20	10
t126	10	0	10	0
t127	30	20	30	20
t128	30	20	20	10
t129	20	10	20	10
t130	20	10	10	0
t131	20	10	20	10
t132	20	10	20	10
t133	20	10	10	0
t134	20	10	20	10
t136	30	20	20	10
t138	10	0	10	0
t139	10	0	10	0
t142	20	10	20	10
t143	30	20	20	10
t144	30	20	20	10
t145	30	20	30	20
t147	20	10	20	10
t148	20	10	20	10
t150	10	0	10	0
t151	10	0	10	0
t153	10	0	10	0
t154	10	0	10	0
t155	10	0	10	0
t156	10	0	10	0
t158	10	0	10	0
t159	10	0	10	0
t160	10	0	10	0
t164	10	0	10	0
t168	10	0	10	0
t169	10	0	10	0
t170	10	0	10	0
t171	10	0	10	0
t172	10	0	10	0
t173	10	0	10	0
t174	10	0	10	0
t176	10	0	10	0
t177	10	0	10	0
t178	10	0	10	0
t179	10	0	10	0
t180	10	0	10	0
t181	10	0	10	0
t185	20	10	20	10
t186	30	20	30	20
t187	30	20	20	10
t188	20	10	20	10
t189	10	0	10	0
t190	10	0	10	0
t194	10	0	10	0
t195	10	0	10	0
t196	10	0	10	0
t198	10	0	10	0
t203	10	0	10	0
t204	10	0	10	0
t206	10	0	10	0
t208	10	0	10	0
t210	10	0	10	0
t212	20	10	10	0
t215	10	0	10	0
t216	30	20	30	20
t217	30	20	10	0
t218	30	20	20	10
t219	20	10	20	10
t220	10	0	10	0
t221	10	0	10	0
t222	10	0	10	0
t225	20	10	20	10
t226	20	10	10	0
t227	10	0	10	0
t229	20	10	20	10
t230	30	20	20	10
t232	20	10	20	10
t233	10	0	10	0
t234	10	0	10	0
t235	10	0	10	0
t236	10	0	10	0
t238	10	0	10	0
t239	30	20	20	10
t240	20	10	20	10
t241	20	10	20	10
t242	20	10	20	10
t243	10	0	10	0
t245	10	0	10	0
t246	10	0	10	0
t249	10	0	10	0
t250	10	0	10	0
t251	10	0	10	0
t253	10	0	10	0
t254	10	0	10	0
t256	10	0	10	0
t258	10	0	10	0
t259	10	0	10	0
t262	10	0	10	0
t265	10	0	10	0
t266	10	0	10	0
t267	10	0	10	0
t269	10	0	10	0
t274	10	0	10	0
t275	10	0	10	0
t277	10	0	10	0
t281	10	0	10	0
t282	10	0	10	0
t283	30	20	30	20
t286	20	10	20	10
t288	10	0	10	0
t289	10	0	10	0
t291	10	0	10	0
t292	10	0	10	0
t296	10	0	10	0
t297	10	0	10	0
t298	10	0	10	0
t299	10	0	10	0
t301	10	0	10	0
t303	10	0	10	0
t305	10	0	10	0
t308	10	0	10	0
t312	20	10	20	10
t313	10	0	10	0
t315	10	0	10	0
t317	10	0	10	0
t320	10	0	10	0
t323	10	0	10	0
t324	10	0	10	0
t327	10	0	10	0
t328	10	0	10	0
t329	10	0	10	0
t332	10	0	10	0
t334	10	0	10	0
t336	10	0	10	0
t339	20	10	20	10
t340	10	0	10	0
t341	10	0	10	0
t342	10	0	10	0
t343	10	0	10	0
t344	10	0	10	0
t345	10	0	10	0
t347	20	10	10	0
t348	20	10	20	10
t349	10	0	10	0
t350	10	0	10	0
t351	10	0	10	0
t354	10	0	10	0
t355	10	0	10	0
t358	10	0	10	0
t359	10	0	10	0
t361	10	0	10	0
t364	10	0	10	0
t365	10	0	10	0
t366	10	0	10	0
t371	10	0	10	0
t374	10	0	10	0
t378	10	0	10	0
t379	10	0	10	0
