taxon	int_1	int_2	int_3
t3	1	1	0
t4	1	1	1
t5	0	1	1
t6	1	0	0
t7	1	0	0
t8	1	0	0
t12	0	1	0
t13	0	1	0
t17	1	0	0
t18	1	0	0
t19	0	1	0
t20	1	0	0
t22	1	0	0
t24	0	1	0
t25	1	0	0
t26	1	0	0
t29	1	0	0
t31	1	0	0
t32	1	0	0
t34	0	1	0
t36	1	0	0
t37	1	0	0
t40	1	0	0
t43	1	0	0
t44	0	1	0
t45	0	1	0
t50	1	0	0
t51	1	0	0
t52	1	0	0
t53	1	0	0
t59	1	0	0
t60	1	0	0
t61	1	0	0
t64	1	0	0
t66	1	0	0
t69	1	0	0
t70	1	0	0
t72	1	0	0
t73	1	0	0
t76	1	0	0
t77	1	0	0
t78	1	0	0
t80	1	0	0
t84	1	0	0
t86	1	0	0
t87	1	0	0
t89	1	0	0
t92	1	0	0
t93	1	0	0
t94	1	0	0
t96	1	0	0
t98	1	0	0
t99	1	0	0
t100	1	0	0
t101	1	0	0
t103	1	0	0
t105	1	0	0
t106	1	0	0
t108	1	0	0
t109	1	0	0
t110	1	0	0
t123	1	0	0
t126	1	0	0
t130	1	0	0
t131	1	0	0
t135	1	0	0
t138	1	0	0
t141	1	0	0
t145	1	0	0
t146	1	0	0
t147	1	0	0
