taxon	int_1	int_2
t1	1	1
t2	0	1
t3	0	1
t4	1	0
t5	1	0
t6	1	0
t8	1	0
t9	1	1
t10	1	1
t11	1	0
t14	0	1
t15	1	0
t16	1	0
t17	1	0
t19	1	0
t20	1	0
t21	1	0
t22	1	0
t25	1	0
t26	1	0
t27	0	1
t28	1	0
t29	0	1
t30	1	0
t32	1	0
t33	1	1
t34	1	0
t36	1	0
t39	1	0
t40	1	0
t42	1	0
t46	1	0
t48	1	0
t49	1	0
t51	1	0
t53	1	0
t57	1	0
t58	1	0
t59	1	0
t60	1	0
t61	1	0
t64	1	0
t65	1	0
t66	1	0
t70	1	0
t71	1	0
t72	1	0
t73	1	0
t80	1	0
t81	1	0
t82	1	0
t83	1	0
t86	1	0
t87	1	0
t92	1	0
t95	1	0
t97	1	0
t100	1	0
t101	1	0
t102	1	0
t105	1	0
t106	1	0
t108	1	0
t109	1	0
t110	1	0
t111	1	0
t113	1	0
t114	1	0
t118	1	0
t119	1	0
t120	1	0
t122	1	0
t125	1	0
t127	1	0
t128	1	0
t129	1	0
t132	1	0
t133	1	0
t135	1	0
t136	1	0
t138	1	0
t140	1	0
t141	1	0
t144	1	0
t146	1	0
t147	1	0
t148	1	0
t149	1	0
t156	1	0
t158	1	0
t159	1	0
t161	1	0
t164	1	0
t165	1	0
t170	1	0
t171	1	0
t173	1	0
t177	1	0
t179	1	0
t180	1	0
t182	1	0
t184	1	0
t188	1	0
t192	1	0
t193	1	0
t194	1	0
t195	1	0
t196	1	0
t200	1	0
t205	1	0
t206	1	0
t208	1	0
t209	1	0
t211	1	0
t213	1	0
t215	1	0
t217	1	0
t223	1	0
