taxon	int_1	int_2	int_3
t2	0	0	1
t3	1	1	0
t4	0	0	1
t7	0	1	0
t9	1	0	0
t14	1	1	1
t15	1	1	0
t16	1	1	0
t17	0	1	0
t18	1	0	0
t19	1	1	0
t22	1	0	0
t23	1	0	0
t27	1	0	0
t29	1	1	0
t31	1	1	0
t32	1	0	0
t33	0	1	0
t36	1	0	0
t37	1	0	0
t38	1	1	0
t39	1	0	0
t41	1	0	0
t42	0	1	1
t43	1	0	0
t44	1	0	0
t47	0	1	0
t48	1	0	0
t49	1	0	0
t51	1	0	0
t52	1	0	0
t53	1	0	0
t55	1	0	0
t57	1	0	0
t58	1	0	0
t61	1	0	0
t62	1	1	0
t63	1	0	0
t66	1	0	0
t68	1	1	0
t69	0	1	0
t70	1	0	0
t71	1	0	0
t74	1	0	0
t75	1	0	0
t79	1	0	0
t81	1	1	0
t82	1	0	0
t85	0	1	0
t86	0	1	0
t87	1	0	0
t94	1	0	0
t96	1	0	0
t97	1	0	0
t98	0	1	0
t99	1	0	0
t100	1	0	0
t101	1	0	0
t102	1	0	0
t106	1	0	0
t108	1	0	0
t109	1	0	0
t110	1	0	0
t111	1	0	0
t114	1	0	0
t115	1	0	0
t116	1	0	0
t121	1	0	0
t123	1	0	0
t126	1	0	0
t127	0	1	0
t129	1	0	0
t130	1	0	0
t132	0	1	0
t133	1	0	0
t134	1	0	0
t139	1	1	0
t142	1	0	0
t143	1	0	0
t146	1	0	0
t147	1	0	0
t151	1	0	0
t152	1	0	0
t153	1	0	0
t157	1	0	0
t158	1	0	0
t160	1	0	0
t164	1	0	0
t165	1	1	0
t166	1	0	0
t167	1	0	0
t170	1	0	0
t171	1	0	0
t174	1	1	0
t176	1	0	0
t177	1	0	0
t178	1	0	0
t181	1	0	0
t184	1	0	0
t186	1	0	0
t187	1	0	0
t188	1	0	0
t189	1	0	0
t191	1	0	0
t193	1	0	0
t195	1	0	0
t196	1	0	0
t197	1	0	0
t200	1	0	0
t201	1	0	0
t202	1	0	0
t203	1	0	0
t205	1	0	0
t207	1	1	0
t208	1	0	0
t209	1	0	0
t210	1	0	0
t213	1	0	0
t217	1	0	0
t220	1	0	0
t231	1	0	0
t232	1	0	0
t233	1	0	0
t235	1	0	0
t236	1	0	0
t245	1	0	0
t246	1	0	0
t252	1	0	0
t253	1	0	0
t256	1	0	0
t262	1	0	0
t263	1	0	0
t271	1	0	0
