taxon	int_1	int_2
t2	0	1
t3	0	1
t4	0	1
t5	1	1
t6	1	0
t7	1	1
t9	1	0
t10	0	1
t12	0	1
t13	1	1
t14	0	1
t18	0	1
t19	1	1
t20	1	0
t21	1	1
t22	1	0
t23	0	1
t24	1	1
t27	1	1
t28	0	1
t29	0	1
t31	1	1
t32	1	1
t33	1	0
t35	0	1
t36	1	0
t37	1	0
t39	1	1
t41	1	0
t43	1	0
t44	1	0
t46	1	0
t47	1	0
t48	1	0
t50	0	1
t51	1	1
t54	0	1
t56	1	1
t58	1	0
t59	1	1
t60	1	0
t61	1	0
t62	1	0
t63	1	0
t64	1	0
t65	1	0
t67	1	0
t68	1	0
t69	1	0
t70	1	0
t71	1	0
t72	1	1
t74	1	0
t75	1	0
t76	1	0
t78	1	0
t84	1	0
t86	1	0
t88	0	1
t93	0	1
t94	1	1
t95	1	0
t96	1	0
t98	1	1
t99	1	1
t101	1	0
t102	1	0
t103	1	1
t108	1	0
t109	1	0
t110	1	0
t111	1	1
t112	1	0
t114	1	0
t116	0	1
t117	1	0
t118	1	0
t119	1	0
t120	1	0
t121	1	0
t122	1	0
t123	1	0
t124	1	0
t126	1	0
t128	1	0
t131	1	0
t134	1	0
t135	1	0
t137	1	0
t138	1	0
t140	1	0
t141	1	0
t143	1	0
t144	1	0
t145	1	0
t147	1	0
t148	1	0
t149	1	0
t150	1	0
t152	1	0
t154	1	1
t157	1	1
t158	1	0
t159	1	1
t160	1	0
t161	1	0
t162	1	0
t165	1	0
t166	1	0
t167	1	0
t169	1	0
t170	1	0
t172	1	0
t173	1	0
t174	1	0
t177	1	0
t182	1	0
t183	0	1
t185	1	0
t186	1	0
t190	1	0
t191	1	0
t192	1	0
t193	1	0
t194	1	0
t195	1	0
t196	1	0
t199	1	0
t200	1	0
t201	1	0
t203	1	1
t204	1	0
t205	1	0
t206	1	0
t208	1	0
t209	1	0
t210	1	0
t211	1	0
t214	1	0
t218	1	0
t219	1	0
t220	1	0
t221	1	0
t223	1	0
t230	1	0
t231	1	0
t235	1	0
t236	1	0
t238	1	0
t240	1	0
t241	0	1
t242	1	0
t243	1	0
t244	0	1
t247	1	1
t248	1	0
t249	1	0
t252	1	0
t253	1	0
t255	1	0
t257	1	0
t258	1	0
t260	1	0
t264	1	0
t267	1	0
t268	1	0
t269	1	0
t270	1	0
t271	1	0
t272	1	0
t274	1	0
t279	1	0
t280	1	0
t283	1	0
t284	1	0
t285	1	0
t286	1	0
t287	1	0
t288	1	0
t290	1	0
t294	1	0
t295	1	0
t299	1	0
t300	1	0
t302	1	0
t304	1	0
t305	1	0
t306	1	0
t308	1	0
t309	1	0
t312	1	0
t313	1	0
t314	1	0
t315	1	0
t317	1	0
t318	1	0
t319	1	0
t320	1	0
t323	1	0
t325	1	0
t327	1	0
t330	1	0
t336	1	0
t337	1	0
t339	1	0
t340	1	0
t341	1	0
t342	1	0
t343	1	0
t344	1	0
t346	1	0
t347	1	0
t355	1	0
t356	1	1
t357	1	0
t360	1	0
t361	1	0
t363	1	0
t365	1	0
t368	1	0
t370	1	0
t371	1	0
t372	1	0
t376	1	0
t377	1	0
t378	1	0
t379	1	0
t384	1	0
t385	1	0
t388	1	0
t389	1	0
t391	1	0
t394	1	0
t397	1	0
t398	1	0
t399	1	0
t401	1	0
t402	1	0
t403	1	0
t404	1	0
t406	1	0
t412	1	0
t417	1	0
t418	1	0
t419	1	0
t420	1	0
t421	1	0
t424	1	0
t425	1	0
t426	1	0
t427	1	0
t431	1	0
t432	1	0
t434	1	0
t438	1	0
t439	1	0
t443	1	0
t445	1	0
t447	1	0
t451	1	0
t452	1	0
t454	1	0
t455	1	0
t457	1	0
t458	1	0
t459	1	0
t460	1	0
t461	1	0
t463	1	0
t464	1	0
t468	1	0
t469	1	0
t471	1	0
t473	1	0
t474	1	0
t475	1	0
t477	1	0
t479	1	0
t480	1	0
t481	1	0
t486	1	0
t487	1	0
t489	1	0
t490	1	0
t491	1	0
t494	1	0
t495	1	0
t496	1	0
t497	1	0
t498	1	0
t499	1	0
t500	1	0
t502	1	0
t503	1	0
t504	1	0
t505	1	0
t506	1	0
t507	1	0
t509	1	0
t510	1	0
t511	1	0
t519	1	0
t526	1	0
t529	1	0
t535	1	0
t536	1	0
t538	1	0
t540	1	0
t543	1	0
t544	1	0
t545	1	0
t547	1	0
t548	1	0
t550	1	0
t551	1	0
t553	1	0
t555	1	0
t561	1	0
t563	1	0
t564	1	0
t565	1	0
t568	1	0
t572	1	0
t573	1	0
t574	1	0
t576	1	0
t578	1	0
t579	1	0
t581	1	0
t584	1	0
t585	1	0
t587	1	0
t588	1	0
t590	1	0
t592	1	0
t594	1	0
t601	1	0
t602	1	0
t604	1	0
t605	1	0
t607	1	0
t608	1	0
t612	1	0
t613	1	0
t616	1	0
t619	1	0
t620	1	0
t621	1	0
t626	1	0
t631	1	0
t632	1	0
t633	1	0
t634	1	0
t636	1	0
t637	1	0
t638	1	0
t642	1	0
t643	1	0
t648	1	0
t651	1	0
t653	1	0
t654	1	0
t657	1	0
t658	1	0
t660	1	0
t666	1	0
t668	1	0
t673	1	0
t675	1	0
t676	1	0
t677	1	0
t678	1	0
t679	1	0
t689	1	0
t692	1	0
t693	1	0
t694	1	0
t696	1	0
t697	1	0
t698	1	0
t701	1	0
t702	1	0
t704	1	0
t705	1	0
t707	1	0
t708	1	0
t711	1	0
t712	1	0
t715	1	0
t717	1	0
t719	1	0
t720	1	0
t721	1	0
t722	1	0
t724	1	0
t728	1	0
t733	1	0
t736	1	0
t737	1	0
t739	1	0
t741	1	0
t742	1	0
t743	1	0
t746	1	0
t747	1	0
t748	1	0
t750	1	0
t752	1	0
t753	1	0
t754	1	0
t760	1	0
t763	1	0
t764	1	0
t770	1	0
t772	1	0
t774	1	0
t777	1	0
t778	1	0
t779	1	0
t781	1	0
t788	1	0
t795	1	0
t796	1	0
t798	1	0
t801	1	0
t803	1	0
t810	1	0
t811	1	0
t812	1	0
t816	1	0
t819	1	0
t827	1	0
t831	1	0
t834	1	0
t837	1	0
