taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	0	0	1
t4	1	0	1
t5	0	1	1
t6	0	0	1
t7	0	1	1
t8	0	1	1
t9	0	1	0
t10	0	1	0
t12	0	1	1
t13	1	1	0
t14	0	1	0
t15	0	1	0
t16	1	1	0
t18	0	1	0
t19	1	1	0
t20	1	1	0
t21	1	1	0
t22	0	1	0
t23	1	1	0
t25	1	1	0
t26	0	1	0
t28	1	1	1
t29	0	0	1
t33	0	1	0
t37	1	1	0
t39	1	1	0
t40	1	0	0
t41	1	0	0
t42	1	0	0
t43	1	0	0
t44	1	0	0
t45	0	1	0
t46	1	0	0
t48	1	0	0
t50	0	1	0
t51	0	1	0
t52	0	1	0
t53	1	1	0
t58	1	0	0
t59	1	0	0
t60	1	1	0
t63	1	0	0
t66	0	1	0
t69	0	1	0
t70	1	0	0
t71	0	1	1
t72	0	1	0
t73	0	1	0
t74	0	1	0
t77	1	0	0
t80	1	1	0
t81	1	0	0
t82	1	1	0
t85	1	0	0
t86	1	0	0
t89	0	1	0
t91	1	0	0
t96	1	0	0
t97	1	0	0
t98	1	0	0
t100	1	0	0
t101	1	0	0
t104	0	1	0
t105	1	0	0
t106	1	0	0
t107	1	0	0
t108	1	1	0
t110	1	0	0
t111	1	0	0
t112	1	0	0
t113	1	0	0
t114	0	1	0
t120	1	0	0
t121	1	0	0
t123	1	0	0
t124	1	0	0
t125	1	1	0
t126	0	1	0
t127	1	0	0
t128	1	0	0
t129	1	0	0
t130	1	0	0
t131	1	0	0
t136	0	1	1
t137	0	1	0
t138	0	1	0
t140	0	1	0
t141	1	0	0
t142	1	0	0
t143	1	0	0
t148	1	0	0
t149	1	0	0
t151	1	0	0
t153	1	0	0
t154	1	0	0
t157	1	0	0
t163	1	0	0
t164	1	0	0
t166	1	0	0
t167	1	0	0
t168	0	1	0
t169	0	1	0
t170	1	0	0
t171	1	0	0
t176	1	0	0
t177	1	0	0
t178	1	0	0
t179	1	0	0
t180	1	0	0
t182	1	0	0
t183	1	0	0
t184	0	1	0
t185	1	0	0
t187	1	0	0
t188	1	0	0
t189	1	0	0
t192	1	0	0
t193	1	0	0
t195	1	0	0
t196	1	0	0
t197	1	0	0
t198	1	0	0
t201	0	1	0
t206	1	0	0
t210	1	0	0
t211	1	0	0
t212	1	0	0
t213	1	0	0
t215	0	1	0
t216	1	1	0
t217	1	0	0
t218	1	0	0
t219	1	0	0
t220	1	0	0
t221	1	0	0
t222	1	0	0
t225	1	0	0
t227	1	0	0
t228	0	1	0
t231	0	1	0
t233	1	1	0
t234	1	1	0
t235	0	1	0
t237	0	1	0
t238	1	1	0
t239	1	1	0
t240	1	0	0
t243	1	0	0
t245	1	0	0
t248	1	0	0
t255	1	0	0
t256	1	0	0
t257	1	0	0
t258	1	0	0
t259	1	0	0
t260	1	0	0
t262	1	0	0
t263	1	0	0
t267	1	0	0
t268	1	0	0
t269	1	0	0
t271	1	0	0
t272	1	0	0
t280	1	0	0
t284	1	0	0
t286	1	0	0
t287	1	0	0
t289	1	0	0
t291	1	0	0
t293	1	0	0
t294	1	0	0
t301	1	0	0
t305	1	0	0
t306	1	0	0
t309	1	0	0
t313	1	0	0
t320	1	0	0
t322	1	0	0
t325	0	1	0
