taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	1	1
t3	0	1	1
t4	0	1	1
t5	0	1	0
t6	0	1	0
t8	1	0	0
t9	0	1	1
t11	0	0	1
t13	0	1	0
t17	1	1	0
t18	1	0	0
t19	1	0	0
t20	1	0	0
t21	1	0	0
t22	1	0	0
t25	0	1	1
t27	0	1	1
t28	0	1	0
t33	1	1	0
t34	1	0	0
t35	1	0	0
t36	1	0	0
t39	1	0	0
t40	1	0	0
t42	1	0	0
t43	1	0	0
t45	1	0	0
t46	0	1	1
t47	0	0	1
t48	0	1	1
t49	0	1	0
t53	0	1	0
t57	0	1	0
t58	0	1	0
t59	1	0	0
t60	1	0	0
t62	1	0	0
t63	1	0	0
t66	1	0	0
t68	1	0	0
t69	1	0	0
t71	1	0	0
t73	1	0	0
t74	1	1	1
t75	1	1	1
t77	0	1	0
t78	1	1	0
t80	1	1	0
t81	0	1	0
t82	1	0	0
t83	1	0	0
t84	1	0	0
t85	1	0	0
t86	1	0	0
t87	1	0	0
t88	1	0	0
t89	1	0	0
t94	1	0	0
t97	0	1	0
t99	1	1	0
t101	1	1	0
t102	1	0	0
t103	0	1	0
t104	1	1	0
t106	1	0	0
t113	1	1	0
t114	1	1	0
t115	1	0	0
t117	1	0	0
t119	1	0	0
t122	1	0	0
t123	1	0	0
t124	1	0	0
t127	1	0	0
t133	1	0	0
t136	0	1	0
t137	0	1	0
t138	0	1	0
t139	1	0	0
t140	1	0	0
t141	1	0	0
t143	1	0	0
t144	1	0	0
t146	1	0	0
t147	1	0	0
t148	1	0	0
t149	1	0	0
t150	1	0	0
t151	1	0	0
t152	1	0	0
t153	1	0	0
t154	0	1	0
t156	0	1	0
t157	1	1	0
t159	1	0	0
t161	1	0	0
t165	1	0	0
t166	1	0	0
t167	1	0	0
t171	1	1	0
t172	1	0	0
t173	1	0	0
t174	1	0	0
t176	1	0	0
t177	1	0	0
t178	1	0	0
t180	1	0	0
t181	1	0	0
t183	1	0	0
t189	1	1	0
t191	1	0	0
t192	1	0	0
t193	1	0	0
t195	1	0	0
t196	1	0	0
t199	1	0	0
t201	1	0	0
t202	1	0	0
t203	1	0	0
t204	1	0	0
t205	1	0	0
t206	1	0	0
t208	1	0	0
t209	1	0	0
t210	1	0	0
t212	1	0	0
t213	1	0	0
t214	1	0	0
t216	1	0	0
t219	1	0	0
t223	1	0	0
t225	0	1	0
t226	0	1	0
t229	1	0	0
t230	1	0	0
t231	1	0	0
t233	1	0	0
t234	1	0	0
t236	1	0	0
t238	1	0	0
t240	1	0	0
t241	1	0	0
t243	1	0	0
t246	1	0	0
t247	1	0	0
t251	1	0	0
t252	1	0	0
t254	1	0	0
t255	1	0	0
t256	1	0	0
t257	1	0	0
t258	1	0	0
t259	1	0	0
t261	1	0	0
t262	1	0	0
t264	1	0	0
t269	1	1	0
t270	1	0	0
t271	1	0	0
t275	1	0	0
t276	0	1	0
t280	1	0	0
t283	1	0	0
t284	1	0	0
t286	1	0	0
t287	1	0	0
t288	1	0	0
t289	1	0	0
t290	1	0	0
t296	1	1	0
t297	1	0	0
t298	1	0	0
t299	1	0	0
t300	1	0	0
t302	1	0	0
t303	1	0	0
t304	1	0	0
t306	1	0	0
t308	1	0	0
t312	1	0	0
t313	1	0	0
t314	1	0	0
t315	1	0	0
t316	0	1	0
t317	1	0	0
t319	1	1	0
t320	1	0	0
t321	1	0	0
t323	1	0	0
t326	1	0	0
t327	1	0	0
t329	1	0	0
t330	1	0	0
t331	1	0	0
t332	1	0	0
t338	1	0	0
t339	1	0	0
t342	1	0	0
t344	1	0	0
t346	1	0	0
t347	1	0	0
t348	1	0	0
t349	1	0	0
t350	1	0	0
t353	1	0	0
t355	1	0	0
t357	1	0	0
t358	1	0	0
t359	1	0	0
t363	1	0	0
t367	1	0	0
t368	1	0	0
t369	1	0	0
t371	1	0	0
t373	1	0	0
t374	1	0	0
t375	1	0	0
t376	1	0	0
t377	1	0	0
t378	1	0	0
t381	1	0	0
t382	1	0	0
t383	1	0	0
