taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	1	1
t5	0	0	1
t6	0	0	1
t8	0	1	1
t9	1	1	1
t10	0	1	0
t11	0	1	0
t12	1	0	0
t15	0	1	0
t16	0	1	0
t18	1	0	0
t19	1	0	0
t20	1	0	0
t25	1	0	0
t26	0	1	0
t27	0	1	0
t28	0	1	0
t29	0	1	0
t30	1	1	0
t33	1	0	0
t34	1	0	0
t35	1	0	0
t37	1	0	0
t38	1	0	0
t39	1	0	0
t40	1	0	0
t41	1	0	0
t42	0	1	0
t44	1	1	0
t48	0	1	0
t49	1	0	0
t50	1	0	0
t51	1	0	0
t52	1	0	0
t54	1	0	0
t55	1	0	0
t56	1	0	0
t59	1	0	0
t60	1	0	0
t61	0	1	0
t62	0	1	0
t63	0	1	0
t64	1	1	0
t65	1	0	0
t66	1	1	0
t67	0	1	0
t68	1	0	0
t69	1	0	0
t70	1	0	0
t71	1	0	0
t72	1	0	0
t73	0	1	0
t74	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t81	1	0	0
t82	1	0	0
t84	1	0	0
t87	1	0	0
t88	1	0	0
t89	0	1	0
t92	1	0	0
t93	1	0	0
t94	1	0	0
t95	1	0	0
t97	0	1	0
t98	1	0	0
t99	1	1	0
t100	1	1	0
t101	1	0	0
t106	1	0	0
t108	1	0	0
t112	1	0	0
t113	1	0	0
t114	1	0	0
t115	1	0	0
t116	1	1	0
t117	1	0	0
t118	1	0	0
t119	1	0	0
t121	1	0	0
t122	1	0	0
t124	1	0	0
t125	1	0	0
t127	1	0	0
t128	0	1	0
t130	1	0	0
t133	1	0	0
t135	1	0	0
t137	1	0	0
t138	1	0	0
t139	1	0	0
t140	1	0	0
t141	1	1	0
t142	1	0	0
t143	1	0	0
t144	0	1	0
t148	1	0	0
t149	1	0	0
t151	1	0	0
t152	1	0	0
t156	1	0	0
t157	1	0	0
t158	1	0	0
t160	1	0	0
t161	1	0	0
t164	1	0	0
t165	1	0	0
t168	1	0	0
t169	1	0	0
t170	1	0	0
t179	1	0	0
t184	0	1	0
t187	1	0	0
t188	1	0	0
t190	1	0	0
t191	1	0	0
t193	1	0	0
t194	1	0	0
t196	1	0	0
t197	1	0	0
t198	1	0	0
t199	1	0	0
t200	1	0	0
t201	1	0	0
t207	1	0	0
t208	1	0	0
t209	1	0	0
t210	1	0	0
t213	1	0	0
t214	1	0	0
t215	1	0	0
t217	1	0	0
t218	1	0	0
t219	1	0	0
t220	1	0	0
t222	1	0	0
t225	1	0	0
t226	1	0	0
t229	1	0	0
t234	1	0	0
t235	1	0	0
t237	1	0	0
t238	1	0	0
t239	1	0	0
t240	1	0	0
t241	1	0	0
t244	1	0	0
t248	1	0	0
t251	1	0	0
t252	1	0	0
t253	1	0	0
t258	1	0	0
t260	1	0	0
t261	1	0	0
t264	1	0	0
t268	1	0	0
t269	1	0	0
t270	1	0	0
t271	1	0	0
t272	1	0	0
t281	1	0	0
t283	1	0	0
t286	1	0	0
t287	1	0	0
t291	1	0	0
t294	1	0	0
t295	1	0	0
t296	1	0	0
t297	1	0	0
t299	1	0	0
t303	1	0	0
t305	1	0	0
t308	1	0	0
t313	1	0	0
t321	1	0	0
t323	1	0	0
t325	1	0	0
t331	1	0	0
t334	1	0	0
t335	1	0	0
t339	1	0	0
t340	1	0	0
t342	1	0	0
t343	1	0	0
