taxon	int_1	int_2	int_3
t1	0	1	1
t2	0	0	1
t3	0	1	0
t4	0	0	1
t6	0	0	1
t7	0	1	1
t8	1	1	0
t10	0	0	1
t11	1	1	1
t13	0	0	1
t16	1	1	1
t17	0	0	1
t19	0	1	0
t21	0	1	0
t22	0	1	0
t23	0	1	0
t24	0	1	0
t25	0	1	0
t26	1	0	0
t27	0	1	0
t28	0	1	0
t29	0	1	0
t30	0	1	1
t31	0	1	0
t32	0	1	0
t34	0	1	0
t36	1	0	0
t38	1	0	0
t39	1	0	0
t40	1	0	0
t42	0	1	0
t43	0	1	0
t46	0	0	1
t47	1	1	0
t48	1	0	0
t50	0	0	1
t51	0	1	0
t53	0	1	0
t54	1	0	0
t57	1	1	0
t58	0	1	1
t59	0	1	1
t60	0	0	1
t62	0	1	0
t63	1	1	0
t64	0	1	0
t66	1	0	0
t67	1	0	0
t77	0	1	0
t78	0	1	0
t79	0	1	0
t80	0	1	1
t81	0	1	0
t82	0	1	0
t83	1	1	0
t84	1	1	0
t85	1	0	0
t87	1	0	0
t90	1	0	0
t92	1	1	0
t93	1	0	0
t94	1	0	0
t97	1	0	0
t99	1	0	0
t102	1	1	0
t105	1	0	0
t108	1	1	0
t109	1	1	0
t111	1	0	0
t112	1	0	0
t113	1	0	0
t114	1	0	0
t119	1	0	0
t122	1	0	0
t123	1	0	0
t127	1	0	0
t128	1	0	0
t130	1	0	0
t131	1	0	0
t132	1	0	0
t133	1	0	0
t134	1	0	0
t136	1	0	0
t137	1	0	0
t138	1	0	0
t139	1	0	0
t141	1	0	0
t142	1	0	0
t147	1	0	0
t151	1	0	0
t152	1	0	0
t154	1	1	0
t155	1	0	0
t157	1	0	0
t158	1	0	0
t161	1	0	0
t162	1	0	0
t165	1	0	0
t166	1	0	0
t167	1	0	0
t168	1	0	0
t169	1	0	0
t171	1	0	0
t172	1	0	0
t173	1	0	0
t177	1	0	0
t179	1	0	0
t180	0	1	0
t183	1	0	0
t184	1	0	0
t185	1	0	0
t189	1	0	0
t191	1	0	0
t195	1	0	0
t196	1	0	0
t197	1	0	0
t198	1	0	0
t207	1	0	0
t208	1	0	0
t211	1	0	0
t212	1	0	0
t213	1	0	0
t214	1	0	0
t215	1	0	0
t216	1	0	0
t217	1	0	0
t218	1	0	0
t219	1	0	0
t220	1	0	0
t223	1	0	0
t224	1	0	0
t225	1	0	0
t226	1	0	0
t231	1	0	0
t232	1	0	0
t233	1	0	0
t240	1	0	0
t241	1	0	0
t245	1	0	0
t246	1	0	0
t248	1	0	0
t249	1	0	0
t250	1	0	0
t251	1	0	0
t252	1	0	0
t253	1	0	0
t257	1	0	0
t258	1	0	0
t262	1	0	0
t264	1	0	0
t265	1	0	0
t266	1	0	0
t269	1	0	0
t271	1	0	0
t272	1	0	0
t273	1	0	0
t274	1	0	0
t277	1	0	0
t279	1	0	0
t282	1	0	0
t285	1	0	0
t288	1	0	0
t289	1	0	0
t290	1	0	0
t293	1	0	0
t295	1	0	0
t301	1	0	0
t302	1	0	0
t303	1	0	0
t304	1	0	0
t306	1	0	0
t308	1	0	0
t311	1	0	0
t312	1	0	0
t317	1	0	0
t318	1	0	0
t319	1	0	0
