taxon	int_1	int_2	int_3
t1	1	1	1
t2	1	1	1
t3	0	1	0
t4	1	1	0
t5	1	0	0
t6	0	1	0
t7	1	0	0
t8	1	0	0
t9	1	1	0
t10	1	0	0
t12	1	0	0
t13	1	1	0
t14	1	1	0
t15	1	0	0
t16	1	1	0
t17	1	0	0
t19	1	0	0
t20	1	0	0
t21	1	0	0
t22	1	0	0
t24	1	0	0
t27	1	1	0
t29	0	1	0
t30	1	1	0
t31	1	0	0
t32	1	0	0
t33	1	0	0
t34	1	0	0
t36	0	1	0
t37	1	0	0
t39	1	0	0
t40	1	0	0
t42	1	0	0
t46	1	0	0
t51	1	0	0
t52	1	0	0
t53	1	1	0
t54	1	1	0
t55	1	0	0
t56	1	0	0
t58	1	0	0
t61	1	0	0
t65	1	0	0
t66	1	0	0
t67	1	1	0
t70	1	0	0
t71	1	0	0
t73	1	0	0
t74	1	0	0
t78	1	0	0
t79	1	0	0
t80	1	0	0
t82	1	0	0
t85	1	0	0
t89	1	0	0
t90	1	0	0
t93	1	0	0
