taxon	int_1	int_2
t1	0	1
t2	0	1
t3	0	1
t4	0	1
t5	0	1
t6	1	0
t7	1	1
t8	1	1
t9	1	1
t11	1	0
t12	1	0
t13	1	0
t14	1	0
t15	1	0
t16	1	1
t17	1	0
t18	1	0
t19	1	0
t20	1	0
t21	1	0
t22	1	0
t23	1	0
t24	1	0
t27	1	0
t28	1	0
t29	1	0
t30	1	0
t31	1	0
t32	1	0
t33	1	0
t34	1	0
t36	1	0
t37	1	0
t38	1	0
t39	1	0
t40	1	0
t42	1	0
t45	1	0
t46	1	0
t47	1	0
t48	1	0
t49	1	0
t50	1	0
t51	1	0
t52	1	0
t53	1	0
t57	1	0
t58	1	0
t59	1	0
t62	1	0
t63	1	0
t65	1	0
t69	1	0
t70	1	0
t72	1	0
t73	1	0
t75	1	0
t79	1	0
t80	1	0
t81	1	0
t85	1	0
t86	1	0
t88	1	0
t89	1	0
t90	1	0
t91	1	0
t99	1	0
t100	1	0
t103	1	0
t105	1	0
t107	1	0
t108	1	0
t111	1	0
t112	1	0
t115	1	0
t120	1	0
t122	1	0
t124	1	0
