taxon	int_1	int_2	int_3
t1	0	1	1
t4	0	1	0
t5	0	1	0
t6	1	1	0
t7	0	1	0
t9	0	1	0
t10	0	1	0
t13	0	1	0
t14	1	1	0
t16	1	1	0
t17	1	1	0
t18	1	0	0
t19	1	1	0
t20	1	0	0
t21	1	0	0
t23	1	0	0
t24	1	1	0
t26	1	1	0
t27	1	0	0
t28	1	1	0
t29	1	1	0
t31	0	1	0
t36	1	0	0
t40	1	0	0
t41	1	0	0
t42	1	0	0
t43	1	0	0
t44	1	0	0
t45	1	0	0
t46	1	0	0
t47	1	0	0
t49	1	0	0
t50	1	0	0
t52	1	0	0
t53	1	0	0
t54	1	0	0
t56	1	0	0
t57	1	1	0
t58	1	0	0
t60	1	0	0
t61	1	0	0
t62	1	0	0
t63	1	1	0
t64	1	0	0
t65	1	0	0
t66	1	0	0
t72	1	0	0
t73	1	0	0
t75	1	0	0
t76	1	0	0
t78	1	0	0
t82	1	0	0
t83	1	0	0
t85	1	0	0
t88	1	0	0
t89	1	0	0
t90	1	0	0
t93	1	0	0
t94	1	0	0
t97	1	0	0
t99	1	0	0
t100	1	0	0
t101	1	0	0
t106	1	0	0
t108	1	0	0
t109	1	0	0
t110	1	0	0
t111	1	0	0
t112	1	0	0
t113	1	0	0
t114	1	0	0
t115	1	0	0
t116	1	0	0
t119	1	0	0
t120	1	0	0
t125	1	0	0
t128	1	0	0
t130	1	0	0
t131	1	0	0
t133	1	0	0
t137	1	0	0
t138	1	0	0
t139	1	0	0
t141	1	0	0
t142	1	0	0
t143	1	0	0
t147	1	0	0
t148	1	0	0
t153	1	0	0
t154	1	0	0
t157	1	0	0
t158	1	0	0
t159	1	0	0
t160	1	0	0
t163	1	0	0
t164	1	0	0
t167	1	0	0
t170	1	0	0
t172	1	0	0
t187	1	0	0
t190	1	0	0
