taxon	int_1	int_2
t4	0	1
t5	1	1
t6	1	0
t7	1	0
t9	1	0
t12	0	1
t13	1	0
t15	1	0
t19	1	0
t21	1	0
t29	1	1
t33	1	0
t43	1	0
t54	1	0
t57	0	1
t62	1	0
t66	1	0
t70	1	0
t76	1	0
t77	1	0
t79	1	0
t83	1	0
t87	1	0
t96	1	0
t97	1	0
t99	1	0
t111	1	0
t115	1	0
t116	1	0
t120	1	0
t127	1	0
t128	1	0
t129	1	0
t130	1	0
t132	1	0
t133	1	0
t136	1	0
t138	1	0
t139	1	0
t142	1	0
t143	1	0
t145	1	0
t148	1	0
t150	1	0
t151	1	0
t152	1	0
t163	1	0
t165	1	0
t168	1	0
t173	1	0
t175	1	0
t176	1	0
t180	1	0
t181	1	0
t200	1	0
t208	1	0
t213	1	0
t215	1	0
t216	1	0
t224	1	0
t227	1	0
t228	1	0
t233	1	0
t234	1	0
t247	1	0
t256	1	0
t264	1	0
t274	1	0
t279	1	0
t286	1	0
