taxon	int_1	int_2	int_3
t3	1	0	0
t4	0	1	0
t7	0	1	1
t8	1	0	0
t9	1	0	0
t11	1	1	0
t13	1	0	0
t16	1	0	0
t18	1	1	0
t19	1	0	0
t20	0	1	0
t23	1	0	0
t31	0	1	0
t33	1	0	0
t34	1	0	0
t36	1	0	0
t37	1	1	0
t42	1	0	0
t46	1	0	0
t48	1	0	0
t55	1	0	0
t58	0	1	0
t59	0	1	0
t61	1	0	0
t62	1	0	0
t63	1	0	0
t65	1	0	0
t66	1	0	0
t69	1	0	0
t70	1	1	0
t75	1	0	0
t76	1	0	0
t78	1	0	0
t83	1	0	0
t84	0	1	0
t85	1	0	0
t86	1	0	0
t87	1	0	0
t90	1	0	0
t93	1	0	0
t99	1	0	0
t105	1	0	0
t112	1	0	0
t115	1	0	0
t123	1	0	0
t124	1	0	0
t125	1	0	0
t137	0	1	0
t138	1	0	0
t139	1	0	0
t144	1	0	0
t146	1	0	0
t154	1	0	0
t155	1	0	0
t157	1	0	0
t163	1	0	0
t164	1	0	0
t165	1	0	0
t166	1	0	0
t167	1	0	0
t169	1	0	0
t170	1	0	0
t176	1	0	0
t182	1	0	0
t188	1	0	0
t189	1	0	0
t190	0	1	0
t193	1	0	0
t194	1	0	0
t195	1	0	0
t205	1	0	0
t206	1	0	0
t207	1	0	0
t213	1	0	0
t221	1	0	0
t223	1	0	0
t228	1	0	0
t231	1	0	0
t232	1	0	0
t239	1	0	0
t244	1	0	0
t245	1	0	0
t247	1	0	0
t255	1	0	0
t259	1	0	0
t264	1	0	0
t270	1	0	0
t277	1	0	0
t279	0	1	0
t282	1	0	0
t291	1	0	0
t293	1	0	0
t296	1	0	0
t300	1	0	0
t307	1	0	0
t311	1	0	0
t313	1	0	0
t315	1	0	0
t316	1	0	0
t317	1	0	0
t320	1	0	0
t324	1	0	0
t333	1	0	0
t340	1	0	0
t344	1	0	0
t345	1	0	0
t364	1	0	0
t368	1	0	0
t395	1	0	0
t399	1	0	0
t401	1	0	0
t404	1	0	0
t411	1	0	0
t421	1	0	0
t428	1	0	0
t435	1	0	0
t437	1	0	0
t439	1	0	0
t442	1	0	0
t444	1	0	0
t481	1	0	0
t491	1	0	0
t493	1	0	0
t495	1	0	0
t505	1	0	0
t512	1	0	0
t516	1	0	0
t521	1	0	0
t530	1	0	0
t535	1	0	0
