taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t4	1	0	0
t6	0	1	1
t7	0	1	1
t10	0	0	1
t11	0	1	0
t15	1	0	0
t16	0	1	0
t20	1	0	0
t22	0	0	1
t23	0	1	0
t26	0	1	0
t28	1	0	0
t29	1	0	0
t30	1	0	0
t38	0	1	0
t45	1	0	0
t46	1	0	0
t47	1	0	0
t50	1	0	0
t52	1	0	0
t57	0	0	1
t60	1	0	0
t61	1	0	0
t62	1	0	0
t63	1	0	0
t72	1	0	0
t75	1	0	0
t77	1	0	0
t78	1	0	0
t80	0	1	0
t82	1	0	0
t90	1	0	0
t99	0	1	0
t102	1	0	0
t106	0	1	0
t108	1	0	0
t116	0	1	0
t119	0	1	0
t123	1	0	0
t124	1	0	0
t126	1	0	0
t137	1	0	0
t138	1	0	0
t139	1	0	0
t140	1	0	0
t142	1	0	0
t149	1	0	0
t151	1	0	0
t155	0	1	0
t156	1	0	0
t157	1	0	0
t159	1	0	0
t163	0	1	0
t169	1	0	0
t174	1	0	0
t191	1	0	0
t192	1	0	0
t193	1	0	0
t194	1	0	0
t195	1	0	0
t199	1	0	0
t202	0	1	0
t203	1	0	0
t204	1	0	0
t205	1	0	0
t210	1	0	0
t211	1	0	0
t216	1	0	0
t217	1	0	0
t218	1	0	0
t222	1	0	0
t227	1	0	0
t228	1	0	0
t232	1	0	0
t240	1	0	0
t244	0	1	0
t249	0	1	0
t250	1	0	0
t251	0	1	0
t254	1	0	0
t255	1	0	0
t260	1	0	0
t261	1	0	0
t262	1	1	0
t265	1	0	0
t267	1	0	0
t269	1	0	0
t272	1	0	0
t282	1	0	0
t288	1	0	0
t295	1	0	0
t296	1	0	0
t298	1	0	0
t301	1	0	0
t304	1	0	0
t322	1	0	0
t326	1	0	0
t327	1	0	0
t337	1	0	0
t339	1	0	0
t342	1	0	0
t343	1	0	0
t353	1	0	0
t354	1	0	0
t359	1	0	0
t367	1	0	0
t370	1	0	0
t372	1	0	0
t373	1	0	0
t375	1	0	0
t379	0	1	0
t380	1	0	0
t381	1	0	0
t383	1	0	0
t384	1	1	0
t385	0	1	0
t387	1	0	0
t391	1	0	0
t392	1	0	0
t393	1	0	0
t399	1	0	0
t400	1	0	0
t403	1	0	0
t404	1	0	0
t406	1	0	0
t408	1	0	0
t412	1	0	0
t418	1	0	0
t423	1	0	0
t425	1	0	0
t426	1	0	0
t438	1	0	0
t439	1	0	0
t448	0	1	0
t453	1	0	0
t459	1	0	0
t460	1	1	0
t461	1	0	0
t463	1	0	0
t466	1	0	0
t467	1	0	0
t471	1	0	0
t479	1	0	0
t483	1	0	0
t489	1	0	0
t491	1	0	0
t493	0	1	0
t494	0	1	0
t496	1	0	0
t502	1	0	0
t504	1	0	0
t508	1	0	0
t511	1	0	0
t514	1	0	0
t517	1	0	0
t518	1	0	0
t522	1	0	0
t524	0	1	0
t525	0	1	0
t527	1	0	0
t528	1	0	0
t530	1	0	0
t536	1	0	0
t547	1	0	0
t551	1	0	0
t553	1	0	0
t559	1	0	0
t574	1	0	0
t577	1	0	0
t580	1	0	0
t584	1	0	0
t588	1	0	0
t591	1	0	0
t595	1	0	0
t596	1	0	0
t606	1	0	0
t607	1	0	0
t609	1	0	0
t618	1	0	0
t619	0	1	0
t620	1	0	0
t621	1	0	0
t622	0	1	0
t623	1	0	0
t624	1	0	0
t636	1	0	0
t647	1	0	0
t648	1	0	0
t650	1	0	0
t652	1	0	0
t653	1	1	0
t655	1	0	0
t656	1	0	0
t664	1	0	0
t672	1	0	0
t684	1	0	0
t707	1	0	0
t709	1	0	0
t710	1	0	0
t715	1	0	0
t721	1	0	0
t726	1	0	0
t729	0	1	0
t734	0	1	0
t737	1	0	0
t743	1	0	0
t748	1	0	0
t751	1	0	0
t752	0	1	0
t753	1	0	0
t754	1	0	0
t757	1	0	0
t758	1	0	0
t760	1	0	0
t766	1	0	0
t769	1	0	0
t775	1	0	0
t780	1	1	0
t784	1	0	0
t785	1	0	0
t786	1	0	0
t787	1	0	0
t791	1	0	0
t792	1	0	0
t797	1	0	0
t798	1	0	0
t807	1	0	0
t812	1	0	0
t813	1	0	0
t818	1	0	0
t823	1	0	0
t826	1	0	0
t830	1	0	0
t831	1	0	0
t836	1	0	0
t842	1	0	0
t850	1	0	0
t851	1	0	0
t858	1	0	0
t861	1	0	0
t864	1	0	0
t881	1	0	0
t884	1	0	0
t885	1	0	0
t904	1	0	0
t911	1	0	0
t916	1	0	0
t939	1	0	0
t942	1	0	0
t952	1	0	0
t953	1	0	0
t957	1	0	0
t958	1	0	0
t959	1	0	0
t961	1	0	0
t965	1	0	0
t969	1	0	0
t971	1	0	0
t972	1	0	0
t975	1	0	0
t984	1	0	0
t991	1	0	0
t995	1	0	0
t1000	1	0	0
t1001	1	0	0
t1008	1	0	0
t1018	1	0	0
t1029	1	0	0
t1042	1	0	0
t1047	1	0	0
t1048	1	0	0
t1054	1	0	0
t1055	1	0	0
t1058	1	0	0
t1061	1	0	0
t1074	1	0	0
t1075	1	0	0
t1078	1	0	0
t1083	1	0	0
t1095	1	0	0
t1096	1	0	0
t1105	1	0	0
t1112	1	0	0
t1119	1	0	0
t1124	1	0	0
t1127	1	0	0
t1130	1	0	0
t1135	1	0	0
t1139	1	0	0
t1155	1	0	0
t1159	1	0	0
t1163	1	0	0
t1166	1	0	0
