taxon	int_1	int_2
t1	0	1
t2	0	1
t3	0	1
t4	0	1
t5	0	1
t6	0	1
t7	0	1
t8	0	1
t9	1	1
t10	0	1
t12	0	1
t13	0	1
t14	0	1
t15	1	1
t16	1	1
t20	0	1
t23	0	1
t25	1	1
t26	0	1
t27	0	1
t28	1	0
t29	0	1
t32	0	1
t33	1	0
t34	1	0
t35	1	0
t37	0	1
t38	0	1
t40	1	1
t41	0	1
t43	0	1
t45	1	0
t46	1	0
t47	1	0
t48	1	0
t49	1	0
t50	1	0
t51	1	0
t52	1	0
t53	1	0
t54	1	0
t56	0	1
t57	0	1
t58	0	1
t59	0	1
t60	0	1
t61	1	0
t62	1	0
t63	1	0
t64	1	0
t65	1	0
t66	1	0
t67	1	0
t68	1	0
t69	1	0
t70	1	0
t72	1	0
t74	1	0
t76	1	0
t77	1	0
t80	0	1
t81	0	1
t82	1	0
t83	1	1
t84	0	1
t85	1	0
t88	1	0
t89	1	0
t90	1	0
t91	1	0
t92	1	0
t93	1	0
t94	1	0
t95	1	0
t96	1	0
t97	1	0
t98	1	0
t99	1	0
t100	1	0
t101	1	0
t103	1	0
t104	1	0
t105	1	0
t106	1	0
t107	1	0
t108	1	0
t111	1	0
t114	1	0
t115	1	0
t116	1	0
t117	1	0
t118	1	0
t119	1	0
t120	1	0
t121	1	0
t122	1	0
t124	1	0
t125	1	0
t126	1	0
t128	1	0
t129	1	0
t130	1	0
t132	1	0
t137	1	0
t138	1	0
t140	1	0
t141	1	0
t142	1	0
t144	1	0
t146	1	0
t147	1	0
t150	1	0
t151	1	0
t152	1	0
t153	0	1
t154	1	0
t155	1	0
t156	1	0
t163	1	0
t164	1	0
t165	1	0
t166	1	0
t168	1	0
t170	1	0
t171	1	0
t173	1	0
t179	1	0
t180	1	0
t181	1	0
t182	1	0
t183	1	0
t184	1	0
t185	1	0
t187	1	0
t195	1	0
t197	1	0
t198	1	0
t199	1	0
t200	1	0
t202	1	0
t205	1	0
t206	1	0
t209	1	0
t210	1	0
t211	1	0
t212	1	0
t213	1	0
t214	1	0
t215	1	0
t216	1	0
t219	1	0
t220	1	0
t224	1	0
t228	1	0
t231	1	0
t236	1	0
t237	1	0
t240	1	0
t241	1	0
t242	1	0
t244	1	0
t248	1	0
t249	1	0
t250	1	0
t251	1	0
t255	1	0
t256	1	0
t257	1	0
t258	1	0
t259	1	0
t260	1	0
t261	1	0
t262	1	0
t263	1	0
t267	1	0
t268	1	0
t270	1	0
t271	1	0
t272	1	0
t273	1	0
t274	1	0
t281	1	0
t283	1	0
t285	1	0
t286	1	0
t288	1	0
t292	1	0
t293	1	0
t295	1	0
t300	1	0
t305	1	0
t306	1	0
t309	1	0
t311	1	0
t315	1	0
t316	1	0
t317	1	0
t318	1	0
t319	1	0
t320	1	0
t321	1	0
t327	1	0
t330	1	0
t331	1	0
t333	1	0
t337	1	0
t341	1	0
t344	1	0
t345	1	0
t346	1	0
t348	1	0
t350	1	0
t351	1	0
t354	1	0
t356	1	0
t358	1	0
t359	1	0
t360	1	0
t361	1	0
t362	1	0
t363	1	0
t365	1	0
t366	1	0
t368	1	0
t369	1	0
t370	1	0
t371	1	0
t373	1	0
t374	1	0
t375	1	0
t377	1	0
t379	1	0
t380	1	0
t386	1	0
t388	1	0
t390	1	0
t396	1	0
t398	1	0
t404	1	0
t406	1	0
t410	1	0
t417	1	0
t419	1	0
t421	1	0
t422	1	0
t423	1	0
t424	1	0
t425	1	0
t426	1	0
t427	1	0
t428	1	0
t429	1	0
t431	1	0
t432	1	0
t433	1	0
t434	1	0
t435	1	0
t436	1	0
t437	1	0
t438	1	0
t439	1	0
t440	1	0
t441	1	0
t446	1	0
t448	1	0
t454	1	0
t455	1	0
t456	1	0
t458	1	0
t459	1	0
t460	1	0
t461	1	0
t462	1	0
t463	1	0
t464	1	0
t465	1	0
t466	1	0
t470	1	0
t472	1	0
t475	1	0
t477	1	0
t482	1	0
t483	1	0
t484	1	0
t485	1	0
t489	1	0
t494	1	0
t497	1	0
t499	1	0
t505	1	0
t507	1	0
t518	1	0
t519	1	0
t520	1	0
t522	1	0
t524	1	0
t526	1	0
t527	1	0
t528	1	0
t529	1	0
t531	1	0
t534	1	0
t535	1	0
t536	1	0
t539	1	0
t540	1	0
t541	1	0
t542	1	0
t546	1	0
t547	1	0
t548	1	0
t549	1	0
t550	1	0
t551	1	0
t552	1	0
t553	1	0
t558	1	0
t559	1	0
t566	1	0
t567	1	0
t570	1	0
t574	1	0
t581	1	0
t582	1	0
t583	1	0
t585	1	0
t586	1	0
t593	1	0
t594	1	0
t595	1	0
t596	1	0
t599	1	0
t605	1	0
t613	1	0
t614	1	0
t618	1	0
t621	1	0
t622	1	0
t624	1	0
t625	1	0
t629	1	0
t633	1	0
t635	1	0
t638	1	0
t643	1	0
t644	1	0
t646	1	0
t648	1	0
t649	1	0
t653	1	0
t656	1	0
t657	1	0
t658	1	0
t667	1	0
t668	1	0
t669	1	0
t670	1	0
t671	1	0
t672	1	0
t673	1	0
t674	1	0
t675	1	0
t676	1	0
t677	1	0
t678	1	0
t679	1	0
t680	1	0
t681	1	0
t687	1	0
t689	1	0
t694	1	0
t702	1	0
t711	1	0
t719	1	0
t725	1	0
t726	1	0
t728	1	0
t731	1	0
t735	1	0
t736	1	0
t737	1	0
t745	1	0
t747	1	0
t756	1	0
t757	1	0
t758	1	0
t759	1	0
t761	1	0
t763	1	0
t764	1	0
t766	1	0
