taxon	int_1	int_2	int_3	int_4	int_5
t1	0	0	1	1	0
t3	0	0	0	0	1
t4	0	0	0	1	0
t5	0	1	1	0	0
t6	0	1	1	0	0
t8	0	0	0	1	0
t9	0	0	1	0	0
t10	0	0	1	1	0
t11	0	0	1	0	0
t13	0	0	1	0	0
t14	1	1	0	0	0
t15	0	0	0	1	0
t16	0	0	0	1	0
t19	1	1	1	0	0
t20	0	1	1	0	0
t21	0	0	1	1	0
t22	0	0	1	0	0
t24	1	0	0	0	0
t25	1	0	0	0	0
t26	1	0	0	0	0
t27	1	0	0	0	0
t29	0	1	1	1	0
t30	0	1	0	0	0
t32	1	1	0	0	0
t33	1	0	0	0	0
t34	1	1	0	0	0
t36	0	0	1	0	0
t37	1	0	0	0	0
t38	1	0	0	0	0
t39	1	0	0	0	0
t41	1	0	0	0	0
t43	1	0	0	0	0
t46	1	1	1	0	0
t48	1	0	0	0	0
t51	1	1	0	0	0
t52	1	1	0	0	0
t53	1	0	0	0	0
t54	1	0	0	0	0
t59	1	0	0	0	0
t60	1	0	0	0	0
t61	1	0	0	0	0
t65	0	0	1	0	0
t67	1	0	0	0	0
t68	1	0	0	0	0
t69	1	1	0	0	0
t71	1	0	0	0	0
t74	1	0	0	0	0
t75	1	0	0	0	0
t76	1	0	0	0	0
t78	1	1	0	0	0
t79	1	0	0	0	0
t81	1	0	0	0	0
t87	1	0	0	0	0
t88	1	0	0	0	0
t89	1	0	0	0	0
t92	1	0	0	0	0
t93	1	0	0	0	0
t94	1	0	0	0	0
t95	1	0	0	0	0
t96	1	0	0	0	0
t97	1	0	0	0	0
t98	1	0	0	0	0
t102	1	1	0	0	0
t103	1	0	0	0	0
t104	1	0	0	0	0
t107	1	0	0	0	0
t109	1	0	0	0	0
t113	1	0	0	0	0
t114	1	0	0	0	0
t117	1	0	0	0	0
t125	1	0	0	0	0
t126	1	0	0	0	0
t130	1	0	0	0	0
t131	1	0	0	0	0
t135	1	0	0	0	0
t138	1	0	0	0	0
t140	1	0	0	0	0
t141	0	1	0	0	0
t143	1	0	0	0	0
t144	1	0	0	0	0
t145	1	0	0	0	0
t146	1	0	0	0	0
t151	1	0	0	0	0
t152	1	0	0	0	0
t153	1	0	0	0	0
t155	1	0	0	0	0
t161	1	0	0	0	0
t162	1	0	0	0	0
t164	1	0	0	0	0
t167	1	0	0	0	0
t168	1	0	0	0	0
t175	1	0	0	0	0
t176	1	0	0	0	0
t177	1	0	0	0	0
t179	1	0	0	0	0
t180	1	0	0	0	0
t181	1	0	0	0	0
t183	1	0	0	0	0
t184	1	0	0	0	0
t187	1	0	0	0	0
t188	1	0	0	0	0
t190	1	0	0	0	0
t192	1	0	0	0	0
t196	1	0	0	0	0
t197	1	0	0	0	0
t198	1	0	0	0	0
t199	1	0	0	0	0
t200	1	0	0	0	0
t201	1	0	0	0	0
t204	1	0	0	0	0
t209	1	0	0	0	0
