taxon	int_1	int_2	int_3
t1	0	0	1
t2	0	0	1
t3	0	0	1
t6	0	0	1
t8	0	0	1
t9	0	0	1
t10	1	1	1
t11	0	1	0
t13	0	0	1
t14	0	0	1
t16	1	0	0
t17	0	0	1
t19	0	0	1
t20	0	0	1
t22	0	0	1
t23	0	0	1
t24	1	0	1
t26	1	0	0
t27	1	0	0
t28	1	0	0
t29	0	1	0
t32	1	0	0
t33	1	0	1
t35	0	1	0
t36	0	1	0
t38	0	0	1
t40	0	0	1
t41	1	0	0
t42	0	1	0
t43	1	1	1
t47	1	0	0
t49	1	0	0
t52	1	0	0
t53	1	0	0
t55	1	0	0
t56	1	0	0
t57	1	0	0
t59	1	1	0
t62	1	1	0
t63	1	0	0
t65	1	0	0
t66	1	0	0
t67	1	0	0
t68	1	0	0
t72	1	0	0
t73	1	0	0
t74	1	0	0
t75	1	0	0
t76	1	0	0
t81	0	1	0
t82	1	0	0
t83	1	0	0
t85	1	0	0
t87	1	0	0
t88	1	1	1
t90	1	0	0
t91	1	0	0
t93	1	1	0
t94	0	1	0
t95	1	0	0
t97	1	0	0
t98	1	0	0
t101	1	0	0
t103	1	0	0
t104	1	0	0
t106	1	0	0
t111	1	0	0
t112	1	0	0
t113	1	0	0
t114	1	0	0
t115	1	0	0
t116	1	0	0
t117	1	0	0
t118	1	0	0
t119	1	0	0
t121	1	0	0
t128	1	0	0
t129	1	0	0
t130	1	0	0
t131	1	0	0
t132	1	0	0
t133	1	0	0
t134	1	0	0
t135	1	0	0
t137	1	0	0
t141	1	0	0
t142	1	0	0
t144	1	0	0
t147	1	0	0
t149	1	0	0
t152	0	1	0
t153	1	0	0
t154	1	0	0
t156	1	0	0
t157	1	0	0
t158	1	0	0
t159	0	1	1
t162	1	0	0
t163	1	0	0
t164	1	0	0
t166	1	0	0
t167	1	0	0
t168	1	0	0
t169	1	0	0
t170	1	0	0
t171	1	0	0
t172	1	0	0
t175	1	0	0
t176	1	0	0
t178	1	0	0
t180	1	0	0
t181	1	0	0
t182	1	0	0
t185	1	0	0
t186	1	0	0
t187	1	0	0
t188	1	0	0
t191	1	0	0
t192	1	0	0
t193	1	0	0
t194	1	0	0
t197	1	0	0
t198	1	0	0
t199	1	0	0
t202	1	0	0
t204	1	0	0
t205	1	0	0
t207	1	0	0
t213	1	0	0
t214	1	0	0
t216	1	0	0
t217	1	0	0
t218	1	0	0
t220	1	0	0
t222	1	0	0
t223	1	0	0
t224	1	0	0
t225	1	0	0
t228	1	0	0
t230	1	0	0
t231	1	0	0
t233	1	0	0
t235	1	0	0
t236	1	0	0
t237	1	0	0
t243	1	0	0
t244	1	0	0
t245	1	0	0
t246	1	0	0
t250	1	0	0
t253	1	0	0
t262	1	0	0
t263	1	0	0
t265	1	0	0
t267	1	0	0
t268	1	0	0
t271	1	0	0
t272	1	0	0
t273	1	0	0
t274	1	0	0
t275	1	0	0
t278	1	0	0
t279	1	0	0
t280	1	0	0
t281	1	0	0
t284	1	0	0
t285	1	0	0
t286	1	0	0
t288	1	0	0
t289	1	0	0
t290	1	0	0
t291	1	0	0
t292	1	0	0
t295	1	0	0
t296	1	0	0
t297	1	0	0
t298	1	0	0
t299	1	0	0
t300	1	0	0
t301	1	0	0
t304	1	0	0
